School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Weston - Weston High,3300505,707,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
Westport - Westport Junior/Senior High School,3310515,328,3.0,0.9,2.2,0.0,0.0,1.0,2018-19
Westwood - Westwood High,3350505,"1,009",0.0,0.0,0.0,0.0,0.0,0.0,2018-19
Weymouth - Weymouth High School,3360505,"1,861",37.0,2.0,1.8,1.6,2.4,2.2,2018-19
Whitman-Hanson - Whitman Hanson Regional,7800505,"1,169",7.0,0.6,1.0,0.7,0.4,0.3,2018-19
Whittier Regional Vocational Technical - Whittier Regional Vocational,8850605,"1,246",8.0,0.6,0.0,0.7,0.9,0.9,2018-19
Wilmington - Wilmington High,3420505,829,4.0,0.5,0.0,1.0,0.0,1.0,2018-19
Winchendon - Murdock Academy for Success,3430405,39,4.0,10.3,23.1,0.0,8.3,0.0,2018-19
Winchendon - Murdock High School,3430515,300,5.0,1.7,1.2,1.5,4.5,0.0,2018-19
Winchester - Winchester High School,3440505,"1,359",2.0,0.1,0.3,0.0,0.0,0.3,2018-19
Winthrop - Winthrop High School,3460505,595,9.0,1.5,1.3,1.3,2.2,1.3,2018-19
Woburn - Woburn High,3470505,"1,301",22.0,1.7,1.2,2.0,2.0,1.7,2018-19
Worcester - Burncoat Senior High,3480503,"1,067",33.0,3.1,0.7,5.2,1.9,4.9,2018-19
Worcester - Claremont Academy,3480350,355,11.0,3.1,2.0,1.4,3.0,5.7,2018-19
Worcester - Doherty Memorial High,3480512,"1,516",32.0,2.1,3.6,1.7,1.5,1.8,2018-19
Worcester - North High,3480515,"1,263",53.0,4.2,3.8,5.6,4.3,2.9,2018-19
Worcester - South High Community,3480520,"1,379",50.0,3.6,3.5,4.7,3.7,2.5,2018-19
Worcester - University Pk Campus School,3480285,152,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
Worcester - Worcester Technical High,3480605,"1,426",3.0,0.2,0.3,0.0,0.3,0.3,2018-19
