School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,232,2,0.9,0.0,1.4,0.0,5.0,2008-09
Abington - Abington High,10505,584,12,2.1,0.0,1.4,3.3,3.2,2008-09
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,181,0,0.0,0.0,0.0,0.0,0.0,2008-09
Academy of Strategic Learning Charter (District) - Academy of Strategic Learning Charter School,4150505,46,0,0.0,0.0,0.0,0.0,0.0,2008-09
Acton-Boxborough - Acton-Boxborough Reg High,6000505,"1,957",6,0.3,0.2,0.0,0.2,0.8,2008-09
Adams-Cheshire - Hoosac Valley High,6030505,468,17,3.6,2.0,2.9,5.3,5.0,2008-09
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,158,0,0.0,0.0,0.0,,,2008-09
Agawam - Agawam High,50505,"1,337",29,2.2,0.8,3.1,2.5,2.5,2008-09
Amesbury - Amesbury High,70505,679,11,1.6,0.6,1.7,2.7,1.3,2008-09
Amherst-Pelham - Amherst Regional High,6050505,"1,201",10,0.8,0.0,0.7,1.3,1.4,2008-09
Andover - Andover High,90505,"1,719",11,0.6,0.9,0.7,0.5,0.5,2008-09
Arlington - Arlington High,100505,"1,132",17,1.5,0.0,1.0,1.9,3.0,2008-09
Ashburnham-Westminster - Oakmont Regional H S,6100505,741,8,1.1,0.5,2.2,0.6,1.1,2008-09
Ashland - Ashland High,140505,734,6,0.8,0.5,0.6,1.6,0.6,2008-09
Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,8010605,933,14,1.5,0.0,1.6,2.3,2.3,2008-09
Athol-Royalston - Athol High,6150505,451,28,6.2,7.0,4.0,5.5,8.1,2008-09
Athol-Royalston - Ellen Bigelow,6150005,13,4,30.8,,,,,2008-09
Attleboro - Attleboro High,160505,"1,735",86,5.0,3.5,4.9,6.5,5.1,2008-09
Auburn - Auburn Senior High,170505,710,8,1.1,0.0,1.1,1.0,2.7,2008-09
Avon - Avon Middle High School,180510,234,9,3.8,0.0,6.6,0.0,9.6,2008-09
Ayer - Ayer High,190510,385,12,3.1,3.1,3.3,3.1,2.9,2008-09
Barnstable - Barnstable High,200505,"1,697",42,2.5,2.3,3.8,3.0,0.6,2008-09
Bedford - Bedford High,230505,779,7,0.9,0.0,2.6,0.0,1.0,2008-09
Belchertown - Belchertown High,240505,761,10,1.3,1.4,1.0,1.7,1.1,2008-09
Bellingham - Bellingham High School,250505,760,23,3.0,1.4,1.7,4.5,4.5,2008-09
Bellingham - Primavera Jr/Sr H S,250510,33,5,15.2,,7.1,28.6,22.2,2008-09
Belmont - Belmont High,260505,"1,162",9,0.8,0.7,1.0,0.3,1.1,2008-09
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,75,0,0.0,0.0,0.0,0.0,0.0,2008-09
Berkshire Hills - Monument Mt Reg High,6180505,624,9,1.4,0.0,1.4,1.7,2.5,2008-09
Berlin-Boylston - Tahanto Reg High,6200505,306,1,0.3,0.0,0.0,0.0,1.4,2008-09
Beverly - Beverly High,300505,"1,211",24,2.0,1.7,1.1,1.9,3.3,2008-09
Billerica - Billerica Memorial High School,310505,"1,506",37,2.5,1.7,2.8,3.3,2.1,2008-09
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,103",3,0.3,0.0,0.0,0.4,0.8,2008-09
Blackstone-Millville - Blackstone Millville RHS,6220505,571,11,1.9,1.3,4.7,0.7,1.3,2008-09
Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,8060605,844,8,0.9,0.0,1.9,1.0,1.0,2008-09
Boston - Academy of Public Service,350502,286,29,10.1,14.6,11.3,3.9,9.8,2008-09
Boston - Another Course To College,350541,221,8,3.6,3.3,5.2,1.9,4.0,2008-09
Boston - Boston Adult Academy,350548,278,120,43.2,,,56.1,39.2,2008-09
Boston - Boston Arts Academy,350546,399,8,2.0,1.1,0.8,5.7,0.0,2008-09
Boston - Boston Community Leadership Academy,350558,402,5,1.2,2.3,0.0,1.1,1.3,2008-09
Boston - Boston International  High School,350507,174,12,6.9,3.4,6.3,13.3,5.8,2008-09
Boston - Boston Latin,350560,"1,635",2,0.1,0.0,0.5,0.0,0.0,2008-09
Boston - Boston Latin Academy,350545,"1,170",0,0.0,0.0,0.0,0.0,0.0,2008-09
Boston - Brighton High,350505,"1,247",122,9.8,6.9,9.6,10.7,11.9,2008-09
Boston - Brook Farm Business and Service Career Academy,350576,340,17,5.0,8.2,2.2,6.7,1.7,2008-09
Boston - Carter Developmental Center,350036,15,0,0.0,,,,0.0,2008-09
Boston - Charlestown High,350515,"1,008",175,17.4,9.7,21.5,16.8,19.1,2008-09
Boston - Community Academy,350518,63,17,27.0,,41.7,27.3,4.3,2008-09
Boston - Community Academy of Science and Health,350581,385,29,7.5,3.8,7.6,8.0,11.5,2008-09
Boston - East Boston High,350530,"1,426",94,6.6,5.2,10.1,4.5,6.7,2008-09
Boston - Egleston Comm High School,350543,102,36,35.3,33.3,33.3,47.1,32.7,2008-09
Boston - Excel High School,350522,397,30,7.6,5.8,5.1,11.8,7.9,2008-09
Boston - Fenway High School,350540,290,3,1.0,1.3,1.4,1.3,0.0,2008-09
Boston - Horace Mann School for the Deaf,350750,35,1,2.9,0.0,0.0,,10.0,2008-09
Boston - Jeremiah E Burke High,350525,790,110,13.9,15.4,15.0,14.4,7.9,2008-09
Boston - Madison Park High,350537,"1,482",105,7.1,4.8,7.9,7.5,9.1,2008-09
Boston - Media Communications Technology High School,350578,355,23,6.5,6.2,5.9,0.0,14.0,2008-09
Boston - Monument High School,350538,361,55,15.2,7.9,20.8,21.4,8.1,2008-09
Boston - New Mission High School,350542,244,3,1.2,1.7,1.3,2.2,0.0,2008-09
Boston - Noonan Business Academy,350524,245,22,9.0,6.5,10.2,13.0,9.1,2008-09
Boston - O'Bryant Sch Math/Science,350575,999,12,1.2,2.2,0.8,1.6,0.0,2008-09
Boston - Odyssey High School,350577,356,39,11.0,7.6,6.5,9.8,21.5,2008-09
Boston - Parkway Academy of Technology and Health,350574,307,9,2.9,1.8,6.3,1.4,3.3,2008-09
Boston - Quincy Upper School,350565,202,7,3.5,6.3,2.2,2.0,2.2,2008-09
Boston - Snowden Int'l High,350690,402,17,4.2,1.5,8.9,4.0,1.5,2008-09
Boston - Social Justice Academy,350583,336,40,11.9,11.2,17.0,9.7,9.0,2008-09
Boston - Tech Boston Academy,350539,376,5,1.3,2.7,1.1,0.0,1.1,2008-09
Boston - The Engineering School,350582,309,41,13.3,7.2,12.9,14.9,18.8,2008-09
Boston - The English High,350535,833,45,5.4,5.7,9.9,4.6,1.9,2008-09
Boston - Urban Science Academy,350579,327,11,3.4,1.1,5.7,2.7,3.4,2008-09
Boston - William McKinley,350363,240,12,5.0,1.6,6.3,3.5,8.6,2008-09
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,140,1,0.7,0.0,0.0,0.0,4.8,2008-09
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,301,42,14.0,8.8,14.9,11.1,18.1,2008-09
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,49,2,4.1,6.3,0.0,,,2008-09
Bourne - Bourne High,360505,646,11,1.7,0.6,4.4,1.6,0.0,2008-09
Braintree - Braintree High,400505,"1,473",8,0.5,0.6,0.3,0.5,0.8,2008-09
Bridgewater-Raynham - Bridgewater-Raynham Reg,6250505,"1,531",8,0.5,0.0,0.2,0.5,1.5,2008-09
Bristol County Agricultural - Bristol County Agr High,9100705,429,2,0.5,0.0,0.0,1.0,1.1,2008-09
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Voc Tech,8100605,"1,195",8,0.7,0.0,0.3,1.0,1.4,2008-09
Brockton - B B Russell Alternative School,440080,90,32,35.6,30.2,39.3,58.3,14.3,2008-09
Brockton - Brockton Champion High School,440515,150,50,33.3,36.4,57.1,29.7,19.4,2008-09
Brockton - Brockton High,440505,"4,084",144,3.5,3.4,3.7,3.6,3.6,2008-09
Brockton - Lincoln Alternative School,440400,30,3,10.0,0.0,16.7,16.7,11.1,2008-09
Brookline - Brookline High,460505,"1,770",18,1.0,0.0,0.7,0.9,2.4,2008-09
Burlington - Burlington High,480505,992,9,0.9,0.0,1.5,0.4,1.7,2008-09
Cambridge - Cambridge Rindge and Latin,490506,"1,529",20,1.3,0.5,1.3,1.3,2.3,2008-09
Canton - Canton High,500505,806,6,0.7,0.0,0.5,1.0,1.5,2008-09
Cape Cod Regional Vocational Technical - Cape Cod Region Voc Tech,8150605,702,16,2.3,1.1,0.5,1.9,5.7,2008-09
Carver - Carver High School,520505,530,14,2.6,2.8,2.4,4.5,0.8,2008-09
Central Berkshire - Wahconah Regional High,6350505,661,9,1.4,2.1,1.2,1.2,0.7,2008-09
