School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,343,1.0,0.3,0.0,0.0,0.0,1.1,2013-14
Abington - Abington High,10505,460,11.0,2.4,1.0,0.8,1.5,6.5,2013-14
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,209,5.0,2.4,1.4,1.7,0.0,9.7,2013-14
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,960",1.0,0.1,0.0,0.0,0.2,0.0,2013-14
Adams-Cheshire - Hoosac Valley Middle & High School,6030505,354,9.0,2.5,2.1,0.0,3.0,4.7,2013-14
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,567,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
Agawam - Agawam High,50505,"1,290",17.0,1.3,1.4,1.5,1.3,1.0,2013-14
Amesbury - Amesbury High,70505,640,9.0,1.4,0.0,0.6,2.2,3.2,2013-14
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4150505,47,6.0,12.8,6.7,0.0,6.7,40.0,2013-14
Amherst-Pelham - Amherst Regional High,6050505,998,6.0,0.6,0.0,0.0,1.5,0.8,2013-14
Andover - Andover High,90505,"1,791",5.0,0.3,0.0,0.5,0.5,0.2,2013-14
Arlington - Arlington High,100505,"1,185",15.0,1.3,0.7,0.6,0.3,3.5,2013-14
Ashburnham-Westminster - Oakmont Regional High School,6100505,684,3.0,0.4,0.5,0.6,0.6,0.0,2013-14
Ashland - Ashland High,140505,738,5.0,0.7,0.0,1.1,1.7,0.0,2013-14
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,026",8.0,0.8,0.4,0.0,0.8,2.1,2013-14
Athol-Royalston - Athol High,6150505,373,5.0,1.3,0.0,2.0,3.4,0.0,2013-14
Attleboro - Attleboro High,160505,"1,688",27.0,1.6,0.5,2.2,2.9,0.8,2013-14
Auburn - Auburn Senior High,170505,644,8.0,1.2,1.3,0.0,1.8,1.8,2013-14
Avon - Avon Middle High School,180510,209,4.0,1.9,0.0,5.4,0.0,2.3,2013-14
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,325,11.0,3.4,4.0,1.1,7.0,1.6,2013-14
Barnstable - Barnstable High,200505,"1,498",36.0,2.4,2.7,3.7,2.1,0.9,2013-14
Bedford - Bedford High,230505,868,6.0,0.7,0.4,0.9,1.3,0.0,2013-14
Belchertown - Belchertown High,240505,740,7.0,0.9,0.0,1.6,0.6,1.5,2013-14
Bellingham - Bellingham High School,250505,625,1.0,0.2,0.0,0.0,0.0,0.7,2013-14
Bellingham - Primavera Junior/Senior High School,250510,18,5.0,27.8,,,14.3,,2013-14
Belmont - Belmont High,260505,"1,183",7.0,0.6,0.3,0.0,0.7,1.5,2013-14
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,121,4.0,3.3,0.0,0.0,10.7,5.6,2013-14
Berkshire Hills - Monument Mt Regional High,6180505,554,6.0,1.1,0.7,0.7,1.6,1.6,2013-14
Berlin-Boylston - Tahanto Regional High,6200505,282,7.0,2.5,1.2,2.8,0.0,5.6,2013-14
Beverly - Beverly High,300505,"1,321",16.0,1.2,1.2,1.2,0.9,1.6,2013-14
Billerica - Billerica Memorial High School,310505,"1,374",21.0,1.5,0.9,2.3,1.9,1.1,2013-14
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,164",2.0,0.2,0.0,0.0,0.0,0.7,2013-14
Blackstone-Millville - Blackstone Millville RHS,6220505,487,9.0,1.8,1.5,2.4,2.9,0.8,2013-14
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,842,1.0,0.1,0.4,0.0,0.0,0.0,2013-14
Boston - Another Course To College,350541,231,6.0,2.6,5.3,4.7,0.0,0.0,2013-14
Boston - Boston Adult Academy,350548,211,46.0,21.8,,,12.4,29.8,2013-14
Boston - Boston Arts Academy,350546,445,4.0,0.9,0.0,0.0,0.9,3.2,2013-14
Boston - Boston Community Leadership Academy,350558,517,8.0,1.5,3.3,1.3,0.0,1.0,2013-14
Boston - Boston International  High School,350507,345,17.0,4.9,6.0,4.7,1.7,5.9,2013-14
Boston - Boston Latin,350560,"1,582",2.0,0.1,0.2,0.0,0.3,0.0,2013-14
