School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,372,1.0,0.3,0.0,1.0,0.0,0.0,2011-12
Abington - Abington High,10505,512,19.0,3.7,2.2,1.9,3.5,7.1,2011-12
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,187,3.0,1.6,1.6,0.0,2.9,2.3,2011-12
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,955",1.0,0.1,0.0,0.0,0.2,0.0,2011-12
Adams-Cheshire - Hoosac Valley High,6030505,404,11.0,2.7,0.0,3.2,3.2,4.5,2011-12
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,389,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
Agawam - Agawam High,50505,"1,351",18.0,1.3,0.5,1.2,2.1,1.7,2011-12
Amesbury - Amesbury High,70505,605,10.0,1.7,0.0,0.6,1.9,4.0,2011-12
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4150505,49,2.0,4.1,0.0,0.0,6.3,5.9,2011-12
Amherst-Pelham - Amherst Regional High,6050505,"1,083",16.0,1.5,0.4,1.6,2.1,1.8,2011-12
Andover - Andover High,90505,"1,784",8.0,0.4,0.4,0.4,0.4,0.5,2011-12
Arlington - Arlington High,100505,"1,218",23.0,1.9,1.7,1.0,1.5,3.4,2011-12
Ashburnham-Westminster - Oakmont Regional High School,6100505,673,5.0,0.7,1.7,0.7,0.0,0.5,2011-12
Ashland - Ashland High,140505,717,6.0,0.8,0.0,1.1,0.6,1.6,2011-12
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,013",14.0,1.4,0.7,1.2,2.4,1.3,2011-12
Athol-Royalston - Athol High,6150505,385,18.0,4.7,5.9,1.5,2.2,7.3,2011-12
Athol-Royalston - Ellen Bigelow,6150005,16,3.0,18.8,25.0,,,,2011-12
Attleboro - Attleboro High,160505,"1,756",30.0,1.7,1.1,2.4,1.8,1.5,2011-12
Auburn - Auburn Senior High,170505,723,4.0,0.6,0.0,1.1,0.5,0.5,2011-12
Avon - Avon Middle High School,180510,220,8.0,3.6,3.3,2.2,3.1,6.3,2011-12
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,307,10.0,3.3,2.9,2.5,6.9,1.2,2011-12
Barnstable - Barnstable High,200505,"1,575",23.0,1.5,1.7,1.4,2.0,0.7,2011-12
Bedford - Bedford High,230505,835,2.0,0.2,0.0,0.5,0.0,0.5,2011-12
Belchertown - Belchertown High,240505,757,7.0,0.9,1.0,1.5,0.0,1.2,2011-12
Bellingham - Bellingham High School,250505,685,11.0,1.6,0.0,2.4,3.8,0.6,2011-12
Bellingham - Primavera Junior/Senior High School,250510,22,7.0,31.8,,,,33.3,2011-12
Belmont - Belmont High,260505,"1,083",3.0,0.3,0.7,0.0,0.0,0.4,2011-12
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,106,5.0,4.7,2.4,14.3,0.0,0.0,2011-12
Berkshire Hills - Monument Mt Regional High,6180505,515,3.0,0.6,0.0,0.8,0.0,1.4,2011-12
Berlin-Boylston - Tahanto Regional High,6200505,248,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
Beverly - Beverly High,300505,"1,258",21.0,1.7,0.8,2.2,1.7,2.1,2011-12
Billerica - Billerica Memorial High School,310505,"1,482",26.0,1.8,1.3,1.4,2.8,1.6,2011-12
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,147",1.0,0.1,0.0,0.0,0.0,0.4,2011-12
Blackstone-Millville - Blackstone Millville RHS,6220505,537,18.0,3.4,1.6,4.9,3.4,3.2,2011-12
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,836,3.0,0.4,0.0,0.9,0.0,0.5,2011-12
Boston - Another Course To College,350541,210,13.0,6.2,9.4,3.8,7.1,4.1,2011-12
Boston - Boston Adult Academy,350548,298,46.0,15.4,,,16.1,14.6,2011-12
Boston - Boston Arts Academy,350546,418,3.0,0.7,1.6,0.0,1.0,0.0,2011-12
Boston - Boston Community Leadership Academy,350558,472,12.0,2.5,2.8,2.6,0.8,4.3,2011-12
Boston - Boston International High School,350507,342,8.0,2.3,3.3,1.7,4.5,0.0,2011-12
Boston - Boston Latin,350560,"1,568",0.0,0.0,0.0,0.0,0.0,0.0,2011-12
Boston - Boston Latin Academy,350545,"1,108",8.0,0.7,1.3,1.2,0.4,0.0,2011-12
Boston - Brighton High,350505,"1,130",110.0,9.7,7.0,11.8,8.9,11.2,2011-12
Boston - Brook Farm/Media High,350658,690,47.0,6.8,9.6,7.9,5.0,4.5,2011-12
Boston - Carter Developmental Center,350036,13,0.0,0.0,,,,0.0,2011-12
Boston - Charlestown High,350515,916,109.0,11.9,10.9,15.5,9.6,11.5,2011-12
Boston - Community Academy,350518,37,18.0,48.6,,38.5,,0.0,2011-12
Boston - Community Academy of Science and Health,350581,374,50.0,13.4,19.2,1.9,14.2,11.8,2011-12
Boston - Dorchester Academy,350651,381,69.0,18.1,15.2,20.9,6.8,26.9,2011-12
Boston - East Boston High,350530,"1,366",107.0,7.8,10.7,9.5,4.5,5.5,2011-12
Boston - Egleston Community High School,350543,150,62.0,41.3,62.5,50.0,53.7,26.1,2011-12
Boston - Excel High School,350522,656,87.0,13.3,11.6,5.3,19.0,13.2,2011-12
Boston - Fenway High School,350540,322,3.0,0.9,1.2,1.2,1.2,0.0,2011-12
Boston - Horace Mann School for the Deaf,350750,47,4.0,8.5,15.4,0.0,,12.5,2011-12
Boston - Jeremiah E Burke High,350525,637,80.0,12.6,14.5,10.9,11.8,12.4,2011-12
Boston - Lyon Upper 9-12,350655,81,1.0,1.2,0.0,0.0,4.0,,2011-12
Boston - Madison Park High,350537,"1,258",76.0,6.0,7.5,5.6,4.7,6.0,2011-12
Boston - New Mission High School,350542,257,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
Boston - O'Bryant School Math/Science,350575,"1,032",12.0,1.2,0.7,2.5,0.0,1.0,2011-12
Boston - Quincy Upper School,350565,221,4.0,1.8,1.6,2.6,0.0,3.4,2011-12
Boston - Snowden International School at Copley,350690,410,29.0,7.1,5.9,3.5,4.7,17.3,2011-12
Boston - TechBoston Academy,350657,518,14.0,2.7,3.2,3.3,2.5,1.1,2011-12
Boston - The English High,350535,744,51.0,6.9,6.4,8.2,3.9,8.4,2011-12
Boston - Urban Science Academy,350579,584,51.0,8.7,14.9,4.8,6.1,9.5,2011-12
Boston - William McKinley,350363,241,39.0,16.2,12.9,6.0,16.9,36.6,2011-12
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,199,3.0,1.5,1.2,2.2,2.3,0.0,2011-12
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,347,55.0,15.9,20.9,14.3,15.4,13.4,2011-12
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,335,3.0,0.9,0.0,3.5,0.0,0.0,2011-12
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,170,4.0,2.4,4.9,0.0,2.4,0.0,2011-12
Bourne - Bourne High School,360505,575,3.0,0.5,0.0,0.0,0.6,1.4,2011-12
Braintree - Braintree High,400505,"1,485",10.0,0.7,0.5,0.8,1.1,0.3,2011-12
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,"1,563",17.0,1.1,0.8,0.3,0.5,2.7,2011-12
Bristol County Agricultural - Bristol County Agricultural High,9100705,445,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,8100605,"1,231",4.0,0.3,0.0,0.3,0.0,1.1,2011-12
Brockton - B B Russell Alternative School,440080,87,24.0,27.6,34.6,20.6,35.3,20.0,2011-12
Brockton - Brockton Champion High School,440515,183,62.0,33.9,13.8,45.9,36.2,28.3,2011-12
Brockton - Brockton High,440505,"4,110",99.0,2.4,2.2,3.6,1.7,2.1,2011-12
Brockton - Goddard Alternative School,440400,48,9.0,18.8,20.0,12.5,16.7,25.0,2011-12
Brookline - Brookline High,460505,"1,770",14.0,0.8,0.2,0.7,1.4,0.9,2011-12
Burlington - Burlington High,480505,"1,008",14.0,1.4,1.2,0.4,0.8,3.5,2011-12
Cambridge - Cambridge Rindge and Latin,490506,"1,613",30.0,1.9,0.0,1.5,1.7,4.3,2011-12
Canton - Canton High,500505,883,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,8150605,667,13.0,1.9,0.6,0.6,1.1,5.7,2011-12
Carver - Carver Middle/High School,520405,490,9.0,1.8,2.3,0.8,2.3,1.9,2011-12
Central Berkshire - Wahconah Regional High,6350505,584,10.0,1.7,2.9,1.5,1.6,0.6,2011-12
Chatham - Chatham High,550505,168,2.0,1.2,3.7,0.0,0.0,2.1,2011-12
Chelmsford - Chelmsford High,560505,"1,595",16.0,1.0,0.9,1.1,0.5,1.5,2011-12
Chelsea - Chelsea High,570505,"1,323",104.0,7.9,5.5,10.3,10.0,5.0,2011-12
Chicopee - Chicopee Academy,610021,75,16.0,21.3,10.7,40.0,25.0,9.1,2011-12
Chicopee - Chicopee Comprehensive High School,610510,"1,445",53.0,3.7,0.3,1.7,4.7,8.2,2011-12
Chicopee - Chicopee High,610505,"1,126",43.0,3.8,0.0,6.3,3.1,5.6,2011-12
City On A Hill Charter Public (District) - City On A Hill Charter Public School,4370505,291,5.0,1.7,1.8,1.2,1.8,2.6,2011-12
Clinton - Clinton Senior High,640505,458,8.0,1.7,0.0,3.6,0.0,3.8,2011-12
Codman Academy Charter Public (District) - Codman Academy Charter Public School,4380505,149,5.0,3.4,4.0,7.0,0.0,0.0,2011-12
Cohasset - Cohasset Middle/High School,650505,364,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,188,1.0,0.5,1.3,0.0,0.0,0.0,2011-12
Concord-Carlisle - Concord Carlisle High,6400505,"1,209",3.0,0.2,0.0,0.0,0.3,0.6,2011-12
Danvers - Danvers High,710505,"1,017",11.0,1.1,0.4,0.8,0.4,3.0,2011-12
Dartmouth - Dartmouth High,720505,"1,133",13.0,1.1,0.7,1.3,0.7,1.8,2011-12
Dedham - Dedham High,730505,784,11.0,1.4,1.1,1.4,1.6,1.5,2011-12
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,818,22.0,2.7,1.0,4.4,3.3,1.9,2011-12
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,6500505,946,7.0,0.7,0.0,1.0,1.2,0.8,2011-12
Douglas - Douglas High School,770505,462,13.0,2.8,4.2,1.6,4.2,1.7,2011-12
Dover-Sherborn - Dover-Sherborn Regional High,6550505,637,3.0,0.5,0.0,0.0,0.0,1.9,2011-12
Dracut - Dracut Senior High,790505,"1,080",19.0,1.8,2.3,1.7,1.7,1.3,2011-12
Dudley-Charlton Reg - Shepherd Hill Regional High,6580505,"1,121",13.0,1.2,0.4,0.7,3.0,0.6,2011-12
Duxbury - Duxbury High,820505,"1,022",2.0,0.2,0.4,0.0,0.0,0.4,2011-12
East Bridgewater - East Bridgewater High,830505,550,19.0,3.5,0.0,0.6,2.4,12.2,2011-12
East Longmeadow - East Longmeadow High,870505,880,5.0,0.6,0.0,0.5,0.4,1.4,2011-12
Easthampton - Easthampton High,860505,445,7.0,1.6,0.0,3.4,0.9,2.0,2011-12
Easton - Oliver Ames High,880505,"1,183",11.0,0.9,0.4,0.6,1.4,1.3,2011-12
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School) - Edward M. Kennedy Academy for Health Careers (Horace Mann Ch,4520505,225,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
Essex Agricultural Technical - Essex Agricultural and Technical Institute,9130705,482,2.0,0.4,0.0,0.0,0.8,0.9,2011-12
