School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,356,4.0,1.1,2.1,1.2,0.0,1.2,2016-17
Abington - Abington High,10505,448,3.0,0.7,0.8,1.8,0.0,0.0,2016-17
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,211,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,863",9.0,0.5,0.0,0.2,0.7,1.1,2016-17
Adams-Cheshire - Hoosac Valley Middle & High School,6030505,321,6.0,1.9,1.6,2.1,2.4,1.3,2016-17
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,498,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
Agawam - Agawam High,50505,"1,216",12.0,1.0,0.7,1.6,1.4,0.3,2016-17
Amesbury - Amesbury High,70505,593,1.0,0.2,0.0,0.0,0.0,0.6,2016-17
Amesbury - Amesbury Innovation High School,70515,31,3.0,9.7,0.0,,18.2,9.1,2016-17
Amherst-Pelham - Amherst Regional High,6050505,919,10.0,1.1,1.3,0.0,1.3,1.8,2016-17
Andover - Andover High,90505,"1,788",5.0,0.3,0.7,0.0,0.2,0.2,2016-17
Arlington - Arlington High,100505,"1,289",8.0,0.6,0.6,0.0,1.6,0.3,2016-17
Ashburnham-Westminster - Oakmont Regional High School,6100505,693,2.0,0.3,0.0,0.6,0.0,0.6,2016-17
Ashland - Ashland High,140505,744,6.0,0.8,0.5,1.2,1.1,0.5,2016-17
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,103",4.0,0.4,0.0,0.7,0.4,0.4,2016-17
Athol-Royalston - Athol High,6150505,348,11.0,3.2,4.0,3.9,3.1,1.4,2016-17
Atlantis Charter (District) - Atlantis Charter School,4910550,187,1.0,0.5,1.6,0.0,0.0,,2016-17
Attleboro - Attleboro Community Academy,160515,63,17.0,27.0,,28.6,28.6,21.4,2016-17
Attleboro - Attleboro High,160505,"1,661",20.0,1.2,2.0,0.0,2.1,0.5,2016-17
Auburn - Auburn Senior High,170505,703,8.0,1.1,0.0,1.0,1.1,2.5,2016-17
Avon - Avon Middle High School,180510,195,1.0,0.5,0.0,0.0,2.1,0.0,2016-17
