OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,REGION,OS_ID,GDB_GEOMATTR_DATA
33,DeFilippo Playground,City of Boston,A97,3,Central Boston,1.11810624,135 Prince Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,081,
34,Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Central Boston,1.9815775,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,PARK_Cemetery Maintenance Request,071,
35,Copp's Hill Terrace,City of Boston,A97/NRHP,1,Central Boston,0.61203713,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,072,
36,Foster Street Play Area,City of Boston,A97,3,Central Boston,0.10758423, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,123,
37,Charter Street Park,City of Boston,A97,3,Central Boston,0.23871022,Opposite 26 Charter Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,052,
38,Paul Revere Mall,City of Boston,A97,1,Central Boston,0.85716454,370 Hanover Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"The Prado;  Webster Avenue Playground",BPRD,PARK_Maintenance_Region 1,231,
39,Polcari Park,City of Boston,A97,3,Central Boston,0.27894045,Opposite 44 Prince Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,240,
40,Cutillo Park,City of Boston,A97/LWCF,3,Central Boston,0.28935655,Opposite 15 Stillman Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,077,
41,City Hall Plaza,BRA,A97,1,Central Boston,6.01397006, ,Open Space District,"Malls, Squares & Plazas",NULL, ,X,X,City Hall Square, ,PARK_Maintenance_Ground Maintenance,2141,
42,Norman Leventhal Park,Private,Agrmnt,3,Central Boston,1.54089431,130 Congress Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BRA,Private,X,X,Post Office Square Park, ,INFO_Reallocation From Dept,7008,
43,Angell Memorial Square,City of Boston,A97,1,Central Boston,0.17664515,Congress Str.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Ground Maintenance,010,
44,Union Street Park I,BRA,A97,1,Central Boston,0.50833641,Between Union Street & Congress Street opposite City Hall,Open Space District,"Malls, Squares & Plazas",NULL,BPRD,X,X,"Holocaust Memorial;  Curley Memorial",BRA,PARK_Maintenance_Ground Maintenance,2144,
45,Langone Park,City of Boston,A97/Ch91/WPA,3,Central Boston,2.1838685,529 Commercial Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,175,
46,Prince Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,1.28400688, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3004,
47,Rachel Revere Square,City of Boston,A97,1,Central Boston,0.08036273,210 North St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,252,
48,Tai Tung Park,City of Boston,A97,3,Central Boston,0.03349567,"110 Tyler Street, Corner w/Tai Tung St.",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Tai Tung Tot Lot, ,PARK_Maintenance_Region 1,299,
49,Edwards Playground,City of Boston,A97,3,Charlestown,1.33874237,10 Eden Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,McCarthy-Eden Plgd, ,PARK_Maintenance_Region 1,101,
50,City Square,Commonwealth of Massachusetts,A97/LL,1,Charlestown,1.20876298, ,Open Space District,"Malls, Squares & Plazas",DCR, ,X,X, , ,INFO_Reallocation From Dept,3005,
51,John Harvard Mall,City of Boston,A97,1,Charlestown,0.82983814, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Region 1,145,
52,Paul Revere Park,Commonwealth of Massachusetts,A97,2,Charlestown,6.40064499, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3006,
53,Charlestown HS Athletic Fields,City of Boston,Ch91/WPA,3,Charlestown,10.41698001,Opposite 240 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X,Little Mystic Harborwalk, ,PARK_Maintenance_Region 1,051,
54,Ryan Playground,City of Boston,A97/USH/Ch91/WPA,3,Charlestown,8.77653179,62 Alford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,274,
55,Barry Playground,City of Boston,A97/PARC/Ch91/WPA,3,Charlestown,3.5513371,41 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,015,
56,Doherty Playground,City of Boston,A97/USH,3,Charlestown,3.75245886,349 Bunker Hill Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,087,
57,St Francis De Sales Cemetery,Private, ,4,Charlestown,1.79988905, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, , , ,INFO_Reallocation From Dept,7010,
58,Bunker Hill Monument,United States of America,A97/NRHP/PR,1,Charlestown,3.77625645, ,Residential District,"Malls, Squares & Plazas",National Park Service,National Park Service,X,X,Monument Square,NPS,INFO_Reallocation From Dept,5000,
59,Phipps Street Burying Ground,City of Boston,Ch114S7/A97,4,Charlestown,1.72179063, ,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,A, , ,PARK_Maintenance_Ground Maintenance,238,
60,Winthrop Square,City of Boston,A97,1,Charlestown,0.900859,"Winthrop, Common, Adams Sts.",Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,Training Field, ,PARK_Maintenance_Region 1,326,
61,Hayes Square,City of Boston,A97,1,Charlestown,0.1747193,Between Bunker Hill and Vine St.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,148,
62,Charlestown Sprouts Garden,City of Boston, ,5,Charlestown,0.4765882, ,Open Space District,Community Gardens,NULL, ,N, , , ,PARK_Maintenance_Region 1,2006,
63,East Boston Memorial Park I,City of Boston,A97/UPARR,3,East Boston,17.6796181, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Satori Stadium, ,PARK_Maintenance_Region 1,098,
64,Noyes Playground,City of Boston,A97/LWCF,3,East Boston,8.31709266,86 Boardman St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,216,
