OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,REGION,OS_ID,GDB_GEOMATTR_DATA
126,Dudley Town Common,City of Boston,A97,1,Roxbury,0.61711798, ,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,094,
127,King Street Play Area,City of Boston,A97/Trust Fund,3,Roxbury,0.1252945,239 Roxbury Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X,Play Area #4,BPRD,PARK_Maintenance_Region 5,170,
128,Jeep Jones Park,City of Boston,A97/PARC,3,Roxbury,1.81821592,221 Roxbury Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,164,
129,Linwood Park,City of Boston,A97,1,Roxbury,0.07384486,1 Linwood Park/Opp. 75 Centre St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,180,
130,Kittredge Park,City of Boston,A97/PARC,1,Roxbury,0.11614305,Linwood Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,Alvah Kittredge Park, ,PARK_Maintenance_Region 5,172,
131,Rockledge Street Urban Wild,City of Boston,A97,6,Roxbury,0.51363738, ,Open Space District,Urban Wilds,BCC,BPRD,X,X, ,BCC,PARK_Maintenance_Ground Maintenance,1009,
132,St James Street Park,City of Boston,A97,3,Roxbury,0.39295057,Adjacent to 35 St. James Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,292,
133,Malcolm X Park I,City of Boston,A97/LWCF,3,Roxbury,15.24316864,158 Walnut Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Washington Park, ,PARK_Maintenance_Region 5,186,
134,Horatio Harris Park,City of Boston,A97/LWCF,3,Roxbury,2.52211074,Opposite 227 Walnut Ave,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 3,157,
135,Trotter School Playground,City of Boston,A97/UPARR,3,Roxbury,1.24409101,Oppoiste 156 Humboldt Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,306,
136,Crawford Street Playground,City of Boston,A97,3,Roxbury,2.56768548,Adjacent to 310 Walnut Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,073,
137,Father Jack Play Area,City of Boston,A97,3,Roxbury,0.31972415,345 Walnut Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,"Msgr. John Roussin Park, Walnut Park Play Area", ,PARK_Maintenance_Region 5,311,
138,Flaherty Playground,City of Boston,A97,3,Jamaica Plain,1.31089218, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Cornwall, ,PARK_Maintenance_Region 3,119,
139,Marcella Playground,City of Boston,A97/LWCF,3,Roxbury,5.09023284,260 Highland Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,187,
140,Highland Park,City of Boston,A97,3,Roxbury,3.63283913,58 Beech Glen Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,152,
141,Cedar Square,City of Boston,A97,3,Roxbury,0.61566382,Opposite 20 Cedar Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,045,
142,Elm Hill Park,City of Boston,A97,1,Roxbury,0.11791867,Off 550 Warren Str.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Region 5,105,
143,Quincy Street Play Area,City of Boston,A97/USH,3,Roxbury,0.54606112,Opposite 70 Quincy Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,250,
144,Howes Playground,City of Boston,A97/UPARR/PARC,3,Roxbury,1.89271114, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Gertrude Howes Plgd, ,PARK_Maintenance_Region 5,158,
145,Little Scobie Playground,City of Boston,A97,3,Roxbury,0.79442312,Between Dunreath & Copeland Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,181,
146,Erie/Ellington Playground,City of Boston,A97/LWCF/OCB,3,Dorchester,0.37053063,Corner of Ellington and Erie,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,108,
147,Puddingstone Park,City of Boston,A97,3,Dorchester,0.54822668,Opposite 331 Seaver Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,247,
148,Bynoe Park,City of Boston,A97/UPARR/USH,3,Roxbury,2.67513375,Between Orchard Park & Adams St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,"Edna V. Bynoe Park; Orchard Park", ,PARK_Maintenance_Region 5,100,
149,Buena Vista,City of Boston,A97,6,Roxbury,1.47775025, ,Open Space District,Urban Wilds,BCC,BPRD,X,X,Warren Gardens-Gendrot Trust,BCC,PARK_Maintenance_Ground Maintenance,1010,
150,Madison Park H.S. Athletic Fields,City of Boston, ,3,Roxbury,9.60646747,55 R New Dudley Str.,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, , ,PARK_Maintenance_Region 5,183,
151,Dennis Street Park,City of Boston,A97/USH,3,Roxbury,0.68561997,138 Moreland Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Moreland Green, ,PARK_Maintenance_Region 5,085,
152,Holborn Street Playlot,City of Boston,A97/LWCF/USH,3,Roxbury,0.14143004,6 Holborn Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 5,155,
153,Medal of Honor Park,City of Boston,A97,1,South Boston,6.18321088,Opposite 805 East Broadway,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,196,
154,Christopher Lee Playground,City of Boston,A97/LWCF,3,South Boston,5.43840854, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,M Street Plgd, ,PARK_Maintenance_Region 6,057,
155,Hawes Burying Ground,City of Boston,Ch114S7/A97,4,South Boston,0.24322679,Opposite 286 Emerson Str.,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,PARK_Cemetery Maintenance Request,146,
156,Union Burying Ground,City of Boston,Ch114S7/A97,4,South Boston,0.12032393,Opposite 655 East Fifth Str.,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,PARK_Cemetery Maintenance Request,307,
157,Dorchester Heights NHS,United States of America,A97/NRHP,1,South Boston,4.40435229, ,Residential District,"Malls, Squares & Plazas",National Park Service, ,X,X,Thomas Park/Telegraph Hill, ,INFO_Reallocation From Dept,5001,
158,Flaherty Park,City of Boston,A97,3,South Boston,0.25204014,Opposite 133 B Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,118,
159,Buckley Playground,City of Boston,A97,3,South Boston,0.64952408,Opposite 209 West Third Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,035,
160,Ronan Park,City of Boston,A97/LWCF/USH,3,Dorchester,11.2413665,Opposite 65 Mt. Ida Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,268,
161,Mt. Bowdoin Green,City of Boston,A97,1,Dorchester,0.53822545,Opposite 11 Bowdoin Ave.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,206,
162,Byrne Playground,City of Boston,A97,3,Dorchester,1.18864855,23 Everett Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,039,
163,Doherty/Gibson Playground,City of Boston,A97,3,Dorchester,5.72677554, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Townfield, ,PARK_Maintenance_Region 2,088,
164,Wellesley Park,City of Boston,A97,3,Dorchester,0.7134472,29 Wellesley Park,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,316,
165,McMorrow Playground,Commonwealth of Massachusetts,A97,3,Dorchester,5.23227413, ,Industrial District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3029,
166,Hemenway Playground,City of Boston,A97/UPARR,3,Dorchester,4.39559122,531 Adams Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,151,
167,Rev. Loesch Family Park,City of Boston,A97/UPARR/PARC,3,Dorchester,2.25173143,Opposite 21 Wainwright Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Cronin/Wainwright Park, ,PARK_Maintenance_Region 2,257,
168,Codman Burying Ground,Private, ,4,Dorchester,2.62546008, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N,N, , ,INFO_Reallocation From Dept,7032,
169,Walsh Playground,City of Boston,A97/LWCF,3,Mattapan,6.94625108,Opposite 31 Clancy Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,312,
170,Dorchester South Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,1.93328338,Opposite 2096 Dorchester Ave.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,PARK_Cemetery Maintenance Request,091,
171,Dorchester Park,City of Boston,A97/USH,3,Dorchester,27.2996867,1003 Adams Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,090,
172,Gallivan/Hallet Circle,Commonwealth of Massachusetts,A97,1,Dorchester,0.47803119, ,Commercial/Office/Business District,"Malls, Squares & Plazas",DCR, ,X,X, , ,INFO_Reallocation From Dept,3030,
173,Toohig Playground,Commonwealth of Massachusetts,A97,3,Dorchester,2.12442011, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3031,
174,Martin/Hilltop Playground,City of Boston,A97,3,Dorchester,1.31399581,101 Myrtlebank Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,189,
175,10 Josephine Street Garden,TTOR,PDR/Land Trust,5,Dorchester,0.06909026, ,Residential District,Community Gardens,TTOR,Private,N,N, , ,INFO_Reallocation From Dept,7208,
176,Mother's Rest at Four Corners,City of Boston,A97/LWCF/USH,3,Dorchester,1.14620734, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,205,
177,Ripley Playground,City of Boston,A97/UPARR/PARC,3,Dorchester,0.84612895,Opposite 24 Ripley Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,261,
178,Garvey Playground,City of Boston,A97,3,Dorchester,5.26426894,Opposite 345 Neposet Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,William H. Garvey Playground, ,PARK_Maintenance_Region 2,130,
179,Ventura Playground,Commonwealth of Massachusetts,A97,3,Dorchester,1.31001994, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3032,
180,Geneva Cliffs I,City of Boston,A97,6,Dorchester,1.7984447, ,Residential District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Ground Maintenance,1011,
181,Hayes Park,City of Boston,A97,3,South End,0.2751935,Opposite 178 West Canton Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,147,
182,Peters Park II,BRA, ,3,South End,0.50712416,230 Shawmut Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, ,BRA,INFO_Reallocation From Dept,2155,
183,Peters Park I,City of Boston,A97,3,South End,3.32684208,230 Shawmut Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,236,
184,Rotch Playground,City of Boston,A97,3,South End,2.74608007,30 Randolph Str.,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,272,
185,Ringgold Park,City of Boston,A97,3,South End,0.44552493,10 Ringgold Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,"Hanson St. Play Area, Ringgold St. Play Area", ,PARK_Maintenance_Region 6,260,
186,Blackstone Square,City of Boston,A97,1,South End,2.44463878,1535 Washington Str.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,024,
187,Franklin Square,City of Boston,A97/LWCF,1,South End,2.48301375,Opposite 7 St. George Str.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,126,
188,South End South Burying Ground,City of Boston,Ch114S7/A97,4,South End,1.47010128,1620 Washington Str.,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,PARK_Cemetery Maintenance Request,286,
189,Worcester Square,City of Boston,A97,1,South End,0.34378499,17 Worcester Sq.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Region 6,330,
190,Carter Playground,City of Boston,A97/LWCF,3,Roxbury,4.91494835,627 Columbus Ave,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,043,
191,Titus Sparrow Park,City of Boston,A97,3,South End,1.79889248,75 West Rutland Sq.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,304,
192,Waltham Square,City of Boston,A97,1,South End,0.11841486,Opposite 75 Union Park Str.,Industrial District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,314,
193,Harriet Tubman Square,City of Boston,A97,1,South End,0.14178604,Columbus/Warren Ave.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Tubman Sq, Columbus Square",BPRD,PARK_Maintenance_Region 6,144,
194,Concord Square,City of Boston,A97,1,South End,0.14956232,Opposite 20 Concord Sq.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Region 6,065,
195,Ramsay Park,City of Boston,A97/UPARR/USH,3,Roxbury,5.49386846,1917 Washington Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,254,
196,Commonwealth Avenue Outbound,City of Boston, ,2,Allston-Brighton,5.5282581, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",BPRD, ,N,X, ,BPWD,PARK_Maintenance_Ground Maintenance,2027,
197,Commonwealth Plaza,MassDOT, ,1,Allston-Brighton,0.1567464, ,Institutional District,"Malls, Squares & Plazas",NULL,Private,N,X, , ,INFO_Reallocation From Dept,4044,
198,Union Square Plaza,City of Boston, ,1,Allston-Brighton,0.38992706, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, , ,INFO_Reallocation From Dept,2047,
199,Chester Square,City of Boston,A97,1,South End,0.89020425,Between 531 to 555 Mass Ave.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,Chester Park, ,PARK_Maintenance_Region 6,053,
200,Msgr. Reynolds Playground,City of Boston,A97,3,South End,0.32092654,Corner of Wash. & Msgr. Reynolds,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,202,
201,Rutland Square,City of Boston,A97,1,South End,0.15582059, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Region 6,273,
202,Hiscock Park,City of Boston,A97,3,South End,0.10575804, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,153,
203,Billings Field,City of Boston,A97/LWCF,3,West Roxbury,10.77603957,369 LaGrange Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,023,
204,Mount Benedict Cemetery,Private, ,4,West Roxbury,79.31400741, ,Conservation Protection Subdistrict,Cemeteries & Burying Grounds,NULL, ,N, , , ,INFO_Reallocation From Dept,7039,
205,Mount Lebanon Cemetery,Private, ,4,West Roxbury,48.71769387, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N,X, , ,INFO_Reallocation From Dept,7040,
206,Gethsemane Cemetery,Private, ,4,West Roxbury,20.84240401, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , , ,INFO_Reallocation From Dept,7041,
207,Hancock Woods I,Commonwealth of Massachusetts,A97/WPA,2,West Roxbury,45.95344061, ,Conservation Protection Subdistrict,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3033,
208,Sawmill Brook/Brook Farm,Commonwealth of Massachusetts,A97/NRHP/WPA,2,West Roxbury,149.44332308, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3034,
209,Congregation Mishkan Tefia Cemetery,Private, ,4,West Roxbury,9.5877396, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , , ,INFO_Reallocation From Dept,7044,
210,Draper Playground,City of Boston,A97,3,West Roxbury,5.86258777,68 Stimpson Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Region 4,093,
211,Westerly Burying Ground,City of Boston,Ch114S7/A97/NRHP,4,West Roxbury,0.90354196,Centre Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,PARK_Cemetery Maintenance Request,320,
212,Piemonte Park,City of Boston,A97,1,West Roxbury,0.08957481,Opposite 200 Lasell Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,239,
213,Duffie Square,City of Boston,A97,1,West Roxbury,0.05535156,Stratford Street west of Clement Avenue,Residential District,"Malls, Squares & Plazas",BPRD,Private,X,X,Arthur Duffie Square,BPRD,PARK_Maintenance_Ground Maintenance,096,
214,St Joseph's Cemetery,Private, ,4,West Roxbury,129.11471872, ,Conservation Protection Subdistrict,Cemeteries & Burying Grounds,NULL, ,N, , , ,INFO_Reallocation From Dept,7046,
215,Allandale Woods I,City of Boston,A97/WPA,6,West Roxbury,48.14609073, ,Conservation Protection Subdistrict,Urban Wilds,BPRD,BPRD,X,X, ,BPRD,PARK_Maintenance_Ground Maintenance,004,
216,Allandale Woods III,Private,A97/CR/WPA,6,West Roxbury,16.72572172, ,Conservation Protection Subdistrict,Urban Wilds,BCC,Private+BPRD,X,X,Allandale Condo CR, ,PARK_Maintenance_Ground Maintenance,1012,
217,Bellevue Hill Reservation,Commonwealth of Massachusetts,A97,2,West Roxbury,26.66902106, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3035,
218,West Roxbury H.S. Athletic Fields,City of Boston, ,3,West Roxbury,13.4250183,Off VFW Pkwy,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, , ,PARK_Maintenance_Region 4,318,
219,Ramler Park,City of Boston,A97,3,Fenway/Longwood,0.5060027,124 Peterborough Str.,Institutional District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Dorothy and David Ramler Park, ,PARK_Maintenance_Region 3,253,
220,Fernald Rock,City of Boston,A97,6,Dorchester,0.06345156, ,Residential District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Ground Maintenance,1013,
221,Nashua Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,2.03369846, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,New Charles River Reservation, ,INFO_Reallocation From Dept,3036,
222,Chestnut Hill Reservoir,Commonwealth of Massachusetts,A97/NRHP/WPA,2,Allston-Brighton,115.81199014, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3037,
223,Penniman Road Play Area,City of Boston,A97,3,Allston-Brighton,0.92237908,25 Penniman Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Penniman-Hano Play Area, ,PARK_Maintenance_Region 4,234,
224,O'Day Playground,City of Boston,A97/PARC/UPARR,3,South End,0.71771528,"West Newton, San Juan, & Aquadilla Sts.",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 6,219,
225,Fan Pier Plaza,United States of America,Ch91/WPA,1,South Boston,2.36341621,12 Northern Avenue,Special District,"Malls, Squares & Plazas",NULL, ,N,X,Courthouse Plaza, ,INFO_Reallocation From Dept,6001,
226,Children's Wharf Harborwalk,Private,A97/Ch91/WPA,1,South Boston,0.22805971,308 Congress Street,Industrial District,"Malls, Squares & Plazas",BPRD,Private,X,X, ,Private,INFO_Reallocation From Dept,334,
227,Martin's Park,City of Boston,A97/Ch91/WPA,3,South Boston,1.12128945,64 Sleeper St,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X, ,BPRD,INFO_Reallocation From Dept,333,
228,Braddock Park,City of Boston,A97,1,South End,0.09218721,27 Braddock Park,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Berwick Park,BPRD,PARK_Maintenance_Region 6,029,
229,Veterans Park II,City of Boston,A97,3,East Boston,0.19887514,76-84 London Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,London & Decatur St Park II,BPRD,INFO_Reallocation From Dept,342,
230,East Boston Piers Park,Massport,Statute,3,East Boston,6.79116545, ,Open Space District,"Parks, Playgrounds & Athletic Fields",COM,Massport,X,X,Piers Park,Massport,INFO_Reallocation From Dept,4041,
231,Caldwell Street Play Area,City of Boston,A97,3,Charlestown,0.12752687,Adjacent to 13 Caldwell,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 1,040,
232,L Street Beach,City of Boston,A97/Ch91/WPA,2,South Boston,5.57148359,1663 Columbia Road,Open Space District,"Parkways, Reservations & Beaches",BPRD,BCYF,X,X,Curley Community Center,BPRD,INFO_Reallocation From Dept,173,
233,M Street Beach,Commonwealth of Massachusetts,A97,2,South Boston,4.40304053, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3038,
234,Stonehill Park,City of Boston,A97,3,Hyde Park,0.36558742,2-16 Raldne St.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Coast Guard Park, ,PARK_Maintenance_Region 4,295,
235,Strandway/Castle Island,Commonwealth of Massachusetts,A97,2,South Boston,47.70344233, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,"Fort Independence; Pleasure Ba", ,INFO_Reallocation From Dept,3039,
236,Marine Park,Commonwealth of Massachusetts,A97,2,South Boston,17.20141724, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3040,
237,UMass Harborwalk,Commonwealth of Massachusetts,Ch91/WPA,2,Dorchester,13.08638195, ,Institutional District,"Parkways, Reservations & Beaches",NULL, ,N,X, , ,INFO_Reallocation From Dept,4006,
238,Malibu Beach,Commonwealth of Massachusetts,A97,2,Dorchester,26.11969713, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3041,
239,Victory Road Park,Commonwealth of Massachusetts,A97,2,Dorchester,6.15518826, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3042,
240,Parkman Memorial,City of Boston,A97/GPOD,3,Jamaica Plain,6.71026098,Perkins Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, , ,PARK_Maintenance_Region 3,228,
241,West Roxbury High School Marsh,City of Boston,WPA,6,West Roxbury,21.48685572, ,Institutional District,Open Land,NULL, ,N,X, , ,INFO_Reallocation From Dept,2031,
242,West Roxbury Parkway,Commonwealth of Massachusetts,A97,2,West Roxbury,31.76358405, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3043,
243,Florida Street Reservation,City of Boston,A97,1,Dorchester,0.06797622, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,INFO_Reallocation From Dept,339,
244,Tenean Beach,Commonwealth of Massachusetts,A97/ACEC,2,Dorchester,8.70228873, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3044,
245,Cedar Grove Cemetery,Private, ,4,Dorchester,54.18516548, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, , , ,INFO_Reallocation From Dept,7058,
246,Martini Playground,Commonwealth of Massachusetts,A97/LWCF/WPA,2,Hyde Park,5.78045491, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3045,
247,Reservation Road Park,City of Boston,A97/LWCF/WPA,3,Hyde Park,9.32832139,151 Res. Road,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Mother Brook II,BPRD,PARK_Maintenance_Region 4,256,
248,Colella Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,0.66053058, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3046,
249,Neponset Valley Parkway,Commonwealth of Massachusetts,A97,2,Hyde Park,5.54015396, ,Residential District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3047,
250,Dooley Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,0.53566356, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3048,
251,Stony Brook Reservation I,Commonwealth of Massachusetts,A97/Wetlands,2,Hyde Park,285.44155885, ,Residential District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,INFO_Reallocation From Dept,3049,
252,Patrick J. Kelly Park,Private,A97,3,Charlestown,0.25171851,Prospect Street,Residential District,"Parks, Playgrounds & Athletic Fields",Private,Private,X,X,Kelly/McGoff Park, ,INFO_Reallocation From Dept,7060,
253,Clark/Cooper Community Garden,Private,LandTrust/Statt,5,Mattapan,3.55447112,500 Walk Hill Street,Industrial District,Community Gardens,Mass Audubon Society,Community Group/Non-Profit,X,N,"Clark/Cooper CG;  (part of Boston Nature Center)", ,INFO_Reallocation From Dept,7061,
254,Kennedy Garden,Commonwealth of Massachusetts,A97,5,Mattapan,0.15964578, ,Open Space District,Community Gardens,DCR, ,X,X, , ,INFO_Reallocation From Dept,3050,
255,White Stadium,City of Boston,A97,3,Roxbury,12.57440475, ,Open Space District,"Parks, Playgrounds & Athletic Fields",White Fund,BPS,X,X, ,BPS,INFO_Reallocation From Dept,2033,
256,Havey Beach,Commonwealth of Massachusetts,A97/WPA,2,West Roxbury,15.198967, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Roche Family Rink,DCR,INFO_Reallocation From Dept,3051,
