School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Boston - Madison Park High,350537,885,58.0,6.6,6.1,12.4,3.8,4.1,2015-16
Boston - Margarita Muniz Academy,350549,302,6.0,2.0,2.4,2.4,0.0,2.9,2015-16
Boston - New Mission High School,350542,319,8.0,2.5,5.0,2.6,1.2,1.3,2015-16
Boston - O'Bryant School Math/Science,350575,"1,140",7.0,0.6,1.0,0.0,0.0,1.7,2015-16
Boston - Quincy Upper School,350565,207,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Boston - Snowden International School at Copley,350690,373,15.0,4.0,6.8,1.3,3.1,1.9,2015-16
Boston - TechBoston Academy,350657,601,15.0,2.5,3.0,1.3,2.9,3.0,2015-16
Boston - The English High,350535,585,63.0,10.8,11.6,5.0,10.6,14.8,2015-16
Boston - Urban Science Academy,350579,489,32.0,6.5,13.0,4.0,3.5,4.4,2015-16
Boston - West Roxbury Academy,350658,526,40.0,7.6,13.2,8.6,5.8,2.7,2015-16
Boston - William McKinley,350363,173,32.0,18.5,15.8,20.5,17.4,20.0,2015-16
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,306,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,380,90.0,23.7,31.6,22.0,1.6,28.1,2015-16
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,288,8.0,2.8,1.4,0.0,0.0,10.3,2015-16
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,230,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Bourne - Bourne High School,360505,450,9.0,2.0,1.8,1.0,5.3,0.7,2015-16
Braintree - Braintree High,400505,"1,573",12.0,0.8,0.5,0.2,0.3,2.0,2015-16
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,"1,522",4.0,0.3,0.0,0.0,0.5,0.5,2015-16
Bristol County Agricultural - Bristol County Agricultural High,9100705,468,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,8100605,"1,302",9.0,0.7,0.3,0.6,0.9,1.0,2015-16
Brockton - B B Russell Alternative School,440080,22,7.0,31.8,8.3,,,,2015-16
Brockton - Brockton Champion High School,440515,112,19.0,17.0,5.0,15.0,13.6,,2015-16
Brockton - Brockton High,440505,"4,222",58.0,1.4,1.5,1.5,1.0,1.5,2015-16
Brockton - Edison Academy,440520,221,69.0,31.2,,31.4,28.2,32.5,2015-16
Brockton - Goddard Alternative School,440400,30,3.0,10.0,12.5,0.0,,,2015-16
Brookline - Brookline High,460505,"1,933",7.0,0.4,0.2,0.0,0.8,0.4,2015-16
Burlington - Burlington High,480505,986,4.0,0.4,0.4,0.4,0.8,0.0,2015-16
Cambridge - Cambridge Rindge and Latin,490506,"1,862",9.0,0.5,0.2,0.2,1.1,0.5,2015-16
Canton - Canton High,500505,940,5.0,0.5,0.0,0.8,0.0,1.4,2015-16
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,8150605,614,9.0,1.5,0.0,0.0,1.4,4.5,2015-16
Carver - Carver Middle/High School,520405,423,9.0,2.1,3.7,3.6,0.0,1.0,2015-16
Central Berkshire - Wahconah Regional High,6350505,552,4.0,0.7,0.0,0.0,1.4,1.6,2015-16
Chelmsford - Chelmsford High,560505,"1,509",12.0,0.8,0.9,1.0,0.5,0.7,2015-16
Chelsea - Chelsea High,570505,"1,517",118.0,7.8,8.1,8.5,7.7,6.0,2015-16
