School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,343,4,1.2,0.0,0.0,0.0,5.1,2014-15
Abington - Abington High,10505,472,9,1.9,1.5,0.0,2.6,3.1,2014-15
Academy Of the Pacific Rim Charter Public - Academy Of the Pacific Rim Charter Public School,4120530,213,0,0.0,0.0,0.0,0.0,0.0,2014-15
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,903",7,0.4,0.0,0.4,0.6,0.4,2014-15
Adams-Cheshire - Hoosac Valley Middle & High School,6030505,338,11,3.3,0.0,3.2,4.1,5.5,2014-15
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,569,0,0.0,0.0,0.0,0.0,0.0,2014-15
Agawam - Agawam High,50505,"1,280",9,0.7,0.6,0.6,0.9,0.7,2014-15
Amesbury - Amesbury High,70505,618,6,1.0,1.3,1.3,0.0,1.5,2014-15
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4150505,46,5,10.9,11.1,13.3,11.1,7.7,2014-15
Amherst-Pelham - Amherst Regional High,6050505,976,10,1.0,0.0,2.1,1.3,0.8,2014-15
Andover - Andover High,90505,"1,744",2,0.1,0.0,0.0,0.5,0.0,2014-15
Arlington - Arlington High,100505,"1,217",7,0.6,0.7,0.0,0.6,1.0,2014-15
Ashburnham-Westminster - Oakmont Regional High School,6100505,710,3,0.4,0.5,1.1,0.0,0.0,2014-15
Ashland - Ashland High,140505,719,4,0.6,0.0,1.1,1.1,0.0,2014-15
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,058",6,0.6,0.0,0.0,1.5,0.8,2014-15
Athol-Royalston - Athol High,6150505,380,19,5.0,1.0,8.6,5.7,5.0,2014-15
Atlantis Charter - Atlantis Charter School,4910550,47,0,0.0,0.0,,,,2014-15
Attleboro - Attleboro Community Academy,160515,48,3,6.3,,,21.4,0.0,2014-15
Attleboro - Attleboro High,160505,"1,694",17,1.0,0.9,2.4,0.4,0.3,2014-15
Auburn - Auburn Senior High,170505,652,5,0.8,0.0,0.6,0.6,1.9,2014-15
Avon - Avon Middle High School,180510,203,6,3.0,4.9,2.0,2.0,2.4,2014-15
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,341,3,0.9,1.0,0.0,0.0,3.6,2014-15
Barnstable - Barnstable High,200505,"1,498",26,1.7,2.0,1.9,2.0,0.9,2014-15
Bedford - Bedford High,230505,881,4,0.5,0.0,0.5,1.0,0.4,2014-15
Belchertown - Belchertown High,240505,708,5,0.7,0.5,1.1,0.6,0.6,2014-15
Bellingham - Bellingham High School,250505,599,5,0.8,0.8,0.7,0.6,1.1,2014-15
Bellingham - Primavera Junior/Senior High School,250510,25,4,16.0,0.0,,,0.0,2014-15
Belmont - Belmont High,260505,"1,236",4,0.3,0.0,0.7,0.0,0.7,2014-15
Berkshire Arts and Technology Charter Public - Berkshire Arts and Technology Charter Public School,4140305,129,0,0.0,0.0,0.0,0.0,0.0,2014-15
Berkshire Hills - Monument Mt Regional High,6180505,542,6,1.1,1.6,1.4,0.7,0.8,2014-15
Berlin-Boylston - Tahanto Regional High,6200505,297,1,0.3,0.0,0.0,0.0,1.7,2014-15
Beverly - Beverly High,300505,"1,345",16,1.2,0.6,1.2,1.8,1.2,2014-15
Billerica - Billerica Memorial High School,310505,"1,268",15,1.2,1.2,1.6,0.3,1.5,2014-15
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,185",1,0.1,0.0,0.0,0.0,0.4,2014-15
Blackstone-Millville - Blackstone Millville RHS,6220505,453,7,1.5,1.8,0.8,1.6,2.1,2014-15
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,859,2,0.2,0.4,0.0,0.0,0.5,2014-15
Boston - Another Course To College,350541,236,8,3.4,1.6,5.0,0.0,7.3,2014-15
Boston - Boston Adult Academy,350548,191,49,25.7,,,27.6,24.8,2014-15
Boston - Boston Arts Academy,350546,441,5,1.1,0.0,1.6,0.8,2.1,2014-15
Boston - Boston Community Leadership Academy,350558,518,8,1.5,3.2,2.0,0.7,0.0,2014-15
Boston - Boston International  High School,350507,381,17,4.5,6.3,1.2,4.5,3.4,2014-15
Boston - Boston Latin,350560,"1,621",2,0.1,0.2,0.3,0.0,0.0,2014-15
Boston - Boston Latin Academy,350545,"1,174",4,0.3,0.6,0.3,0.0,0.4,2014-15
Boston - Brighton High,350505,960,65,6.8,8.7,6.8,4.7,6.9,2014-15
Boston - Carter Developmental Center,350036,17,0,0.0,,,,0.0,2014-15
Boston - Charlestown High,350515,921,83,9.0,12.3,9.5,3.6,10.0,2014-15
Boston - Community Academy,350518,62,36,58.1,0.0,64.3,61.5,70.4,2014-15
Boston - Community Academy of Science and Health,350581,349,16,4.6,5.9,0.0,4.8,7.5,2014-15
