School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,380,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
Abington - Abington High,10505,611,8.0,1.3,0.0,3.1,0.7,1.3,2020-21
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,266,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,747",4.0,0.2,0.0,0.0,0.2,0.7,2020-21
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,589,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
Agawam - Agawam High,50505,"1,050",20.0,1.9,2.1,1.8,1.8,1.8,2020-21
Amesbury - Amesbury High,70505,513,6.0,1.2,0.0,1.7,1.6,1.4,2020-21
Amesbury - Amesbury Innovation High School,70515,42,4.0,9.5,,0.0,15.4,11.8,2020-21
Amherst-Pelham - Amherst Regional High,6050505,862,9.0,1.0,0.0,1.9,0.5,1.8,2020-21
Andover - Andover High,90505,"1,728",4.0,0.2,0.0,0.2,0.7,0.0,2020-21
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,245,4.0,1.6,1.5,2.4,1.6,0.0,2020-21
Arlington - Arlington High,100505,"1,409",3.0,0.2,0.0,0.3,0.3,0.3,2020-21
Ashburnham-Westminster - Oakmont Regional High School,6100505,635,6.0,0.9,0.0,1.2,1.5,1.2,2020-21
Ashland - Ashland High,140505,805,6.0,0.7,0.5,0.6,0.9,0.9,2020-21
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,149",6.0,0.5,0.0,0.7,0.4,1.1,2020-21
Athol-Royalston - Athol High,6150505,342,7.0,2.0,0.0,3.8,2.6,2.4,2020-21
Atlantis Charter (District) - Atlantis Charter School,4910550,307,4.0,1.3,1.7,3.4,0.0,0.0,2020-21
Attleboro - Attleboro Community Academy,160515,48,14.0,29.2,,,,19.4,2020-21
Attleboro - Attleboro High,160505,"1,777",17.0,1.0,0.7,1.4,1.1,0.7,2020-21
Auburn - Auburn Senior High,170505,716,4.0,0.6,0.0,0.5,0.0,1.8,2020-21
Avon - Avon Middle High School,180510,191,1.0,0.5,0.0,0.0,2.0,0.0,2020-21
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,357,6.0,1.7,1.0,0.0,3.7,2.4,2020-21
Barnstable - Barnstable High,200505,"1,369",25.0,1.8,0.3,3.0,2.4,1.7,2020-21
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,242,1.0,0.4,0.0,1.5,0.0,0.0,2020-21
Bedford - Bedford High,230505,829,2.0,0.2,0.0,0.5,0.4,0.0,2020-21
Belchertown - Belchertown High,240505,689,8.0,1.2,0.6,1.6,1.9,0.6,2020-21
Bellingham - Bellingham High School,250505,560,3.0,0.5,0.0,0.0,2.1,0.0,2020-21
Bellingham - Keough Memorial Academy,250510,20,1.0,5.0,,,14.3,0.0,2020-21
Belmont - Belmont High,260505,"1,309",0.0,0.0,0.0,0.0,0.0,0.0,2020-21
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,173,2.0,1.2,2.0,2.3,0.0,0.0,2020-21
Berkshire Hills - Monument Mt Regional High,6180505,501,7.0,1.4,0.0,0.0,2.7,2.5,2020-21
Berlin-Boylston - Tahanto Regional High,6200505,313,2.0,0.6,0.0,2.8,0.0,0.0,2020-21
Beverly - Beverly High,300505,"1,277",12.0,0.9,0.0,1.8,1.2,0.7,2020-21
Billerica - Billerica Memorial High School,310505,"1,086",11.0,1.0,0.8,0.7,0.3,2.5,2020-21
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,231",0.0,0.0,0.0,0.0,0.0,0.0,2020-21
Blackstone-Millville - Blackstone Millville RHS,6220505,415,9.0,2.2,3.0,2.7,1.8,1.1,2020-21
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,890,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
Boston - Another Course To College,350541,236,3.0,1.3,0.0,5.0,0.0,0.0,2020-21
Boston - Boston Adult Academy,350548,133,22.0,16.5,,,0.0,43.1,2020-21
Boston - Boston Arts Academy,350546,482,3.0,0.6,0.0,0.0,0.9,2.0,2020-21
Boston - Boston Collaborative High School,350755,157,25.0,15.9,,15.4,11.1,17.6,2020-21
Boston - Boston Community Leadership Academy,350558,458,2.0,0.4,0.0,0.9,0.0,1.0,2020-21
Boston - Boston International High School,350507,398,17.0,4.3,1.6,11.3,3.6,1.0,2020-21
Boston - Boston Latin,350560,"1,647",1.0,0.1,0.0,0.2,0.0,0.0,2020-21
Boston - Boston Latin Academy,350545,"1,249",2.0,0.2,0.3,0.3,0.0,0.0,2020-21
Boston - Brighton High,350505,390,12.0,3.1,0.0,4.0,5.5,1.6,2020-21
Boston - Carter School,350036,11,0.0,0.0,,,,,2020-21
Boston - Charlestown High,350515,732,14.0,1.9,0.8,3.6,1.5,1.1,2020-21
Boston - Community Academy,350518,49,6.0,12.2,,9.1,18.8,11.1,2020-21
Boston - Community Academy of Science and Health,350581,331,11.0,3.3,3.1,5.8,0.0,4.7,2020-21
Boston - Dearborn,350074,319,3.0,0.9,0.0,2.4,1.1,0.0,2020-21
Boston - Dr. William Henderson Upper,350426,271,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
Boston - East Boston High,350530,"1,039",5.0,0.5,0.0,1.0,0.3,0.4,2020-21
Boston - Excel High School,350522,468,12.0,2.6,0.0,2.7,0.8,6.1,2020-21
Boston - Fenway High School,350540,387,4.0,1.0,0.9,0.0,1.0,2.3,2020-21
Boston - Greater Egleston Community High School,350543,113,24.0,21.2,,23.1,25.7,17.6,2020-21
Boston - Horace Mann School for the Deaf,350750,19,1.0,5.3,,16.7,0.0,,2020-21
Boston - Jeremiah E Burke High,350525,381,9.0,2.4,0.0,2.9,0.0,5.2,2020-21
Boston - Lyon Upper 9-12,350655,135,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
Boston - Madison Park High,350537,"1,024",19.0,1.9,1.7,1.3,3.5,1.1,2020-21
Boston - Margarita Muniz Academy,350549,315,5.0,1.6,0.0,0.0,3.5,2.7,2020-21
Boston - New Mission High School,350542,384,2.0,0.5,0.0,0.0,0.0,2.6,2020-21
Boston - O'Bryant School Math/Science,350575,"1,297",1.0,0.1,0.0,0.0,0.4,0.0,2020-21
Boston - Quincy Upper School,350565,224,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
