School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,358,3.0,0.8,0.0,0.9,1.3,1.6,2010-11
Abington - Abington High,10505,510,11.0,2.2,2.0,0.7,1.6,4.1,2010-11
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,169,3.0,1.8,4.0,0.0,0.0,3.0,2010-11
Acton-Boxborough - Acton-Boxborough Reg High,6000505,"1,990",12.0,0.6,0.0,0.2,1.3,1.0,2010-11
Adams-Cheshire - Hoosac Valley High,6030505,428,9.0,2.1,1.6,4.2,1.6,1.2,2010-11
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,314,1.0,0.3,0.9,0.0,0.0,0.0,2010-11
Agawam - Agawam High,50505,"1,337",26.0,1.9,2.1,1.2,3.2,1.3,2010-11
Amesbury - Amesbury High,70505,640,10.0,1.6,0.0,0.0,1.9,4.2,2010-11
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4150505,49,1.0,2.0,0.0,8.3,0.0,0.0,2010-11
Amherst-Pelham - Amherst Regional High,6050505,"1,103",20.0,1.8,1.5,0.7,3.3,1.8,2010-11
Andover - Andover High,90505,"1,802",14.0,0.8,0.2,0.8,0.7,1.4,2010-11
Arlington - Arlington High,100505,"1,196",12.0,1.0,0.7,2.2,0.7,0.3,2010-11
Ashburnham-Westminster - Oakmont Regional H S,6100505,677,8.0,1.2,0.7,0.6,1.1,2.3,2010-11
Ashland - Ashland High,140505,718,7.0,1.0,0.0,1.1,0.0,3.1,2010-11
Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,8010605,997,19.0,1.9,0.0,1.1,2.8,4.1,2010-11
Athol-Royalston - Athol High,6150505,445,21.0,4.7,4.8,6.7,4.5,3.3,2010-11
Athol-Royalston - Ellen Bigelow,6150005,13,4.0,30.8,,,,,2010-11
Attleboro - Attleboro High,160505,"1,721",37.0,2.1,2.3,1.8,2.4,2.1,2010-11
Auburn - Auburn Senior High,170505,742,6.0,0.8,0.0,1.1,1.5,0.6,2010-11
Avon - Avon Middle High School,180510,227,3.0,1.3,3.0,1.6,0.0,0.0,2010-11
Ayer - Ayer High School,190510,334,4.0,1.2,0.0,2.5,1.0,1.4,2010-11
Barnstable - Barnstable High,200505,"1,616",36.0,2.2,1.6,3.2,2.2,1.8,2010-11
Bedford - Bedford High,230505,783,3.0,0.4,0.0,0.9,0.0,0.5,2010-11
Belchertown - Belchertown High,240505,788,9.0,1.1,0.4,0.5,2.9,1.1,2010-11
Bellingham - Bellingham High School,250505,709,14.0,2.0,1.7,1.2,3.6,1.2,2010-11
Bellingham - Primavera Jr/Sr H S,250510,24,5.0,20.8,,,12.5,,2010-11
Belmont - Belmont High,260505,"1,104",9.0,0.8,0.0,0.8,1.4,1.1,2010-11
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,96,1.0,1.0,0.0,0.0,7.1,0.0,2010-11
