School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,379,1.0,0.3,0.0,0.0,0.0,1.2,2019-20
Abington - Abington High,10505,587,6.0,1.0,0.6,0.6,1.3,1.7,2019-20
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,237,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,809",3.0,0.2,0.0,0.0,0.2,0.4,2019-20
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,588,1.0,0.2,0.0,0.0,0.0,0.7,2019-20
Agawam - Agawam High,50505,"1,074",22.0,2.0,3.0,2.1,1.1,1.9,2019-20
Amesbury - Amesbury High,70505,523,3.0,0.6,0.8,0.0,0.7,0.7,2019-20
Amesbury - Amesbury Innovation High School,70515,53,1.0,1.9,0.0,0.0,0.0,5.3,2019-20
Amherst-Pelham - Amherst Regional High,6050505,911,10.0,1.1,0.0,1.3,0.8,2.2,2019-20
Andover - Andover High,90505,"1,761",3.0,0.2,0.0,0.2,0.4,0.0,2019-20
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,189,3.0,1.6,2.2,1.5,0.0,,2019-20
Arlington - Arlington High,100505,"1,411",5.0,0.4,0.3,0.3,0.9,0.0,2019-20
Ashburnham-Westminster - Oakmont Regional High School,6100505,651,1.0,0.2,0.0,0.7,0.0,0.0,2019-20
Ashland - Ashland High,140505,825,4.0,0.5,0.0,0.0,0.5,1.4,2019-20
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,141",3.0,0.3,0.0,0.0,0.4,0.8,2019-20
Athol-Royalston - Athol High,6150505,321,10.0,3.1,1.3,2.5,4.6,3.8,2019-20
Atlantis Charter (District) - Atlantis Charter School,4910550,312,1.0,0.3,0.0,0.0,1.1,0.0,2019-20
Attleboro - Attleboro Community Academy,160515,53,11.0,20.8,,,20.0,20.7,2019-20
Attleboro - Attleboro High,160505,"1,754",11.0,0.6,0.4,1.3,0.5,0.3,2019-20
Auburn - Auburn Senior High,170505,733,2.0,0.3,0.0,0.0,1.1,0.0,2019-20
Avon - Avon Middle High School,180510,184,1.0,0.5,2.0,0.0,0.0,0.0,2019-20
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,374,8.0,2.1,1.0,3.7,2.3,2.0,2019-20
Barnstable - Barnstable High,200505,"1,388",27.0,1.9,1.5,2.1,1.9,2.3,2019-20
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,232,4.0,1.7,1.5,1.9,3.3,0.0,2019-20
Bedford - Bedford High,230505,841,2.0,0.2,0.4,0.0,0.5,0.0,2019-20
Belchertown - Belchertown High,240505,694,4.0,0.6,1.0,0.0,0.0,1.2,2019-20
Bellingham - Bellingham High School,250505,564,3.0,0.5,0.8,1.4,0.0,0.0,2019-20
Bellingham - Keough Memorial Academy,250510,30,2.0,6.7,25.0,0.0,0.0,0.0,2019-20
Belmont - Belmont High,260505,"1,318",4.0,0.3,0.9,0.3,0.0,0.0,2019-20
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,168,2.0,1.2,0.0,1.9,2.8,0.0,2019-20
Berkshire Hills - Monument Mt Regional High,6180505,501,4.0,0.8,0.8,0.0,0.8,1.8,2019-20
Berlin-Boylston - Tahanto Regional High,6200505,298,1.0,0.3,1.5,0.0,0.0,0.0,2019-20
Beverly - Beverly High,300505,"1,303",12.0,0.9,0.9,0.8,1.3,0.7,2019-20
Billerica - Billerica Memorial High School,310505,"1,175",4.0,0.3,0.3,0.0,0.0,0.9,2019-20
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,224",1.0,0.1,0.0,0.0,0.0,0.3,2019-20
Blackstone-Millville - Blackstone Millville RHS,6220505,425,3.0,0.7,0.0,2.6,0.0,0.0,2019-20
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,856,2.0,0.2,0.0,0.4,0.0,0.5,2019-20
Boston - Another Course To College,350541,232,7.0,3.0,0.0,1.7,5.3,5.5,2019-20
Boston - Boston Adult Academy,350548,181,43.0,23.8,,,10.4,38.8,2019-20
Boston - Boston Arts Academy,350546,477,12.0,2.5,0.0,3.0,4.0,3.6,2019-20
Boston - Boston Collaborative High School,350755,174,87.0,50.0,,53.3,22.5,59.1,2019-20
Boston - Boston Community Leadership Academy,350558,481,6.0,1.2,0.0,3.0,1.8,0.0,2019-20
Boston - Boston International High School,350507,429,5.0,1.2,1.9,1.0,1.1,0.0,2019-20
Boston - Boston Latin,350560,"1,650",1.0,0.1,0.2,0.0,0.0,0.0,2019-20
Boston - Boston Latin Academy,350545,"1,218",0.0,0.0,0.0,0.0,0.0,0.0,2019-20
Boston - Brighton High,350505,519,45.0,8.7,10.5,9.4,5.3,9.7,2019-20
Boston - Carter School,350036,11,0.0,0.0,,,,,2019-20
Boston - Charlestown High,350515,804,33.0,4.1,3.3,8.5,1.9,2.5,2019-20
Boston - Community Academy,350518,56,13.0,23.2,,35.3,26.3,13.3,2019-20
Boston - Community Academy of Science and Health,350581,354,24.0,6.8,7.1,2.7,8.0,8.6,2019-20
Boston - Dearborn,350074,268,7.0,2.6,1.9,1.2,4.3,5.7,2019-20
Boston - Dr. William Henderson Upper,350426,265,2.0,0.8,0.0,1.7,0.0,1.5,2019-20
Boston - East Boston High,350530,"1,072",19.0,1.8,2.3,1.0,1.1,3.0,2019-20
Boston - Excel High School,350522,487,17.0,3.5,1.0,5.4,3.8,3.3,2019-20
Boston - Fenway High School,350540,393,3.0,0.8,0.9,1.0,0.0,1.2,2019-20
Boston - Greater Egleston Community High School,350543,100,27.0,27.0,20.0,21.9,25.0,45.0,2019-20
Boston - Horace Mann School for the Deaf,350750,26,1.0,3.8,0.0,0.0,,10.0,2019-20
Boston - Jeremiah E Burke High,350525,405,21.0,5.2,5.1,8.0,6.9,1.7,2019-20
Boston - Lyon Upper 9-12,350655,128,5.0,3.9,0.0,5.7,6.3,3.2,2019-20
Boston - Madison Park High,350537,"1,002",54.0,5.4,1.1,9.3,7.1,5.2,2019-20
Boston - Margarita Muniz Academy,350549,319,9.0,2.8,1.1,4.8,2.5,3.0,2019-20
Boston - New Mission High School,350542,352,3.0,0.9,0.0,1.1,1.1,1.3,2019-20
Boston - O'Bryant School Math/Science,350575,"1,258",4.0,0.3,0.8,0.0,0.0,0.4,2019-20
Boston - Quincy Upper School,350565,211,2.0,0.9,0.0,1.7,0.0,1.8,2019-20
Boston - Snowden International School at Copley,350690,473,8.0,1.7,2.1,2.6,0.8,1.1,2019-20
Boston - TechBoston Academy,350657,547,10.0,1.8,0.7,2.3,3.7,0.7,2019-20
Boston - The English High,350535,561,19.0,3.4,3.3,1.7,4.1,4.3,2019-20
Boston - Urban Science Academy,350579,39,5.0,12.8,,,,2.6,2019-20
Boston - West Roxbury Academy,350658,28,6.0,21.4,,,,17.9,2019-20
Boston - William McKinley,350363,164,20.0,12.2,14.3,15.4,11.9,3.7,2019-20
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,301,3.0,1.0,0.0,2.6,0.0,1.7,2019-20
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,414,66.0,15.9,12.5,20.0,16.3,16.5,2019-20
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,317,7.0,2.2,0.0,3.7,1.2,4.2,2019-20
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,289,1.0,0.3,0.0,1.3,0.0,0.0,2019-20
Bourne - Bourne High School,360505,454,2.0,0.4,1.0,0.9,0.0,0.0,2019-20
Braintree - Braintree High,400505,"1,715",14.0,0.8,0.5,0.2,0.5,2.1,2019-20
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,"1,409",9.0,0.6,0.6,0.8,0.3,0.8,2019-20
