School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,310,3,1.0,1.7,1.1,0.0,0.0,2009-10
Abington - Abington High,10505,558,13,2.3,0.7,1.5,2.1,4.8,2009-10
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public Sch,4120530,175,0,0.0,0.0,0.0,0.0,0.0,2009-10
Acton-Boxborough - Acton-Boxborough Reg High,6000505,"1,953",7,0.4,0.0,0.2,0.4,0.9,2009-10
Adams-Cheshire - Hoosac Valley High,6030505,436,22,5.0,4.5,3.8,3.8,8.9,2009-10
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter Sch,4300305,204,1,0.5,1.3,0.0,0.0,,2009-10
Agawam - Agawam High,50505,"1,312",13,1.0,0.8,0.9,1.7,0.7,2009-10
Amesbury - Amesbury High,70505,668,12,1.8,0.6,1.9,2.2,2.5,2009-10
Amesbury Academy Charter Public School - Academy of Strategic Learning Charter School,4150505,49,5,10.2,22.2,21.4,0.0,0.0,2009-10
Amherst-Pelham - Amherst Regional High,6050505,"1,168",17,1.5,0.7,1.7,2.4,1.0,2009-10
Andover - Andover High,90505,"1,799",6,0.3,0.4,0.5,0.2,0.2,2009-10
Arlington - Arlington High,100505,"1,162",17,1.5,2.2,2.5,0.7,0.4,2009-10
Ashburnham-Westminster - Oakmont Regional H S,6100505,738,10,1.4,1.6,1.5,0.0,2.3,2009-10
Ashland - Ashland High,140505,723,4,0.6,0.0,0.0,1.8,0.6,2009-10
Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,8010605,963,10,1.0,0.0,0.4,2.9,1.0,2009-10
Athol-Royalston - Athol High,6150505,457,28,6.1,2.8,12.0,6.7,5.3,2009-10
Athol-Royalston - Ellen Bigelow,6150005,12,3,25.0,,,,,2009-10
Attleboro - Attleboro High,160505,"1,756",44,2.5,1.7,4.0,2.1,2.2,2009-10
Auburn - Auburn Senior High,170505,763,5,0.7,0.0,1.0,1.2,0.5,2009-10
Avon - Avon Middle High School,180510,215,4,1.9,1.6,3.2,0.0,2.1,2009-10
Ayer - Ayer High,190510,365,8,2.2,2.3,1.1,2.4,3.0,2009-10
Barnstable - Barnstable High,200505,"1,691",54,3.2,3.9,4.7,2.5,1.3,2009-10
Bedford - Bedford High,230505,769,5,0.7,0.0,1.0,1.1,0.6,2009-10
Belchertown - Belchertown High,240505,754,12,1.6,1.8,2.2,2.0,0.0,2009-10
