,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
228,Boston - Joseph J Hurley,350182,     373,15.0,1.3,3.2,0.0,0.0,0.0,,,not D4
229,Boston - Joseph Lee,350183,     722,79.0,0.1,10.8,0.0,0.0,0.0,,,C11
230,Boston - Joseph P Manning,350184,     173,9.0,2.9,3.5,0.0,0.0,0.0,,,E13
231,Boston - Joseph P Tynan,350181,     298,2.0,,,,,,,,not D4
232,Boston - Josiah Quincy,350286,     880,5.0,,,,,,,,not D4
233,Boston - Joyce Kilmer,350190,     482,2.0,,,,,,,,not D4
234,Boston - King K-8,350376,     598,57.0,0.5,9.5,0.0,0.0,0.0,,,C11
235,Boston - Lee Academy,350001,     219,0.0,,,,,,,,C11
236,Boston - Lilla G. Frederick Middle School,350383,     626,45.0,1.0,5.8,0.0,0.2,1.1,,,not D4
237,Boston - Lyndon,350262,     598,2.0,,,,,,,,not D4
238,Boston - Lyon K-8,350004,     148,7.0,4.1,2.0,0.0,0.0,0.7,,,not D4
239,Boston - Lyon Upper 9-12,350655,     136,2.0,,,,,,,,not D4
240,Boston - Madison Park High,350537,     891,137.0,9.8,9.2,0.0,0.3,0.1,,,not D4
241,Boston - Manassah E Bradley,350215,     312,0.0,,,,,,,,not D4
242,Boston - Margarita Muniz Academy,350549,     296,8.0,0.0,2.7,0.0,0.0,0.0,,,not D4
243,Boston - Mario Umana Academy,350656,"   1,061",53.0,1.8,3.6,0.0,0.0,0.0,,,not D4
244,Boston - Mather,350227,     692,4.0,,,,,,,,C11
245,Boston - Mattahunt,350226,     681,27.0,0.1,3.7,0.0,0.0,0.1,,,not D4
246,Boston - Maurice J Tobin,350229,     517,16.0,0.0,3.1,0.0,0.0,0.0,,,not D4
247,Boston - Michael J Perkins,350231,     249,8.0,0.0,3.2,0.0,0.0,0.0,,,not D4
248,Boston - Mildred Avenue K-8,350378,     582,10.0,0.0,1.7,0.0,0.0,0.0,,,B3
249,Boston - Mission Hill School,350382,     241,4.0,,,,,,,,E13
250,Boston - Mozart,350237,     200,2.0,,,,,,,,not D4
251,Boston - Nathan Hale,350243,     202,0.0,,,,,,,,not D4
252,Boston - New Mission High School,350542,     328,0.0,,,,,,,,not D4
253,Boston - O W Holmes,350138,     440,20.0,0.7,4.3,0.0,0.0,0.0,,,C11
254,Boston - O'Bryant School Math/Science,350575,"   1,446",9.0,0.0,0.6,0.0,0.0,0.0,,,not D4
255,Boston - Oliver Hazard Perry,350255,     258,2.0,,,,,,,,not D4
256,Boston - Orchard Gardens,350257,     962,89.0,2.3,7.8,0.0,0.0,0.1,,,not D4
257,Boston - Patrick J Kennedy,350264,     334,4.0,,,,,,,,not D4
258,Boston - Paul A Dever,350268,     477,43.0,0.8,9.0,0.0,0.0,0.4,,,C11
259,Boston - Pauline Agassiz Shaw Elementary School,350014,     231,2.0,,,,,,,,not D4
260,Boston - Phineas Bates,350278,     300,3.0,,,,,,,,not D4
261,Boston - Quincy Upper School,350565,     513,7.0,0.0,1.4,0.0,0.0,0.0,,,not D4
262,Boston - Rafael Hernandez,350691,     411,1.0,,,,,,,,not D4
263,Boston - Richard J Murphy,350240,"   1,016",38.0,0.4,3.7,0.0,0.1,0.0,,,not D4
264,Boston - Roger Clap,350298,     202,1.0,,,,,,,,not D4
265,Boston - Samuel Adams,350302,     324,6.0,0.0,1.9,0.0,0.0,0.0,,,not D4
266,Boston - Samuel W Mason,350304,     267,0.0,,,,,,,,not D4
267,Boston - Sarah Greenwood,350308,     496,39.0,4.2,5.2,0.0,0.0,0.0,,,not D4
268,Boston - Snowden International School at Copley,350690,     451,38.0,0.2,7.8,0.0,0.0,0.9,,,not D4
269,Boston - TechBoston Academy,350657,"   1,069",128.0,0.4,11.9,0.0,0.1,0.0,,,not D4
270,Boston - The English High,350535,     647,28.0,0.2,4.0,0.0,0.2,0.0,,,not D4
271,Boston - Thomas J Kenny,350328,     389,14.0,0.0,3.6,0.0,0.0,0.0,,,not D4
272,Boston - UP Academy Holland,350167,     799,79.0,6.6,5.6,0.0,0.0,0.3,,,not D4
273,Boston - Urban Science Academy,350579,     486,36.0,0.0,7.0,0.0,0.4,0.0,,,not D4
274,Boston - Warren-Prescott,350346,     634,7.0,0.3,0.8,0.0,0.0,0.0,,,not D4
275,Boston - Washington Irving Middle,350445,     380,50.0,1.3,12.4,0.0,0.0,0.0,,,not D4
276,Boston - West Roxbury Academy,350658,     604,19.0,0.0,3.1,0.0,0.0,0.3,,,not D4
277,Boston - William E Russell,350366,     427,0.0,,,,,,,,not D4
278,Boston - William Ellery Channing,350360,     288,0.0,,,,,,,,not D4
279,Boston - William H Ohrenberger,350258,     675,22.0,0.6,3.1,0.0,0.1,0.0,,,not D4
280,Boston - William McKinley,350363,     485,136.0,0.8,24.3,0.0,0.2,4.9,,,not D4
281,Boston - William Monroe Trotter,350370,     602,35.0,0.3,5.6,0.0,0.0,0.0,,,not D4
282,Boston - Winship Elementary,350374,     284,1.0,,,,,,,,not D4
283,Boston - Young Achievers,350380,     614,47.0,0.5,7.7,0.0,0.0,0.0,,,not D4
284,Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,     692,34.0,0.9,4.0,0.0,0.0,0.0,,,not D4
285,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,     505,5.0,,,,,,,,not D4
286,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,     514,50.0,1.6,8.6,0.0,1.6,0.0,,,not D4
287,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,     422,66.0,10.7,6.9,0.0,0.0,0.0,,,not D4
288,Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,4810550,     965,45.0,3.7,1.2,0.0,0.0,0.0,,,not D4
308,Bridge Boston Charter School (District) - Bridge Boston Charter School,4170205,     276,31.0,0.7,11.2,0.0,0.0,1.4,,,not D4
772,KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,4630205,     519,105.0,5.6,18.1,0.0,0.0,0.0,,,B3
1601,UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,4800405,     481,107.0,0.8,22.2,0.0,0.0,1.7,,,not D4
