,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
166,Boston - Another Course To College,350541,     249,18.0,0.4,6.8,0.0,0.8,0.0,,,not D4
167,Boston - Baldwin Early Learning Center,350003,     192,0.0,,,,,,,,not D4
168,Boston - Beethoven,350021,     368,0.0,,,,,,,,not D4
169,Boston - Blackstone,350390,     683,45.0,4.7,3.5,0.0,0.0,0.1,,,not D4
170,Boston - Boston Adult Academy,350548,     265,1.0,,,,,,,,not D4
171,Boston - Boston Arts Academy,350546,     450,0.0,,,,,,,,not D4
172,Boston - Boston Collaborative High School,350755,     337,0.0,,,,,,,,not D4
173,Boston - Boston Community Leadership Academy,350558,     518,17.0,0.0,3.3,0.0,0.0,0.0,,,not D4
174,Boston - Boston International High School,350507,     569,22.0,0.2,3.5,0.0,0.2,0.0,,,not D4
175,Boston - Boston Latin,350560,"   2,411",5.0,,,,,,,,not D4
176,Boston - Boston Latin Academy,350545,"   1,707",42.0,0.5,2.2,0.0,0.1,0.0,,,not D4
177,Boston - Boston Teachers Union School,350012,     316,8.0,0.3,2.2,0.0,0.0,0.0,,,E13
178,Boston - Brighton High,350505,     945,78.0,0.7,7.8,0.0,0.0,0.0,,,not D4
179,Boston - Carter Developmental Center,350036,      29,0.0,,,,,,,,not D4
180,Boston - Charles H Taylor,350054,     589,3.0,,,,,,,,not D4
181,Boston - Charles Sumner,350052,     603,0.0,,,,,,,,not D4
182,Boston - Charlestown High,350515,"   1,029",89.0,2.1,7.2,0.0,0.3,0.0,,,not D4
183,Boston - Clarence R Edwards Middle,350430,     368,44.0,4.6,10.1,0.0,0.5,0.3,,,not D4
184,Boston - Community Academy,350518,     107,28.0,2.8,24.3,0.0,0.0,3.7,,,not D4
185,Boston - Community Academy of Science and Health,350581,     450,36.0,0.0,8.0,0.0,0.0,0.0,,,not D4
186,Boston - Curley K-8 School,350020,"   1,018",35.0,0.3,3.1,0.0,0.0,0.0,,,E13
187,Boston - Curtis Guild,350062,     345,1.0,,,,,,,,not D4
188,Boston - Dante Alighieri Montessori School,350066,      98,1.0,,,,,,,,not D4
189,Boston - David A Ellis,350072,     497,9.0,0.0,1.8,0.0,0.0,0.0,,,not D4
190,Boston - Dearborn,350074,     347,33.0,0.3,9.2,0.0,0.0,0.3,,,not D4
191,Boston - Dennis C Haley,350077,     505,13.0,2.4,0.4,0.0,0.0,0.0,,,not D4
192,Boston - Donald Mckay,350080,     764,34.0,3.3,1.7,0.0,0.0,0.0,,,not D4
193,Boston - Dorchester Academy,350651,     129,17.0,0.8,7.0,0.0,0.8,7.0,,,not D4
194,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     223,8.0,0.4,3.1,0.0,0.0,0.4,,,B3
195,Boston - Dr. William Henderson Lower,350266,     227,1.0,,,,,,,,C11
196,Boston - Dr. William Henderson Upper,350426,     571,38.0,1.8,5.8,0.0,0.0,0.4,,,not D4
197,Boston - ELC - West Zone,350006,     134,0.0,,,,,,,,not D4
198,Boston - East Boston Early Childhood Center,350009,     190,0.0,,,,,,,,not D4
199,Boston - East Boston High,350530,"   1,694",22.0,0.0,1.3,0.0,0.0,0.0,,,not D4
200,Boston - Edison K-8,350375,     829,64.0,0.0,7.7,0.0,0.0,0.2,,,not D4
201,Boston - Edward Everett,350088,     316,1.0,,,,,,,,C11
202,Boston - Eliot Elementary,350096,     578,0.0,,,,,,,,not D4
203,Boston - Ellis Mendell,350100,     272,6.0,2.2,0.4,0.0,0.0,0.0,,,not D4
204,Boston - Excel High School,350522,     549,94.0,3.3,15.1,0.0,0.2,0.5,,,not D4
205,Boston - Fenway High School,350540,     365,17.0,1.9,2.7,0.0,0.0,0.0,,,not D4
206,Boston - Franklin D Roosevelt,350116,     500,6.0,0.2,1.2,0.0,0.0,0.0,,,not D4
207,Boston - Gardner Pilot Academy,350326,     424,15.0,1.7,2.4,0.0,0.2,0.0,,,not D4
208,Boston - George H Conley,350122,     254,1.0,,,,,,,,not D4
209,Boston - Greater Egleston Community High School,350543,     241,0.0,,,,,,,,not D4
210,Boston - Harvard-Kent,350200,     564,20.0,0.4,3.2,0.0,0.0,0.0,,,not D4
211,Boston - Haynes Early Education Center,350010,     207,0.0,,,,,,,,not D4
212,Boston - Henry Grew,350135,     294,1.0,,,,,,,,not D4
213,Boston - Higginson,350015,     219,3.0,,,,,,,,not D4
214,Boston - Higginson/Lewis K-8,350377,     397,40.0,1.3,9.3,0.0,0.0,0.0,,,not D4
215,Boston - Horace Mann School for the Deaf,350750,      96,0.0,,,,,,,,not D4
216,Boston - Hugh Roe O'Donnell,350141,     302,0.0,,,,,,,,not D4
217,Boston - Jackson Mann,350013,     876,7.0,0.3,0.5,0.0,0.0,0.0,,,not D4
218,Boston - James Condon Elementary,350146,     929,45.0,1.2,4.0,0.0,0.0,0.0,,,not D4
219,Boston - James J Chittick,350154,     340,0.0,,,,,,,,not D4
220,Boston - James Otis,350156,     435,0.0,,,,,,,,not D4
221,Boston - James P Timilty Middle,350485,     418,58.0,1.4,13.2,0.0,0.7,1.4,,,not D4
222,Boston - James W Hennigan,350153,     712,28.0,0.4,3.8,0.0,0.0,0.0,,,not D4
223,Boston - Jeremiah E Burke High,350525,     615,5.0,,,,,,,,not D4
224,Boston - John D Philbrick,350172,     204,9.0,0.0,4.4,0.0,0.0,0.0,,,not D4
225,Boston - John F Kennedy,350166,     435,0.0,,,,,,,,E13
226,Boston - John W McCormack,350179,     517,48.0,1.2,8.7,0.0,0.2,0.2,,,not D4
227,Boston - John Winthrop,350180,     368,32.0,0.8,8.4,0.0,0.0,0.0,,,C11
