,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
165,Boston - Another Course To College,350541,     252,4.0,,,,,,,,not D4
166,Boston - Baldwin Early Learning Center,350003,     169,0.0,,,,,,,,not D4
167,Boston - Beethoven,350021,     360,1.0,,,,,,,,not D4
168,Boston - Blackstone,350390,     682,44.0,3.5,4.1,0.0,0.0,0.0,,,not D4
169,Boston - Boston Adult Academy,350548,     322,0.0,,,,,,,,not D4
170,Boston - Boston Arts Academy,350546,     443,3.0,,,,,,,,not D4
171,Boston - Boston Community Leadership Academy,350558,     535,28.0,0.0,5.2,0.0,0.0,0.0,,,not D4
172,Boston - Boston International  High School,350507,     505,31.0,0.4,5.9,0.0,0.0,0.0,,,not D4
173,Boston - Boston Latin,350560,"   2,465",9.0,0.0,0.3,0.0,0.0,0.0,,,not D4
174,Boston - Boston Latin Academy,350545,"   1,730",36.0,0.0,2.1,0.0,0.0,0.0,,,not D4
175,Boston - Boston Middle School Academy,350413,      60,6.0,6.7,8.3,0.0,0.0,0.0,,,not D4
176,Boston - Boston Teachers Union School,350012,     349,10.0,0.3,2.9,0.0,0.0,0.0,,,E13
177,Boston - Brighton High,350505,"   1,047",107.0,0.0,10.2,0.0,0.0,0.0,,,not D4
178,Boston - Carter Developmental Center,350036,      32,0.0,,,,,,,,not D4
179,Boston - Charles H Taylor,350054,     622,8.0,0.0,1.3,0.0,0.0,0.0,,,not D4
180,Boston - Charles Sumner,350052,     608,1.0,,,,,,,,not D4
181,Boston - Charlestown High,350515,"   1,079",130.0,2.4,10.8,0.0,0.0,0.0,,,not D4
182,Boston - Clarence R Edwards Middle,350430,     437,64.0,9.2,8.0,0.0,0.0,0.0,,,not D4
183,Boston - Community Academy,350518,     142,21.0,0.7,14.8,0.0,0.0,0.0,,,not D4
184,Boston - Community Academy of Science and Health,350581,     434,33.0,0.0,7.6,0.2,0.0,0.0,,,not D4
185,Boston - Curley K-8 School,350020,     977,41.0,0.4,3.8,0.0,0.0,0.0,,,E13
186,Boston - Curtis Guild,350062,     383,0.0,,,,,,,,not D4
187,Boston - Dante Alighieri Montessori School,350066,      88,0.0,,,,,,,,not D4
188,Boston - David A Ellis,350072,     494,2.0,,,,,,,,not D4
189,Boston - Dearborn,350074,     288,39.0,0.0,13.5,0.0,0.0,0.0,,,not D4
190,Boston - Dennis C Haley,350077,     413,5.0,,,,,,,,not D4
191,Boston - Donald Mckay,350080,     741,54.0,4.7,3.8,0.0,0.0,0.0,,,not D4
192,Boston - Dorchester Academy,350651,     435,68.0,0.2,15.4,0.0,0.0,0.0,,,not D4
193,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     192,2.0,,,,,,,,B3
194,Boston - Dr. William Henderson Lower,350266,     234,0.0,,,,,,,,C11
195,Boston - Dr. William Henderson Upper,350426,     396,52.0,0.5,13.1,0.0,0.0,0.0,,,not D4
196,Boston - ELC - West Zone,350006,     108,1.0,,,,,,,,not D4
197,Boston - East Boston Early Childhood Center,350009,     197,0.0,,,,,,,,not D4
198,Boston - East Boston High,350530,"   1,661",56.0,0.4,3.1,0.1,0.0,0.0,,,not D4
199,Boston - Edison K-8,350375,     916,46.0,0.2,4.9,0.0,0.0,0.0,,,not D4
200,Boston - Edward Everett,350088,     328,13.0,0.6,3.7,0.0,0.0,0.0,,,C11
201,Boston - Elihu Greenwood Leadership Academy,350094,     393,45.0,0.3,11.5,0.0,0.0,0.0,,,not D4
202,Boston - Eliot Elementary,350096,     480,2.0,,,,,,,,not D4
203,Boston - Ellis Mendell,350100,     260,15.0,1.5,4.2,0.0,0.0,0.0,,,not D4
204,Boston - Excel High School,350522,     617,49.0,0.8,7.6,0.0,0.0,0.0,,,not D4
205,Boston - Fenway High School,350540,     333,28.0,1.5,7.8,0.0,0.0,0.0,,,not D4
206,Boston - Franklin D Roosevelt,350116,     473,11.0,0.2,2.1,0.0,0.0,0.0,,,not D4
207,Boston - Gardner Pilot Academy,350326,     406,19.0,1.2,3.7,0.0,0.0,0.0,,,not D4
208,Boston - George H Conley,350122,     244,4.0,,,,,,,,not D4
209,Boston - Greater Egleston Community High School,350543,     239,0.0,,,,,,,,not D4
210,Boston - Harvard-Kent,350200,     609,5.0,,,,,,,,not D4
211,Boston - Haynes Early Education Center,350010,     203,0.0,,,,,,,,not D4
212,Boston - Henry Grew,350135,     291,1.0,,,,,,,,not D4
213,Boston - Higginson,350015,     237,7.0,1.3,1.7,0.0,0.0,0.0,,,not D4
214,Boston - Higginson/Lewis K-8,350377,     471,42.0,0.4,8.9,0.0,0.0,0.0,,,not D4
215,Boston - Horace Mann School for the Deaf,350750,     117,1.0,,,,,,,,not D4
216,Boston - Hugh Roe ODonnell,350141,     317,0.0,,,,,,,,not D4
217,Boston - Jackson Mann,350013,     870,17.0,0.0,2.0,0.0,0.0,0.0,,,not D4
218,Boston - James Condon Elementary,350146,     874,13.0,0.0,1.5,0.0,0.0,0.0,,,not D4
219,Boston - James J Chittick,350154,     344,0.0,,,,,,,,not D4
220,Boston - James Otis,350156,     410,0.0,,,,,,,,not D4
221,Boston - James P Timilty Middle,350485,     512,87.0,1.4,16.2,0.2,0.0,0.0,,,not D4
222,Boston - James W Hennigan,350153,     692,26.0,0.9,3.2,0.0,0.0,0.1,,,not D4
223,Boston - Jeremiah E Burke High,350525,     602,7.0,0.0,1.2,0.0,0.0,0.0,,,not D4
224,Boston - John D Philbrick,350172,     183,7.0,1.6,3.3,0.0,0.0,0.0,,,not D4
