,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
163,Boston - Another Course To College,350541,     258,2.0,,,,,,,,not D4
164,Boston - Baldwin Early Learning Center,350003,     158,0.0,,,,,,,,not D4
165,Boston - Beethoven,350021,     298,0.0,,,,,,,,not D4
166,Boston - Blackstone,350390,     556,0.0,,,,,,,,not D4
167,Boston - Boston Adult Academy,350548,     214,0.0,,,,,,,,not D4
168,Boston - Boston Arts Academy,350546,     482,0.0,,,,,,,,not D4
169,Boston - Boston Collaborative High School,350755,     214,0.0,,,,,,,,not D4
170,Boston - Boston Community Leadership Academy,350558,     487,2.0,,,,,,,,not D4
171,Boston - Boston International High School,350507,     432,2.0,,,,,,,,not D4
172,Boston - Boston Latin,350560,"   2,489",2.0,,,,,,,,not D4
173,Boston - Boston Latin Academy,350545,"   1,792",11.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,not D4
174,Boston - Boston Teachers Union School,350012,     294,0.0,,,,,,,,E13
175,Boston - Brighton High,350505,     452,0.0,,,,,,,,not D4
176,Boston - Carter School,350036,      27,0.0,,,,,,,,not D4
177,Boston - Charles H Taylor,350054,     366,0.0,,,,,,,,not D4
178,Boston - Charles Sumner,350052,     517,0.0,,,,,,,,not D4
179,Boston - Charlestown High,350515,     812,0.0,,,,,,,,not D4
180,Boston - Clarence R Edwards Middle,350430,     218,3.0,,,,,,,,not D4
181,Boston - Community Academy,350518,      68,1.0,,,,,,,,not D4
182,Boston - Community Academy of Science and Health,350581,     365,0.0,,,,,,,,not D4
183,Boston - Condon K-8,350146,     788,0.0,,,,,,,,not D4
184,Boston - Curley K-8 School,350020,     959,1.0,,,,,,,,E13
185,Boston - Curtis Guild,350062,     289,0.0,,,,,,,,not D4
186,Boston - Dante Alighieri Montessori School,350066,     115,0.0,,,,,,,,not D4
187,Boston - David A Ellis,350072,     405,0.0,,,,,,,,not D4
188,Boston - Dearborn,350074,     600,4.0,,,,,,,,not D4
189,Boston - Dennis C Haley,350077,     418,0.0,,,,,,,,not D4
190,Boston - Donald Mckay,350080,     781,1.0,,,,,,,,not D4
191,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     190,0.0,,,,,,,,B3
192,Boston - Dr. William Henderson Lower,350266,     232,0.0,,,,,,,,C11
193,Boston - Dr. William Henderson Upper,350426,     775,1.0,,,,,,,,not D4
194,Boston - ELC - West Zone,350006,     111,0.0,,,,,,,,not D4
195,Boston - East Boston Early Childhood Center,350009,     202,0.0,,,,,,,,not D4
196,Boston - East Boston High,350530,"   1,132",1.0,,,,,,,,not D4
197,Boston - Edison K-8,350375,     558,8.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,not D4
198,Boston - Edward Everett,350088,     308,0.0,,,,,,,,C11
199,Boston - Eliot Elementary,350096,     802,0.0,,,,,,,,not D4
200,Boston - Ellis Mendell,350100,     288,0.0,,,,,,,,not D4
201,Boston - Excel High School,350522,     508,1.0,,,,,,,,not D4
202,Boston - Fenway High School,350540,     392,0.0,,,,,,,,not D4
203,Boston - Franklin D Roosevelt,350116,     436,0.0,,,,,,,,not D4
204,Boston - Gardner Pilot Academy,350326,     392,1.0,,,,,,,,not D4
205,Boston - George H Conley,350122,     210,0.0,,,,,,,,not D4
206,Boston - Greater Egleston Community High School,350543,     138,0.0,,,,,,,,not D4
207,Boston - Harvard-Kent,350200,     407,0.0,,,,,,,,not D4
208,Boston - Haynes Early Education Center,350010,     207,0.0,,,,,,,,not D4
209,Boston - Henry Grew,350135,     227,0.0,,,,,,,,not D4
210,Boston - Higginson,350015,     146,0.0,,,,,,,,not D4
211,Boston - Higginson/Lewis K-8,350377,     233,0.0,,,,,,,,not D4
212,Boston - Horace Mann School for the Deaf,350750,      73,0.0,,,,,,,,not D4
213,Boston - Hugh Roe O'Donnell,350141,     290,0.0,,,,,,,,not D4
214,Boston - Jackson Mann,350013,     469,0.0,,,,,,,,not D4
215,Boston - James J Chittick,350154,     263,0.0,,,,,,,,not D4
216,Boston - James Otis,350156,     428,0.0,,,,,,,,not D4
217,Boston - James P Timilty Middle,350485,     267,0.0,,,,,,,,not D4
218,Boston - James W Hennigan,350153,     571,2.0,,,,,,,,not D4
219,Boston - Jeremiah E Burke High,350525,     414,0.0,,,,,,,,not D4
220,Boston - John D Philbrick,350172,     116,0.0,,,,,,,,not D4
221,Boston - John F Kennedy,350166,     377,0.0,,,,,,,,E13
222,Boston - John W McCormack,350179,     274,1.0,,,,,,,,not D4
223,Boston - John Winthrop,350180,     242,0.0,,,,,,,,C11
224,Boston - Joseph J Hurley,350182,     379,0.0,,,,,,,,not D4
225,Boston - Joseph Lee,350183,     654,2.0,,,,,,,,C11
226,Boston - Joseph P Manning,350184,     183,0.0,,,,,,,,E13
227,Boston - Joseph P Tynan,350181,     266,0.0,,,,,,,,not D4
228,Boston - Josiah Quincy,350286,     772,0.0,,,,,,,,not D4
229,Boston - Joyce Kilmer,350190,     453,0.0,,,,,,,,not D4
230,Boston - King K-8,350376,     603,3.0,,,,,,,,C11
231,Boston - Lee Academy,350001,     214,0.0,,,,,,,,C11
232,Boston - Lilla G. Frederick Middle School,350383,     413,0.0,,,,,,,,not D4
233,Boston - Lyndon,350262,     673,0.0,,,,,,,,not D4
234,Boston - Lyon K-8,350004,     130,1.0,,,,,,,,not D4
235,Boston - Lyon Upper 9-12,350655,     145,0.0,,,,,,,,not D4
236,Boston - Madison Park High,350537,"   1,103",3.0,,,,,,,,not D4
237,Boston - Manassah E Bradley,350215,     316,0.0,,,,,,,,not D4
238,Boston - Margarita Muniz Academy,350549,     324,0.0,,,,,,,,not D4
239,Boston - Mario Umana Academy,350656,     801,1.0,,,,,,,,not D4
240,Boston - Mather,350227,     558,0.0,,,,,,,,C11
241,Boston - Mattahunt Elementary School,350016,     459,0.0,,,,,,,,B3
242,Boston - Maurice J Tobin,350229,     442,0.0,,,,,,,,not D4
243,Boston - Michael J Perkins,350231,     184,0.0,,,,,,,,not D4
244,Boston - Mildred Avenue K-8,350378,     717,0.0,,,,,,,,B3
245,Boston - Mission Hill School,350382,     244,1.0,,,,,,,,E13
246,Boston - Mozart,350237,     182,0.0,,,,,,,,not D4
247,Boston - Nathan Hale,350243,     194,0.0,,,,,,,,not D4
248,Boston - New Mission High School,350542,     492,0.0,,,,,,,,not D4
249,Boston - O W Holmes,350138,     309,0.0,,,,,,,,C11
250,Boston - O'Bryant School Math/Science,350575,"   1,625",0.0,,,,,,,,not D4
251,Boston - Oliver Hazard Perry,350255,     220,0.0,,,,,,,,not D4
252,Boston - Orchard Gardens,350257,     871,2.0,,,,,,,,not D4
253,Boston - Patrick J Kennedy,350264,     301,0.0,,,,,,,,not D4
254,Boston - Paul A Dever,350268,     401,0.0,,,,,,,,C11
255,Boston - Pauline Agassiz Shaw Elementary School,350014,     173,0.0,,,,,,,,not D4
256,Boston - Phineas Bates,350278,     255,0.0,,,,,,,,not D4
257,Boston - Quincy Upper School,350565,     537,0.0,,,,,,,,not D4
258,Boston - Rafael Hernandez,350691,     430,0.0,,,,,,,,not D4
259,Boston - Richard J Murphy,350240,     939,0.0,,,,,,,,not D4
260,Boston - Roger Clap,350298,     130,0.0,,,,,,,,not D4
261,Boston - Samuel Adams,350302,     269,0.0,,,,,,,,not D4
262,Boston - Samuel W Mason,350304,     237,0.0,,,,,,,,not D4
263,Boston - Sarah Greenwood,350308,     417,0.0,,,,,,,,not D4
264,Boston - Snowden International School at Copley,350690,     497,0.0,,,,,,,,not D4
265,Boston - TechBoston Academy,350657,     947,3.0,,,,,,,,not D4
266,Boston - The English High,350535,     572,0.0,,,,,,,,not D4
267,Boston - Thomas J Kenny,350328,     371,0.0,,,,,,,,not D4
268,Boston - UP Academy Holland,350167,     736,0.0,,,,,,,,not D4
269,Boston - Warren-Prescott,350346,     579,1.0,,,,,,,,not D4
270,Boston - Washington Irving Middle,350445,     206,3.0,,,,,,,,not D4
271,Boston - William E Russell,350366,     392,0.0,,,,,,,,not D4
272,Boston - William Ellery Channing,350360,     241,0.0,,,,,,,,not D4
273,Boston - William H Ohrenberger,350258,     553,1.0,,,,,,,,not D4
274,Boston - William McKinley,350363,     300,5.0,,,,,,,,not D4
275,Boston - William Monroe Trotter,350370,     410,1.0,,,,,,,,not D4
276,Boston - Winship Elementary,350374,     245,0.0,,,,,,,,not D4
277,Boston - Young Achievers,350380,     603,1.0,,,,,,,,not D4
278,Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,     728,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,not D4
279,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,     439,0.0,,,,,,,,not D4
280,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,     516,4.0,,,,,,,,not D4
281,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,     674,0.0,,,,,,,,not D4
282,Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,4810550,     965,0.0,,,,,,,,not D4
301,Bridge Boston Charter School (District) - Bridge Boston Charter School,4170205,     342,5.0,,,,,,,,not D4
765,KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,4630205,     636,0.0,,,,,,,,B3
1597,UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,4800405,     360,2.0,,,,,,,,not D4
