,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
166,Boston - Another Course To College,350541,     253,11.0,0.0,4.3,0.0,0.0,0.0,,,not D4
167,Boston - Baldwin Early Learning Center,350003,     168,0.0,,,,,,,,not D4
168,Boston - Beethoven,350021,     357,0.0,,,,,,,,not D4
169,Boston - Blackstone,350390,     687,31.0,2.0,3.5,0.0,0.0,0.0,,,not D4
170,Boston - Boston Adult Academy,350548,     309,4.0,,,,,,,,not D4
171,Boston - Boston Arts Academy,350546,     446,2.0,,,,,,,,not D4
172,Boston - Boston Collaborative High School,350755,     348,0.0,,,,,,,,not D4
173,Boston - Boston Community Leadership Academy,350558,     530,25.0,0.2,4.5,0.0,0.0,0.0,,,not D4
174,Boston - Boston International High School,350507,     552,34.0,0.5,5.8,0.0,0.0,0.0,,,not D4
175,Boston - Boston Latin,350560,"   2,457",5.0,,,,,,,,not D4
176,Boston - Boston Latin Academy,350545,"   1,721",37.0,0.8,1.5,0.0,0.0,0.0,,,not D4
177,Boston - Boston Teachers Union School,350012,     339,22.0,1.2,6.2,0.0,0.0,0.0,,,E13
178,Boston - Brighton High,350505,"   1,043",118.0,0.0,11.3,0.0,0.0,0.0,,,not D4
179,Boston - Carter Developmental Center,350036,      29,0.0,,,,,,,,not D4
180,Boston - Charles H Taylor,350054,     590,1.0,,,,,,,,not D4
181,Boston - Charles Sumner,350052,     594,1.0,,,,,,,,not D4
182,Boston - Charlestown High,350515,"   1,041",114.0,1.4,10.5,0.0,0.0,0.0,,,not D4
183,Boston - Clarence R Edwards Middle,350430,     404,74.0,6.9,16.6,0.0,0.0,0.0,,,not D4
184,Boston - Community Academy,350518,      88,21.0,0.0,23.9,0.0,0.0,0.0,,,not D4
185,Boston - Community Academy of Science and Health,350581,     464,36.0,0.0,7.8,0.0,0.0,0.0,,,not D4
186,Boston - Curley K-8 School,350020,     976,40.0,0.0,4.1,0.0,0.0,0.0,,,E13
187,Boston - Curtis Guild,350062,     369,0.0,,,,,,,,not D4
188,Boston - Dante Alighieri Montessori School,350066,      90,0.0,,,,,,,,not D4
189,Boston - David A Ellis,350072,     514,14.0,0.2,2.5,0.0,0.0,0.0,,,not D4
190,Boston - Dearborn,350074,     282,50.0,3.5,16.0,0.0,0.0,0.0,,,not D4
191,Boston - Dennis C Haley,350077,     477,25.0,4.0,2.9,0.0,0.0,0.0,,,not D4
192,Boston - Donald Mckay,350080,     743,42.0,4.7,2.4,0.0,0.0,0.0,,,not D4
193,Boston - Dorchester Academy,350651,     124,18.0,1.6,12.9,0.0,0.0,0.0,,,not D4
194,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     214,7.0,0.0,3.3,0.0,0.0,0.0,,,B3
195,Boston - Dr. William Henderson Lower,350266,     232,1.0,,,,,,,,C11
196,Boston - Dr. William Henderson Upper,350426,     452,51.0,1.5,10.2,0.0,0.0,0.2,,,not D4
197,Boston - ELC - West Zone,350006,     104,0.0,,,,,,,,not D4
198,Boston - East Boston Early Childhood Center,350009,     192,1.0,,,,,,,,not D4
199,Boston - East Boston High,350530,"   1,699",33.0,0.4,1.7,0.0,0.0,0.0,,,not D4
200,Boston - Edison K-8,350375,     904,65.0,0.2,7.1,0.0,0.0,0.4,,,not D4
201,Boston - Edward Everett,350088,     314,6.0,0.0,1.9,0.0,0.0,0.0,,,C11
202,Boston - Eliot Elementary,350096,     534,0.0,,,,,,,,not D4
203,Boston - Ellis Mendell,350100,     252,13.0,3.2,4.0,0.0,0.0,0.0,,,not D4
204,Boston - Excel High School,350522,     614,49.0,2.4,7.0,0.0,0.0,0.0,,,not D4
205,Boston - Fenway High School,350540,     348,29.0,4.6,5.7,0.0,0.0,0.0,,,not D4
206,Boston - Franklin D Roosevelt,350116,     480,3.0,,,,,,,,not D4
207,Boston - Gardner Pilot Academy,350326,     397,16.0,2.0,2.3,0.0,0.0,0.3,,,not D4
208,Boston - George H Conley,350122,     243,0.0,,,,,,,,not D4
209,Boston - Greater Egleston Community High School,350543,     252,0.0,,,,,,,,not D4
210,Boston - Harvard-Kent,350200,     559,21.0,0.2,3.6,0.0,0.0,0.0,,,not D4
211,Boston - Haynes Early Education Center,350010,     206,0.0,,,,,,,,not D4
212,Boston - Henry Grew,350135,     315,2.0,,,,,,,,not D4
213,Boston - Higginson,350015,     226,8.0,3.1,1.8,0.0,0.0,0.0,,,not D4
214,Boston - Higginson/Lewis K-8,350377,     476,54.0,1.5,10.9,0.0,0.0,0.0,,,not D4
215,Boston - Horace Mann School for the Deaf,350750,     115,1.0,,,,,,,,not D4
216,Boston - Hugh Roe ODonnell,350141,     305,0.0,,,,,,,,not D4
217,Boston - Jackson Mann,350013,     893,46.0,0.0,5.2,0.0,0.0,0.0,,,not D4
218,Boston - James Condon Elementary,350146,     894,20.0,0.1,2.1,0.0,0.0,0.0,,,not D4
219,Boston - James J Chittick,350154,     343,0.0,,,,,,,,not D4
220,Boston - James Otis,350156,     421,0.0,,,,,,,,not D4
221,Boston - James P Timilty Middle,350485,     487,54.0,0.2,10.7,0.0,0.0,0.2,,,not D4
222,Boston - James W Hennigan,350153,     695,30.0,0.7,4.0,0.0,0.0,0.0,,,not D4
223,Boston - Jeremiah E Burke High,350525,     623,7.0,0.0,1.1,0.0,0.0,0.0,,,not D4
224,Boston - John D Philbrick,350172,     183,15.0,3.8,5.5,0.0,0.0,0.0,,,not D4
225,Boston - John F Kennedy,350166,     429,0.0,,,,,,,,E13
226,Boston - John W McCormack,350179,     595,77.0,0.0,12.4,0.0,0.0,1.0,,,not D4
227,Boston - John Winthrop,350180,     401,42.0,0.5,10.5,0.0,0.0,0.5,,,C11
228,Boston - Joseph J Hurley,350182,     365,5.0,,,,,,,,not D4
229,Boston - Joseph Lee,350183,     720,70.0,0.4,9.7,0.0,0.0,0.0,,,C11
230,Boston - Joseph P Manning,350184,     166,5.0,,,,,,,,E13
231,Boston - Joseph P Tynan,350181,     382,13.0,0.0,3.4,0.0,0.0,0.0,,,not D4
232,Boston - Josiah Quincy,350286,     821,3.0,,,,,,,,not D4
233,Boston - Joyce Kilmer,350190,     481,0.0,,,,,,,,not D4
234,Boston - King K-8,350376,     582,51.0,1.5,7.6,0.0,0.0,0.0,,,C11
235,Boston - Lee Academy,350001,     208,0.0,,,,,,,,C11
236,Boston - Lilla G. Frederick Middle School,350383,     560,71.0,1.8,12.0,0.0,0.0,0.4,,,not D4
237,Boston - Lyndon,350262,     562,3.0,,,,,,,,not D4
