,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
232,Boston - Lee Academy,350001,     217,0.0,,,,,,,,C11
233,Boston - Lilla G. Frederick Middle School,350383,     514,33.0,1.9,5.3,0.0,0.0,0.2,0.0,0.0,not D4
234,Boston - Lyndon,350262,     667,3.0,,,,,,,,not D4
235,Boston - Lyon K-8,350004,     138,5.0,,,,,,,,not D4
236,Boston - Lyon Upper 9-12,350655,     145,8.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,not D4
237,Boston - Madison Park High,350537,"   1,054",72.0,0.2,6.7,0.0,0.0,0.1,0.2,0.3,not D4
238,Boston - Manassah E Bradley,350215,     290,0.0,,,,,,,,not D4
239,Boston - Margarita Muniz Academy,350549,     351,12.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,not D4
240,Boston - Mario Umana Academy,350656,     980,35.0,1.7,2.3,0.0,0.0,0.1,0.0,0.0,not D4
241,Boston - Mather,350227,     611,4.0,,,,,,,,C11
242,Boston - Mattahunt Elementary School,350016,     460,0.0,,,,,,,,B3
243,Boston - Maurice J Tobin,350229,     463,5.0,,,,,,,,not D4
244,Boston - Michael J Perkins,350231,     174,0.0,,,,,,,,not D4
245,Boston - Mildred Avenue K-8,350378,     750,10.0,0.1,1.3,0.0,0.0,0.0,0.0,0.0,B3
246,Boston - Mission Hill School,350382,     235,1.0,,,,,,,,E13
247,Boston - Mozart,350237,     174,1.0,,,,,,,,not D4
248,Boston - Nathan Hale,350243,     165,0.0,,,,,,,,not D4
249,Boston - New Mission High School,350542,     468,16.0,0.6,3.0,0.0,0.0,0.0,0.0,0.0,not D4
250,Boston - O W Holmes,350138,     327,4.0,,,,,,,,C11
251,Boston - O'Bryant School Math/Science,350575,"   1,592",9.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,not D4
252,Boston - Oliver Hazard Perry,350255,     264,2.0,,,,,,,,not D4
253,Boston - Orchard Gardens,350257,     954,66.0,1.3,6.3,0.0,0.0,0.0,0.0,0.0,not D4
254,Boston - Patrick J Kennedy,350264,     282,1.0,,,,,,,,not D4
255,Boston - Paul A Dever,350268,     491,7.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,C11
256,Boston - Pauline Agassiz Shaw Elementary School,350014,     205,0.0,,,,,,,,not D4
257,Boston - Phineas Bates,350278,     263,2.0,,,,,,,,not D4
258,Boston - Quincy Upper School,350565,     542,25.0,0.7,4.4,0.0,0.0,0.0,0.0,0.0,not D4
259,Boston - Rafael Hernandez,350691,     425,0.0,,,,,,,,not D4
260,Boston - Richard J Murphy,350240,     968,6.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,not D4
261,Boston - Roger Clap,350298,     130,0.0,,,,,,,,not D4
262,Boston - Samuel Adams,350302,     248,0.0,,,,,,,,not D4
263,Boston - Samuel W Mason,350304,     255,0.0,,,,,,,,not D4
264,Boston - Sarah Greenwood,350308,     445,11.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,not D4
265,Boston - Snowden International School at Copley,350690,     503,36.0,0.8,6.8,0.0,0.0,0.0,0.0,0.0,not D4
266,Boston - TechBoston Academy,350657,     996,83.0,1.6,7.5,0.0,0.0,0.0,0.0,0.3,not D4
267,Boston - The English High,350535,     661,29.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,not D4
268,Boston - Thomas J Kenny,350328,     327,0.0,,,,,,,,not D4
269,Boston - UP Academy Holland,350167,     822,36.0,3.9,1.5,0.0,0.0,0.0,0.0,0.0,not D4
270,Boston - Urban Science Academy,350579,      40,2.0,,,,,,,,not D4
271,Boston - Warren-Prescott,350346,     591,2.0,,,,,,,,not D4
272,Boston - Washington Irving Middle,350445,     274,19.0,0.0,6.9,0.0,0.0,0.0,0.0,0.4,not D4
273,Boston - West Roxbury Academy,350658,      30,0.0,,,,,,,,not D4
274,Boston - William E Russell,350366,     419,0.0,,,,,,,,not D4
275,Boston - William Ellery Channing,350360,     237,0.0,,,,,,,,not D4
276,Boston - William H Ohrenberger,350258,     648,11.0,0.3,1.7,0.0,0.0,0.0,0.0,0.0,not D4
277,Boston - William McKinley,350363,     368,35.0,0.0,8.7,0.0,0.0,1.9,0.3,0.3,not D4
278,Boston - William Monroe Trotter,350370,     472,17.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,not D4
279,Boston - Winship Elementary,350374,     264,0.0,,,,,,,,not D4
280,Boston - Young Achievers,350380,     657,29.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,not D4
281,Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,     725,28.0,1.2,3.3,0.0,0.0,0.0,0.0,0.0,not D4
282,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,     477,15.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,not D4
283,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,     506,19.0,0.0,3.4,0.0,0.0,0.4,0.0,0.0,not D4
284,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,     601,73.0,8.3,6.3,0.0,0.0,0.0,0.0,0.0,not D4
285,Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,4810550,     974,17.0,1.0,0.9,0.0,0.0,0.0,0.0,0.1,not D4
304,Bridge Boston Charter School (District) - Bridge Boston Charter School,4170205,     353,16.0,0.6,4.0,0.0,0.0,0.0,0.0,0.0,not D4
770,KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,4630205,     637,20.0,0.0,2.5,0.0,0.0,1.6,0.0,0.0,B3
1597,UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,4800405,     439,50.0,4.3,8.2,0.0,0.0,0.0,0.0,0.0,not D4
