,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
162,Boston - Another Course To College,350541,     249,       8,0.0,3.2,0.0,0.0,,,,not D4
163,Boston - Baldwin Early Learning Center,350003,     191,       0,,,,,,,,not D4
164,Boston - Beethoven,350021,     338,       0,,,,,,,,not D4
165,Boston - Blackstone,350390,     681,      36,2.2,4.0,0.0,0.0,,,,not D4
166,Boston - Boston Adult Academy,350548,     340,      10,0.0,2.9,0.0,0.0,,,,not D4
167,Boston - Boston Arts Academy,350546,     445,       8,0.0,1.8,0.0,0.0,,,,not D4
168,Boston - Boston Community Leadership Academy,350558,     532,      37,0.0,7.0,0.0,0.0,,,,not D4
169,Boston - Boston International  High School,350507,     483,      27,0.0,5.6,0.0,0.0,,,,not D4
170,Boston - Boston Latin,350560,"   2,385",       4,,,,,,,,not D4
171,Boston - Boston Latin Academy,350545,"   1,694",      31,0.0,1.8,0.0,0.0,,,,not D4
172,Boston - Boston Middle School Academy,350413,      59,      13,1.7,18.6,1.7,1.7,,,,not D4
173,Boston - Boston Teachers Union School,350012,     345,       4,,,,,,,,E13
174,Boston - Brighton High,350505,"   1,100",     166,0.0,15.1,0.0,0.0,,,,not D4
175,Boston - Carter Developmental Center,350036,      27,       0,,,,,,,,not D4
176,Boston - Charles H Taylor,350054,     592,       7,0.0,1.2,0.0,0.0,,,,not D4
177,Boston - Charles Sumner,350052,     580,       6,0.3,0.7,0.0,0.0,,,,not D4
178,Boston - Charlestown High,350515,"   1,036",     128,1.7,11.5,0.0,0.0,,,,not D4
179,Boston - Clarence R Edwards Middle,350430,     531,      79,4.7,12.1,0.4,0.0,,,,not D4
180,Boston - Community Academy,350518,     123,      23,4.1,16.3,0.0,0.0,,,,not D4
181,Boston - Community Academy of Science and Health,350581,     458,      44,0.2,9.6,0.2,0.0,,,,not D4
182,Boston - Curley K-8 School,350020,     945,      57,0.5,5.8,0.0,0.2,,,,E13
183,Boston - Curtis Guild,350062,     340,       0,,,,,,,,not D4
184,Boston - David A Ellis,350072,     446,      21,0.7,4.5,0.0,0.0,,,,not D4
185,Boston - Dearborn,350074,     283,      47,0.4,16.6,0.0,0.0,,,,not D4
186,Boston - Dennis C Haley,350077,     353,       7,1.7,0.6,0.0,0.0,,,,not D4
187,Boston - Donald Mckay,350080,     704,      43,2.8,3.8,0.0,0.0,,,,not D4
188,Boston - Dorchester Academy,350651,     477,      78,0.2,16.4,0.0,0.0,,,,not D4
189,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     204,       0,,,,,,,,B3
190,Boston - Dr. William Henderson,350266,     253,       2,,,,,,,,not D4
191,Boston - ELC - West Zone,350006,      97,       0,,,,,,,,not D4
192,Boston - East Boston Early Childhood Center,350009,     205,       0,,,,,,,,not D4
193,Boston - East Boston High,350530,"   1,547",      99,0.1,6.3,0.0,0.0,,,,not D4
194,Boston - Edison K-8,350375,"   1,000",      73,0.2,7.2,0.0,0.0,,,,not D4
195,Boston - Edward Everett,350088,     302,       7,0.0,2.3,0.0,0.0,,,,C11
196,Boston - Elihu Greenwood Leadership Academy,350094,     426,      43,0.9,9.6,0.0,0.0,,,,not D4
197,Boston - Eliot Elementary,350096,     395,       1,,,,,,,,not D4
198,Boston - Ellis Mendell,350100,     244,      14,5.7,2.5,0.0,0.0,,,,not D4
199,Boston - Excel High School,350522,     635,      90,0.0,13.9,0.3,0.2,,,,not D4
200,Boston - Fenway High School,350540,     332,      11,1.8,2.4,0.0,0.0,,,,not D4
201,Boston - Franklin D Roosevelt,350116,     500,      30,0.0,6.0,0.0,0.0,,,,not D4
202,Boston - Gardner Pilot Academy,350326,     389,      22,2.3,4.1,0.0,0.0,,,,not D4
203,Boston - George H Conley,350122,     236,       6,0.4,2.1,0.0,0.0,,,,not D4
204,Boston - Greater Egleston Community High School,350543,     221,       0,,,,,,,,not D4
205,Boston - Harbor School,350426,     341,      70,0.3,20.5,0.0,0.0,,,,not D4
206,Boston - Harvard-Kent,350200,     617,      17,0.3,2.6,0.0,0.0,,,,not D4
207,Boston - Haynes Early Education Center,350010,     201,       0,,,,,,,,not D4
208,Boston - Henry Grew,350135,     291,       1,,,,,,,,not D4
209,Boston - Higginson,350015,     194,       0,,,,,,,,not D4
210,Boston - Higginson/Lewis K-8,350377,     424,       0,,,,,,,,not D4
211,Boston - Horace Mann School for the Deaf,350750,     119,       3,,,,,,,,not D4
212,Boston - Hugh Roe O'Donnell,350141,     311,       0,,,,,,,,not D4
213,Boston - Jackson Mann,350013,     811,      45,0.1,5.4,0.0,0.0,,,,not D4
214,Boston - James Condon Elementary,350146,     908,       3,,,,,,,,not D4
215,Boston - James J Chittick,350154,     364,       0,,,,,,,,not D4
216,Boston - James Otis,350156,     416,       0,,,,,,,,not D4
217,Boston - James P Timilty Middle,350485,     608,      81,0.7,13.0,0.0,0.0,,,,not D4
218,Boston - James W Hennigan,350153,     648,      27,0.5,3.7,0.0,0.0,,,,not D4
219,Boston - Jeremiah E Burke High,350525,     567,      17,0.0,2.8,0.2,0.0,,,,not D4
220,Boston - John D Philbrick,350172,     159,       8,0.6,4.4,0.0,0.0,,,,not D4
221,Boston - John F Kennedy,350166,     423,       5,,,,,,,,E13
222,Boston - John P Holland,350167,     807,      37,0.0,4.6,0.0,0.0,,,,not D4
223,Boston - John W McCormack,350179,     712,     120,3.8,16.0,0.1,0.0,,,,not D4
224,Boston - John Winthrop,350180,     397,      46,0.0,11.6,0.0,0.0,,,,C11
225,Boston - Joseph J Hurley,350182,     346,       8,0.0,2.3,0.0,0.0,,,,not D4
226,Boston - Joseph Lee,350183,     634,      39,0.0,6.2,0.0,0.0,,,,C11
227,Boston - Joseph P Manning,350184,     170,      12,0.0,7.1,0.0,0.0,,,,E13
228,Boston - Joseph P Tynan,350181,     442,       7,0.0,1.6,0.0,0.0,,,,not D4
229,Boston - Josiah Quincy,350286,     837,      15,0.1,1.8,0.0,0.0,,,,not D4
230,Boston - Joyce Kilmer,350190,     485,       0,,,,,,,,not D4
231,Boston - King K-8,350376,     583,      40,0.5,6.5,0.0,0.0,,,,C11
232,Boston - Lee Academy,350001,     206,       0,,,,,,,,C11
233,Boston - Lilla G. Frederick Middle School,350383,     627,      51,0.0,8.1,0.0,0.0,,,,not D4
234,Boston - Lyndon,350262,     575,       2,,,,,,,,not D4
235,Boston - Lyon K-8,350004,     146,       4,,,,,,,,not D4
236,Boston - Lyon Upper 9-12,350655,     147,      18,0.0,12.2,0.0,0.0,,,,not D4
237,Boston - Madison Park High,350537,"   1,180",     200,2.0,15.8,0.0,0.0,,,,not D4
238,Boston - Manassah E Bradley,350215,     320,       0,,,,,,,,not D4
239,Boston - Margarita Muniz Academy,350549,     160,      13,2.5,7.5,0.0,0.0,,,,not D4
240,Boston - Mario Umana Academy,350656,     764,      14,0.0,1.8,0.0,0.0,,,,not D4
241,Boston - Mather,350227,     663,       5,,,,,,,,C11
242,Boston - Mattahunt,350226,     724,      39,0.0,5.4,0.0,0.0,,,,not D4
243,Boston - Maurice J Tobin,350229,     464,       3,,,,,,,,not D4
244,Boston - Michael J Perkins,350231,     262,       1,,,,,,,,not D4
245,Boston - Mildred Avenue K-8,350378,     500,      19,0.8,3.0,0.0,0.0,,,,B3
246,Boston - Mission Hill School,350382,     240,       0,,,,,,,,E13
247,Boston - Mozart,350237,     188,       6,0.0,3.2,0.0,0.0,,,,not D4
248,Boston - Nathan Hale,350243,     193,       0,,,,,,,,not D4
249,Boston - New Mission High School,350542,     304,       0,,,,,,,,not D4
250,Boston - O W Holmes,350138,     380,      45,2.6,10.3,0.0,0.0,,,,C11
251,Boston - O'Bryant School Math/Science,350575,"   1,360",       0,,,,,,,,not D4
252,Boston - Oliver Hazard Perry,350255,     271,       7,0.0,2.6,0.0,0.0,,,,not D4
253,Boston - Orchard Gardens,350257,     861,      71,1.0,7.5,0.1,0.0,,,,not D4
254,Boston - Patrick J Kennedy,350264,     350,       2,,,,,,,,not D4
255,Boston - Paul A Dever,350268,     625,      40,0.2,6.4,0.0,0.0,,,,C11
256,Boston - Phineas Bates,350278,     315,      16,1.0,5.1,0.0,0.0,,,,not D4
257,Boston - Quincy Upper School,350565,     490,      35,0.0,7.1,0.0,0.0,,,,not D4
258,Boston - Rafael Hernandez,350691,     427,       0,,,,,,,,not D4
259,Boston - Richard J Murphy,350240,     920,      18,0.0,2.0,0.1,0.0,,,,not D4
260,Boston - Roger Clap,350298,     195,       0,,,,,,,,not D4
261,Boston - Samuel Adams,350302,     303,       3,,,,,,,,not D4
262,Boston - Samuel W Mason,350304,     258,       1,,,,,,,,not D4
263,Boston - Sarah Greenwood,350308,     453,      26,1.1,5.3,0.0,0.0,,,,not D4
264,Boston - Snowden International School at Copley,350690,     402,      48,0.7,11.2,0.0,0.0,,,,not D4
265,Boston - TechBoston Academy,350657,"   1,058",     203,5.0,16.5,0.0,0.0,,,,not D4
266,Boston - The English High,350535,     629,      64,0.2,10.2,0.0,0.0,,,,not D4
267,Boston - Thomas J Kenny,350328,     353,      10,0.8,2.0,0.0,0.0,,,,not D4
268,Boston - Urban Science Academy,350579,     560,      38,3.8,3.0,0.4,0.0,,,,not D4
269,Boston - Warren-Prescott,350346,     571,       2,,,,,,,,not D4
270,Boston - Washington Irving Middle,350445,     489,     130,0.4,26.6,0.2,0.0,,,,not D4
271,Boston - West Roxbury Academy,350658,     683,      78,0.0,11.4,0.0,0.0,,,,not D4
272,Boston - William E Russell,350366,     397,       0,,,,,,,,not D4
273,Boston - William Ellery Channing,350360,     365,       1,,,,,,,,not D4
274,Boston - William H Ohrenberger,350258,     663,       5,,,,,,,,not D4
275,Boston - William McKinley,350363,     476,     154,0.4,32.4,0.0,0.0,,,,not D4
276,Boston - William Monroe Trotter,350370,     461,      11,1.3,1.5,0.0,0.0,,,,not D4
277,Boston - Winship Elementary,350374,     365,       3,,,,,,,,not D4
278,Boston - Wm B Rogers Middle,350470,     548,      90,0.2,16.1,0.0,0.2,,,,not D4
279,Boston - Young Achievers,350380,     545,      67,1.8,11.0,0.0,0.0,,,,not D4
280,Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,     660,      59,3.5,7.4,0.0,0.0,,,,not D4
281,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,     458,       5,,,,,,,,not D4
282,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,     344,      44,0.0,12.8,0.0,0.0,,,,not D4
283,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,     389,      53,5.4,10.8,0.0,0.0,,,,not D4
284,Boston Renaissance Charter Public (District) - Boston Renaissance Charter  Public School,4810550,     957,      88,1.3,9.0,0.0,0.0,,,,not D4
305,Bridge Boston Charter School (District) - Bridge Boston Charter School,4170205,     146,      12,1.4,7.5,0.0,0.0,,,,not D4
340,Brooke Charter School East Boston (District) - Brooke Charter School East Boston,4570205,     304,      42,0.0,13.8,0.0,0.0,,,,not D4
546,Excel Academy Charter School - Boston II (District) - Excel Academy Charter School - Boston II,4590305,     117,      26,0.0,22.2,0.0,0.0,,,,not D4
773,KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,4630205,     149,      13,4.7,7.4,0.0,0.0,,,,B3
1614,UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,4800405,     503,     203,33.0,29.4,0.0,0.0,,,,not D4
