,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
167,Boston - Another Course To College,350541,     263,      27,0.4,10.3,0.0,0.0,0.0,0.0,,not D4
168,Boston - Baldwin Early Learning Center,350003,     172,       0,,,,,,,,not D4
169,Boston - Beethoven,350021,     356,       0,,,,,,,,not D4
170,Boston - Blackstone,350390,     634,       1,,,,,,,,not D4
171,Boston - Boston Adult Academy,350548,     219,       2,,,,,,,,not D4
172,Boston - Boston Arts Academy,350546,     471,       7,0.0,1.5,0.0,0.0,0.0,0.0,,not D4
173,Boston - Boston Collaborative High School,350755,     312,       0,,,,,,,,not D4
174,Boston - Boston Community Leadership Academy,350558,     508,      22,0.6,3.3,0.0,0.0,0.8,0.0,,not D4
175,Boston - Boston International High School,350507,     476,      14,0.2,2.9,0.0,0.0,0.2,0.0,,not D4
176,Boston - Boston Latin,350560,"   2,442",      33,0.0,1.4,0.0,0.0,0.0,0.0,,not D4
177,Boston - Boston Latin Academy,350545,"   1,770",      52,1.8,2.3,0.0,0.0,0.0,0.0,,not D4
178,Boston - Boston Teachers Union School,350012,     297,      16,1.7,4.0,0.0,0.0,0.0,0.0,,E13
179,Boston - Brighton High,350505,     708,      83,0.0,11.7,0.0,0.0,0.4,0.1,,not D4
180,Boston - Carter School,350036,      29,       0,,,,,,,,not D4
181,Boston - Charles H Taylor,350054,     595,       1,,,,,,,,not D4
182,Boston - Charles Sumner,350052,     616,       0,,,,,,,,not D4
183,Boston - Charlestown High,350515,     991,      26,0.3,2.6,0.0,0.0,0.0,0.0,,not D4
184,Boston - Clarence R Edwards Middle,350430,     388,      72,4.1,16.8,0.0,0.0,0.3,0.0,,not D4
185,Boston - Community Academy,350518,      89,      23,1.1,25.8,0.0,0.0,0.0,0.0,,not D4
186,Boston - Community Academy of Science and Health,350581,     436,      63,0.2,14.2,0.0,0.0,0.0,0.0,,not D4
187,Boston - Condon K-8,350146,     918,       4,,,,,,,,not D4
188,Boston - Curley K-8 School,350020,"   1,038",      30,0.6,2.4,0.0,0.0,0.0,0.0,,E13
