,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
193,Boston - East Boston Early Childhood Center,350009,     201,       0,,,,,,,,not D4
194,Boston - East Boston High,350530,"   1,532",      42,0.0,2.5,0.2,0.0,,,,not D4
195,Boston - Edison K-8,350375,     942,      80,0.2,8.2,0.1,0.0,,,,not D4
196,Boston - Edward Everett,350088,     306,      17,0.0,5.6,0.0,0.0,,,,C11
197,Boston - Egleston Community High School,350543,     213,       0,,,,,,,,not D4
198,Boston - Elihu Greenwood Leadership Academy,350094,     436,      54,0.2,12.4,0.0,0.0,,,,not D4
199,Boston - Eliot Elementary,350096,     374,       0,,,,,,,,not D4
200,Boston - Ellis Mendell,350100,     251,      11,1.6,4.0,0.0,0.0,,,,not D4
201,Boston - Excel High School,350522,     705,     110,1.0,14.6,0.6,0.0,,,,not D4
202,Boston - Fenway High School,350540,     324,      11,1.5,2.8,0.0,0.0,,,,not D4
203,Boston - Franklin D Roosevelt,350116,     505,      35,0.6,6.5,0.0,0.0,,,,not D4
204,Boston - Gardner Pilot Academy,350326,     365,      11,0.8,2.7,0.0,0.0,,,,not D4
205,Boston - George H Conley,350122,     214,       7,0.5,2.8,0.0,0.0,,,,not D4
206,Boston - Harbor School,350426,     329,      93,3.3,28.3,0.3,0.0,,,,not D4
207,Boston - Harvard-Kent,350200,     595,      14,0.5,2.4,0.0,0.0,,,,not D4
208,Boston - Haynes Early Education Center,350010,     218,       0,,,,,,,,not D4
209,Boston - Henry Grew,350135,     291,       9,0.0,3.1,0.0,0.0,,,,not D4
210,Boston - Higginson/Lewis K-8,350377,     443,       1,,,,,,,,not D4
211,Boston - Horace Mann School for the Deaf,350750,     128,       3,,,,,,,,not D4
212,Boston - Hugh Roe O'Donnell,350141,     305,       0,,,,,,,,not D4
213,Boston - Jackson Mann,350013,     800,      50,0.3,6.3,0.0,0.0,,,,not D4
214,Boston - James Condon Elementary,350146,     859,      17,0.0,2.0,0.0,0.0,,,,not D4
215,Boston - James J Chittick,350154,     349,       0,,,,,,,,not D4
216,Boston - James Otis,350156,     406,       0,,,,,,,,not D4
217,Boston - James P Timilty Middle,350485,     653,      52,0.0,7.8,0.2,0.2,,,,not D4
218,Boston - James W Hennigan,350153,     632,      31,1.7,3.5,0.0,0.0,,,,not D4
219,Boston - Jeremiah E Burke High,350525,     649,      32,0.2,4.6,0.2,0.0,,,,not D4
220,Boston - John D Philbrick,350172,     169,       6,0.0,3.6,0.0,0.0,,,,not D4
221,Boston - John F Kennedy,350166,     437,      11,1.1,1.6,0.0,0.0,,,,E13
222,Boston - John Marshall,350178,     714,      45,0.6,6.0,0.0,0.0,,,,not D4
223,Boston - John P Holland,350167,     801,      60,0.0,7.5,0.0,0.0,,,,not D4
224,Boston - John W McCormack,350179,     729,     133,1.9,17.6,0.1,0.0,,,,not D4
225,Boston - John Winthrop,350180,     415,      24,1.7,5.1,0.0,0.0,,,,C11
226,Boston - Joseph J Hurley,350182,     344,      12,0.0,3.5,0.0,0.0,,,,not D4
227,Boston - Joseph Lee,350183,     441,      37,0.0,8.2,0.2,0.0,,,,C11
228,Boston - Joseph P Manning,350184,     173,      19,0.6,10.4,0.0,0.0,,,,E13
229,Boston - Joseph P Tynan,350181,     433,       6,0.0,1.4,0.0,0.0,,,,not D4
230,Boston - Josiah Quincy,350286,     860,      11,0.0,1.3,0.0,0.0,,,,not D4
231,Boston - Joyce Kilmer,350190,     455,       3,,,,,,,,not D4
232,Boston - King K-8,350376,     530,       0,,,,,,,,C11
233,Boston - Lee Academy,350001,     186,       1,,,,,,,,C11
234,Boston - Lilla G. Frederick Middle School,350383,     682,      52,0.1,7.6,0.0,0.0,,,,not D4
235,Boston - Lyndon,350262,     567,      13,0.5,2.3,0.0,0.0,,,,not D4
236,Boston - Lyon K-8,350004,     149,       7,4.0,3.4,0.0,0.0,,,,not D4
237,Boston - Lyon Upper 9-12,350655,     142,      21,0.7,14.1,0.0,0.0,,,,not D4
238,Boston - Madison Park High,350537,"   1,166",     206,0.7,17.1,0.0,0.3,,,,not D4
239,Boston - Manassah E Bradley,350215,     283,       0,,,,,,,,not D4
240,Boston - Margarita Muniz Academy,350549,      83,       0,,,,,,,,not D4
241,Boston - Mario Umana Academy,350656,     726,      14,0.0,1.9,0.0,0.0,,,,not D4
242,Boston - Mather,350227,     639,       0,,,,,,,,C11
243,Boston - Mattahunt,350226,     742,      37,0.0,5.0,0.0,0.0,,,,not D4
244,Boston - Maurice J Tobin,350229,     474,      21,0.4,4.0,0.0,0.0,,,,not D4
245,Boston - Michael J Perkins,350231,     285,      23,0.4,7.7,0.0,0.0,,,,not D4
246,Boston - Mildred Avenue K-8,350378,     602,     100,0.5,16.3,0.0,0.0,,,,B3
247,Boston - Mission Hill School,350382,     221,       0,,,,,,,,E13
248,Boston - Mozart,350237,     184,       2,,,,,,,,not D4
249,Boston - Nathan Hale,350243,     181,       0,,,,,,,,not D4
250,Boston - New Mission High School,350542,     275,       0,,,,,,,,not D4
251,Boston - O W Holmes,350138,     358,      26,0.0,7.3,0.0,0.0,,,,C11
252,Boston - O'Bryant School Math/Science,350575,"   1,362",       2,,,,,,,,not D4
253,Boston - Oliver Hazard Perry,350255,     262,       1,,,,,,,,not D4
254,Boston - Orchard Gardens,350257,     904,      42,0.0,4.6,0.0,0.0,,,,not D4
255,Boston - Patrick J Kennedy,350264,     301,       1,,,,,,,,not D4
256,Boston - Paul A Dever,350268,     631,      68,0.8,10.6,0.0,0.0,,,,C11
257,Boston - Phineas Bates,350278,     327,      14,0.0,4.3,0.0,0.0,,,,not D4
258,Boston - Quincy Upper School,350565,     518,      23,0.0,4.4,0.0,0.0,,,,not D4
259,Boston - Rafael Hernandez,350691,     429,       3,,,,,,,,not D4
260,Boston - Richard J Murphy,350240,     944,      22,0.6,2.0,0.0,0.0,,,,not D4
261,Boston - Roger Clap,350298,     189,       0,,,,,,,,not D4
262,Boston - Samuel Adams,350302,     303,       0,,,,,,,,not D4
263,Boston - Samuel W Mason,350304,     263,       0,,,,,,,,not D4
264,Boston - Sarah Greenwood,350308,     427,      20,1.4,4.4,0.0,0.0,,,,not D4
265,Boston - Snowden International School at Copley,350690,     414,      47,1.2,10.4,0.7,0.5,,,,not D4
266,Boston - TechBoston Academy,350657,"   1,058",     239,8.0,18.4,0.0,0.1,,,,not D4
267,Boston - The English High,350535,     702,     101,0.0,14.1,0.7,0.3,,,,not D4
268,Boston - Thomas J Kenny,350328,     346,       7,0.0,2.0,0.0,0.0,,,,not D4
269,Boston - Urban Science Academy,350579,     620,      60,1.8,8.4,0.0,0.0,,,,not D4
270,Boston - Warren-Prescott,350346,     561,      21,0.7,3.0,0.0,0.0,,,,not D4
271,Boston - Washington Irving Middle,350445,     522,     146,1.0,27.8,0.4,0.0,,,,not D4
272,Boston - West Roxbury Academy,350658,     733,     105,0.4,14.2,0.1,0.0,,,,not D4
273,Boston - William E Russell,350366,     376,       2,,,,,,,,not D4
274,Boston - William Ellery Channing,350360,     353,      23,0.0,6.5,0.0,0.0,,,,not D4
275,Boston - William H Ohrenberger,350258,     670,       2,,,,,,,,not D4
276,Boston - William McKinley,350363,     515,     200,0.2,38.8,0.0,0.0,,,,not D4
277,Boston - William Monroe Trotter,350370,     441,      12,0.0,2.7,0.0,0.0,,,,not D4
278,Boston - Winship Elementary,350374,     341,       0,,,,,,,,not D4
279,Boston - Wm B Rogers Middle,350470,     628,      85,0.3,13.5,0.0,0.0,,,,not D4
280,Boston - Young Achievers,350380,     543,      64,0.0,11.8,0.0,0.0,,,,not D4
281,Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,     624,      74,2.7,10.1,0.0,0.0,,,,not D4
282,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,     444,      27,0.0,6.1,0.0,0.0,,,,not D4
283,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,     326,      61,0.0,18.7,0.3,0.0,,,,not D4
284,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,     375,      85,3.2,20.8,0.0,0.0,,,,not D4
285,Boston Renaissance Charter Public (District) - Boston Renaissance Charter  Public School,4810550,     956,     129,0.0,13.5,0.0,0.0,,,,not D4
305,Bridge Boston Charter School (District) - Bridge Boston Charter School,4170205,     111,       6,0.0,5.4,0.0,0.0,,,,not D4
541,Excel Academy Charter School - Boston II (District) - Excel Academy Charter School - Boston II,4590305,      65,      17,4.6,23.1,0.0,0.0,,,,not D4
772,KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,4630205,      73,      10,12.3,5.5,0.0,0.0,,,,B3
1606,UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,4800405,     489,     196,33.5,26.0,0.0,0.0,,,,not D4
