,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
162,Boston - Another Course To College,350541,     239,      10,0.8,3.3,0.0,0.0,,,,not D4
163,Boston - Baldwin Early Learning Center,350003,     199,       0,,,,,,,,not D4
164,Boston - Beethoven,350021,     327,       0,,,,,,,,not D4
165,Boston - Blackstone,350390,     652,      53,0.0,8.1,0.0,0.0,,,,not D4
166,Boston - Boston Adult Academy,350548,     365,       4,,,,,,,,not D4
167,Boston - Boston Arts Academy,350546,     421,      18,0.0,4.3,0.0,0.0,,,,not D4
168,Boston - Boston Community Leadership Academy,350558,     508,      47,0.0,8.9,0.4,0.0,,,,not D4
169,Boston - Boston International  High School,350507,     492,      43,0.0,8.1,0.6,0.0,,,,not D4
170,Boston - Boston Latin,350560,"   2,358",      16,0.0,0.5,0.2,0.0,,,,not D4
171,Boston - Boston Latin Academy,350545,"   1,648",      50,0.1,3.0,0.0,0.0,,,,not D4
172,Boston - Boston Middle School Academy,350413,      38,      16,15.8,42.1,0.0,0.0,,,,not D4
173,Boston - Boston Teachers Union School,350012,     340,      37,0.3,10.9,0.0,0.0,,,,E13
174,Boston - Brighton High,350505,"   1,235",     187,0.1,14.9,0.4,0.0,,,,not D4
175,Boston - Carter Developmental Center,350036,      26,       0,,,,,,,,not D4
176,Boston - Charles H Taylor,350054,     618,      22,0.2,3.4,0.0,0.0,,,,not D4
177,Boston - Charles Sumner,350052,     576,       8,0.0,1.4,0.0,0.0,,,,not D4
178,Boston - Charlestown High,350515,"   1,040",      96,0.2,9.0,0.2,0.0,,,,not D4
179,Boston - Clarence R Edwards Middle,350430,     583,      92,9.6,10.8,0.2,0.0,,,,not D4
180,Boston - Community Academy,350518,     107,      26,1.9,23.4,0.0,0.0,,,,not D4
181,Boston - Community Academy of Science and Health,350581,     469,      59,0.2,12.2,0.4,0.0,,,,not D4
182,Boston - Curley K-8 School,350020,     908,      55,0.6,5.9,0.0,0.0,,,,E13
183,Boston - Curtis Guild,350062,     342,       0,,,,,,,,not D4
184,Boston - David A Ellis,350072,     448,      41,0.2,9.2,0.0,0.0,,,,not D4
185,Boston - Dearborn,350074,     279,      62,0.4,22.2,0.7,0.0,,,,not D4
186,Boston - Dennis C Haley,350077,     323,       2,,,,,,,,not D4
187,Boston - Donald Mckay,350080,     712,       8,0.3,0.6,0.3,0.0,,,,not D4
188,Boston - Dorchester Academy,350651,     483,      51,0.2,10.6,0.0,0.0,,,,not D4
189,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     223,       0,,,,,,,,B3
190,Boston - Dr. William Henderson,350266,     252,       3,,,,,,,,not D4
191,Boston - ELC - West Zone,350006,     108,       2,,,,,,,,not D4
192,Boston - Early Childhood Center at Fifield (ECC-Fifield),350002,     128,       0,,,,,,,,not D4
