,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
164,Boston - Adams Elementary School,350302,     283,       0,,,,,,,,not D4
165,Boston - Alighieri Dante Montessori School,350066,     111,       0,,,,,,,,not D4
166,Boston - Another Course To College,350541,     269,      28,0.0,8.9,0.0,0.0,5.6,0.4,0.0,not D4
167,Boston - Baldwin Early Learning Pilot Academy,350003,     167,       0,,,,,,,,not D4
168,Boston - Bates Elementary School,350278,     248,       0,,,,,,,,not D4
169,Boston - Beethoven Elementary School,350021,     298,       0,,,,,,,,not D4
170,Boston - Blackstone Elementary School,350390,     531,       8,0.0,1.5,0.0,0.0,0.0,0.0,0.0,not D4
171,Boston - Boston Adult Tech Academy,350548,     219,       0,,,,,,,,not D4
172,Boston - Boston Arts Academy,350546,     492,      14,0.0,1.8,0.0,0.0,1.6,0.0,0.0,not D4
173,Boston - Boston Collaborative High School,350755,     231,       0,,,,,,,,not D4
174,Boston - Boston Community Leadership Academy,350558,     757,      48,0.5,5.8,0.0,0.0,0.5,0.0,0.0,not D4
175,Boston - Boston International High School & Newcomers Academy,350507,     577,      13,0.2,2.1,0.0,0.0,0.2,0.0,0.0,not D4
176,Boston - Boston Latin Academy,350545,"   1,694",      84,1.9,3.4,0.0,0.0,1.3,0.0,0.0,not D4
177,Boston - Boston Latin School,350560,"   2,419",      21,0.2,0.7,0.0,0.0,0.0,0.0,0.0,not D4
178,Boston - Boston Teachers Union K-8 Pilot,350012,     325,       6,1.2,1.5,0.0,0.0,0.0,0.0,0.0,not D4
179,Boston - Bradley Elementary School,350215,     312,       2,,,,,,,,not D4
180,Boston - Brighton High School,350505,     518,      60,0.4,11.2,0.0,0.0,0.4,0.0,0.0,not D4
181,Boston - Burke High School,350525,     411,      12,0.0,2.9,0.0,0.0,0.0,0.0,0.0,not D4
182,Boston - Carter School,350036,      28,       0,,,,,,,,not D4
183,Boston - Channing Elementary School,350360,     233,       0,,,,,,,,not D4
184,Boston - Charlestown High School,350515,     946,      34,0.2,3.0,0.0,0.0,0.4,0.3,0.0,not D4
185,Boston - Chittick Elementary School,350154,     246,       0,,,,,,,,B3
186,Boston - Clap Elementary School,350298,     140,       2,,,,,,,,not D4
187,Boston - Community Academy,350518,      86,      24,4.7,27.9,0.0,0.0,0.0,0.0,0.0,not D4
188,Boston - Community Academy of Science and Health,350581,     393,      40,0.0,10.2,0.0,0.0,0.0,0.3,0.0,not D4
189,Boston - Condon K-8 School,350146,     759,      12,0.1,1.4,0.0,0.0,0.0,0.0,0.0,not D4
190,Boston - Conley Elementary School,350122,     203,       0,,,,,,,,not D4
191,Boston - Curley K-8 School,350020,     986,      39,0.1,4.0,0.0,0.0,0.0,0.0,0.0,E13
192,Boston - Dearborn 6-12 STEM Academy,350074,     650,      83,0.5,12.3,0.0,0.0,0.5,0.3,0.0,not D4
193,Boston - Dever Elementary School,350268,     409,       1,,,,,,,,not D4
194,Boston - East Boston Early Education Center,350009,     201,       0,,,,,,,,not D4
195,Boston - East Boston High School,350530,"   1,268",      12,0.0,0.9,0.0,0.0,0.0,0.0,0.0,not D4
196,Boston - Edison K-8 School,350375,     595,      11,0.0,1.8,0.0,0.0,0.3,0.0,0.0,not D4
197,Boston - Eliot K-8 Innovation School,350096,     830,       7,0.1,0.7,0.0,0.0,0.0,0.0,0.0,not D4
198,Boston - Ellis Elementary School,350072,     386,      14,0.5,3.6,0.0,0.0,0.0,0.0,0.0,not D4
