,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
249,Boston - Mission Hill School,350382,     253,       1,,,,,,,,E13
250,Boston - Mozart,350237,     191,       0,,,,,,,,not D4
251,Boston - Nathan Hale,350243,     169,       0,,,,,,,,not D4
252,Boston - New Mission High School,350542,     402,       0,,,,,,,,not D4
253,Boston - O W Holmes,350138,     403,      25,0.7,6.0,0.0,0.0,0.0,,,C11
254,Boston - O'Bryant School Math/Science,350575,"   1,569",       6,0.0,0.4,0.0,0.0,0.0,,,not D4
255,Boston - Oliver Hazard Perry,350255,     233,       0,,,,,,,,not D4
256,Boston - Orchard Gardens,350257,     965,      54,2.7,4.6,0.0,0.0,0.0,,,not D4
257,Boston - Patrick J Kennedy,350264,     324,       1,,,,,,,,not D4
258,Boston - Paul A Dever,350268,     468,       9,0.4,1.9,0.0,0.0,0.0,,,C11
259,Boston - Pauline Agassiz Shaw Elementary School,350014,     280,       0,,,,,,,,not D4
260,Boston - Phineas Bates,350278,     279,       0,,,,,,,,not D4
261,Boston - Quincy Upper School,350565,     523,       3,,,,,,,,not D4
262,Boston - Rafael Hernandez,350691,     399,       0,,,,,,,,not D4
263,Boston - Richard J Murphy,350240,     982,      26,0.2,2.6,0.0,0.0,0.0,,,not D4
264,Boston - Roger Clap,350298,     179,       1,,,,,,,,not D4
265,Boston - Samuel Adams,350302,     315,       1,,,,,,,,not D4
266,Boston - Samuel W Mason,350304,     267,       0,,,,,,,,not D4
267,Boston - Sarah Greenwood,350308,     475,      11,0.4,1.9,0.0,0.0,0.0,,,not D4
268,Boston - Snowden International School at Copley,350690,     496,      17,0.2,3.4,0.0,0.0,0.0,,,not D4
269,Boston - TechBoston Academy,350657,"   1,024",      71,0.3,6.7,0.0,0.0,0.0,,,not D4
270,Boston - The English High,350535,     639,       1,,,,,,,,not D4
271,Boston - Thomas J Kenny,350328,     361,       4,,,,,,,,not D4
272,Boston - UP Academy Holland,350167,     840,      14,0.6,1.2,0.0,0.0,0.0,,,not D4
273,Boston - Urban Science Academy,350579,     438,      25,0.0,5.7,0.0,0.0,0.0,,,not D4
274,Boston - Warren-Prescott,350346,     628,       1,,,,,,,,not D4
275,Boston - Washington Irving Middle,350445,     382,      23,0.3,6.0,0.0,0.0,0.0,,,not D4
276,Boston - West Roxbury Academy,350658,     546,      30,0.4,5.3,0.0,0.0,0.0,,,not D4
277,Boston - William E Russell,350366,     454,       0,,,,,,,,not D4
278,Boston - William Ellery Channing,350360,     243,       0,,,,,,,,not D4
279,Boston - William H Ohrenberger,350258,     706,      15,0.3,1.8,0.0,0.0,0.0,,,not D4
280,Boston - William McKinley,350363,     451,      70,0.2,14.4,0.0,0.0,1.6,,,not D4
281,Boston - William Monroe Trotter,350370,     604,      38,1.3,5.0,0.0,0.0,0.0,,,not D4
282,Boston - Winship Elementary,350374,     239,       1,,,,,,,,not D4
283,Boston - Young Achievers,350380,     609,      25,0.0,4.1,0.0,0.0,0.0,,,not D4
284,Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,     715,      45,1.1,5.6,0.1,0.0,0.0,,,not D4
285,Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,     530,      11,0.0,2.1,0.0,0.0,0.0,,,not D4
286,Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,     526,      51,0.4,9.5,0.0,0.0,0.0,,,not D4
287,Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,     482,      59,8.3,6.6,0.0,0.0,0.0,,,not D4
288,Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,4810550,     962,      33,1.4,2.8,0.0,0.0,0.0,,,not D4
308,Bridge Boston Charter School (District) - Bridge Boston Charter School,4170205,     317,      37,2.5,11.4,0.0,0.0,0.0,,,not D4
768,KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,4630205,     578,      67,0.7,10.7,0.0,0.0,1.4,,,B3
1598,UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,4800405,     540,      99,5.2,15.9,0.0,0.0,0.0,,,not D4
