,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
166,Boston - Another Course To College,350541,     259,       7,0.0,2.7,0.0,0.0,0.0,,,not D4
167,Boston - Baldwin Early Learning Center,350003,     183,       0,,,,,,,,not D4
168,Boston - Beethoven,350021,     348,       0,,,,,,,,not D4
169,Boston - Blackstone,350390,     654,       5,,,,,,,,not D4
170,Boston - Boston Adult Academy,350548,     228,       0,,,,,,,,not D4
171,Boston - Boston Arts Academy,350546,     472,       2,,,,,,,,not D4
172,Boston - Boston Collaborative High School,350755,     272,       0,,,,,,,,not D4
173,Boston - Boston Community Leadership Academy,350558,     495,      10,0.0,2.0,0.0,0.0,0.0,,,not D4
174,Boston - Boston International High School,350507,     531,      12,0.2,2.1,0.0,0.0,0.0,,,not D4
175,Boston - Boston Latin,350560,"   2,462",       1,,,,,,,,not D4
176,Boston - Boston Latin Academy,350545,"   1,787",      15,0.4,0.6,0.0,0.1,0.0,,,not D4
177,Boston - Boston Teachers Union School,350012,     305,       0,,,,,,,,E13
178,Boston - Brighton High,350505,     782,      51,0.0,6.5,0.0,0.0,0.0,,,not D4
179,Boston - Carter Developmental Center,350036,      32,       0,,,,,,,,not D4
180,Boston - Charles H Taylor,350054,     617,       2,,,,,,,,not D4
181,Boston - Charles Sumner,350052,     628,       1,,,,,,,,not D4
182,Boston - Charlestown High,350515,"   1,022",      42,0.2,3.9,0.0,0.0,0.0,,,not D4
183,Boston - Clarence R Edwards Middle,350430,     343,      24,2.6,5.0,0.0,0.0,0.0,,,not D4
184,Boston - Community Academy,350518,     160,      23,0.6,13.1,0.0,0.0,0.6,,,not D4
185,Boston - Community Academy of Science and Health,350581,     427,      25,0.0,5.9,0.0,0.0,0.0,,,not D4
186,Boston - Curley K-8 School,350020,"   1,005",      29,0.8,2.2,0.0,0.0,0.0,,,E13
187,Boston - Curtis Guild,350062,     316,       0,,,,,,,,not D4
188,Boston - Dante Alighieri Montessori School,350066,      95,       0,,,,,,,,not D4
189,Boston - David A Ellis,350072,     522,      19,0.4,3.3,0.0,0.0,0.0,,,not D4
190,Boston - Dearborn,350074,     376,      20,1.1,4.5,0.0,0.0,0.0,,,not D4
191,Boston - Dennis C Haley,350077,     479,      11,1.3,1.3,0.0,0.0,0.0,,,not D4
192,Boston - Donald Mckay,350080,     837,       2,,,,,,,,not D4
193,Boston - Dorchester Academy,350651,      47,       0,,,,,,,,not D4
194,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     224,       1,,,,,,,,B3
195,Boston - Dr. William Henderson Lower,350266,     225,       0,,,,,,,,C11
196,Boston - Dr. William Henderson Upper,350426,     692,      37,0.4,5.2,0.0,0.0,0.0,,,not D4
197,Boston - ELC - West Zone,350006,     133,       0,,,,,,,,not D4
198,Boston - East Boston Early Childhood Center,350009,     211,       0,,,,,,,,not D4
199,Boston - East Boston High,350530,"   1,505",      17,0.0,1.1,0.0,0.0,0.0,,,not D4
200,Boston - Edison K-8,350375,     746,      27,0.0,3.6,0.0,0.0,0.0,,,not D4
201,Boston - Edward Everett,350088,     294,       3,,,,,,,,C11
202,Boston - Eliot Elementary,350096,     650,       1,,,,,,,,not D4
203,Boston - Ellis Mendell,350100,     276,       3,,,,,,,,not D4
204,Boston - Excel High School,350522,     594,      51,2.7,7.4,0.0,0.0,0.0,,,not D4
205,Boston - Fenway High School,350540,     369,       9,0.0,2.4,0.0,0.0,0.0,,,not D4
206,Boston - Franklin D Roosevelt,350116,     478,      10,0.2,1.9,0.0,0.0,0.0,,,not D4
207,Boston - Gardner Pilot Academy,350326,     416,      16,2.2,1.7,0.0,0.0,0.0,,,not D4
208,Boston - George H Conley,350122,     236,       1,,,,,,,,not D4
209,Boston - Greater Egleston Community High School,350543,     189,       0,,,,,,,,not D4
210,Boston - Harvard-Kent,350200,     513,      10,0.2,1.9,0.0,0.0,0.0,,,not D4
211,Boston - Haynes Early Education Center,350010,     233,       0,,,,,,,,not D4
212,Boston - Henry Grew,350135,     284,       0,,,,,,,,not D4
213,Boston - Higginson,350015,     202,       1,,,,,,,,not D4
214,Boston - Higginson/Lewis K-8,350377,     328,      19,0.9,5.2,0.0,0.0,0.0,,,not D4
215,Boston - Horace Mann School for the Deaf,350750,      95,       0,,,,,,,,not D4
216,Boston - Hugh Roe O'Donnell,350141,     275,       0,,,,,,,,not D4
217,Boston - Jackson Mann,350013,     709,       4,,,,,,,,not D4
218,Boston - James Condon Elementary,350146,     988,      10,0.1,1.0,0.0,0.0,0.0,,,not D4
219,Boston - James J Chittick,350154,     357,       0,,,,,,,,not D4
220,Boston - James Otis,350156,     439,       0,,,,,,,,not D4
221,Boston - James P Timilty Middle,350485,     385,      15,0.5,3.9,0.0,0.0,0.0,,,not D4
222,Boston - James W Hennigan,350153,     676,      13,0.6,1.5,0.0,0.0,0.0,,,not D4
223,Boston - Jeremiah E Burke High,350525,     582,       6,0.0,1.0,0.0,0.0,0.0,,,not D4
224,Boston - John D Philbrick,350172,     180,       0,,,,,,,,not D4
225,Boston - John F Kennedy,350166,     445,       6,0.0,1.3,0.0,0.0,0.0,,,E13
226,Boston - John W McCormack,350179,     433,      25,0.5,5.3,0.0,0.0,0.0,,,not D4
227,Boston - John Winthrop,350180,     353,       4,,,,,,,,C11
228,Boston - Joseph J Hurley,350182,     380,       1,,,,,,,,not D4
229,Boston - Joseph Lee,350183,     710,      20,0.0,2.8,0.0,0.0,0.0,,,C11
230,Boston - Joseph P Manning,350184,     164,      10,1.2,5.5,0.0,0.0,0.0,,,E13
231,Boston - Joseph P Tynan,350181,     260,       1,,,,,,,,not D4
232,Boston - Josiah Quincy,350286,     856,       2,,,,,,,,not D4
233,Boston - Joyce Kilmer,350190,     493,       0,,,,,,,,not D4
234,Boston - King K-8,350376,     564,      26,0.0,4.6,0.0,0.0,0.0,,,C11
235,Boston - Lee Academy,350001,     247,       3,,,,,,,,C11
236,Boston - Lilla G. Frederick Middle School,350383,     580,      39,3.6,4.7,0.0,0.0,0.0,,,not D4
237,Boston - Lyndon,350262,     605,       0,,,,,,,,not D4
238,Boston - Lyon K-8,350004,     140,       6,0.7,4.3,0.0,0.0,0.0,,,not D4
239,Boston - Lyon Upper 9-12,350655,     141,       0,,,,,,,,not D4
240,Boston - Madison Park High,350537,     915,      56,0.1,6.0,0.0,0.0,0.0,,,not D4
241,Boston - Manassah E Bradley,350215,     305,       0,,,,,,,,not D4
242,Boston - Margarita Muniz Academy,350549,     333,      19,0.6,5.4,0.0,0.0,0.0,,,not D4
243,Boston - Mario Umana Academy,350656,"   1,062",      53,0.5,4.7,0.0,0.0,0.0,,,not D4
244,Boston - Mather,350227,     661,       1,,,,,,,,C11
245,Boston - Mattapan Early Elementary School,350016,     356,       0,,,,,,,,not D4
246,Boston - Maurice J Tobin,350229,     491,       6,0.4,0.8,0.0,0.0,0.0,,,not D4
247,Boston - Michael J Perkins,350231,     254,       3,,,,,,,,not D4
248,Boston - Mildred Avenue K-8,350378,     610,       4,,,,,,,,B3
