School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Phoenix Charter Academy (District) - Phoenix Charter Academy,4930505,123,58.0,47.2,42.1,65.4,53.3,16.7,2007-08
Pioneer Valley - Pioneer Valley Reg,7500505,308,5.0,1.6,1.3,2.3,0.0,2.6,2007-08
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,4790505,324,13.0,4.0,1.2,1.3,1.3,12.2,2007-08
Pittsfield - Pittsfield High,2360505,"1,024",42.0,4.1,4.5,4.3,4.2,3.2,2007-08
Pittsfield - Taconic High,2360510,988,51.0,5.2,4.7,3.5,7.8,4.5,2007-08
Plymouth - Plymouth North High,2390505,"1,043",30.0,2.9,2.2,6.1,2.1,1.0,2007-08
Plymouth - Plymouth South High,2390515,809,28.0,3.5,5.0,5.0,0.6,2.5,2007-08
Plymouth - Plymouth South Technical,2390605,714,2.0,0.3,0.0,0.0,0.5,0.7,2007-08
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,4870550,253,5.0,2.0,1.3,3.1,1.8,1.9,2007-08
Provincetown - Provincetown High,2420505,70,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
Quabbin - Quabbin Regional High School,7530505,"1,014",21.0,2.1,0.7,2.6,0.9,4.4,2007-08
Quaboag Regional - Quaboag Regional High,7780505,390,13.0,3.3,0.9,2.2,1.1,8.8,2007-08
Quincy - North Quincy High,2430510,"1,492",19.0,1.3,1.3,1.0,1.7,1.1,2007-08
Quincy - Quincy High,2430505,"1,424",79.0,5.5,4.4,6.9,5.6,5.3,2007-08
Ralph C Mahar - Ralph C Mahar Reg,7550505,481,3.0,0.6,0.0,1.7,0.8,0.0,2007-08
Randolph - Randolph High,2440505,870,43.0,4.9,4.8,8.1,4.3,2.8,2007-08
Reading - Reading Memorial High,2460505,"1,259",5.0,0.4,0.3,0.0,0.6,0.6,2007-08
Revere - Revere High,2480505,"1,490",70.0,4.7,4.4,3.6,7.6,3.2,2007-08
Revere - Seacoast School,2480520,107,36.0,33.6,35.9,40.0,19.0,35.3,2007-08
Rockland - Rockland Senior High,2510505,674,27.0,4.0,2.5,4.6,3.4,5.5,2007-08
Rockport - Rockport High,2520510,357,11.0,3.1,0.0,3.2,1.1,8.1,2007-08
Sabis International Charter (District) - Sabis International Charter School,4410505,401,5.0,1.2,1.3,1.4,1.2,1.2,2007-08
Salem - Salem High,2580505,"1,313",85.0,6.5,4.3,7.3,7.4,7.3,2007-08
Salem Academy Charter (District) - Salem Academy Charter School,4850485,73,0.0,0.0,0.0,0.0,0.0,,2007-08
Sandwich - Sandwich High,2610505,"1,020",10.0,1.0,0.4,2.7,0.7,0.0,2007-08
Saugus - Saugus High,2620505,847,25.0,3.0,1.4,3.3,4.1,2.8,2007-08
Scituate - Gates Intermediate School,2640305,1,,,,,,,2007-08
Scituate - Scituate High School,2640505,874,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
Seekonk - Seekonk High,2650505,655,15.0,2.3,2.0,1.2,2.0,3.8,2007-08
Sharon - Sharon High,2660505,"1,094",6.0,0.5,0.0,0.0,0.8,1.4,2007-08
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Voc Tech High School,8710605,"1,258",16.0,1.3,0.0,1.6,2.0,1.6,2007-08
Shrewsbury - Shrewsbury Sr High,2710505,"1,629",11.0,0.7,0.2,0.0,0.7,1.8,2007-08
Silver Lake - Silver Lake Reg High,7600505,"1,187",9.0,0.8,0.0,0.3,0.7,2.1,2007-08
Somerset - Somerset High,2730505,990,16.0,1.6,2.3,2.9,0.8,0.4,2007-08
Somerville - Full Circle High School,2740510,51,18.0,35.3,46.7,47.1,18.2,12.5,2007-08
Somerville - Next Wave Junior High,2740410,9,1.0,11.1,11.1,,,,2007-08
Somerville - Somerville High,2740505,"1,408",59.0,4.2,4.6,5.2,4.6,2.3,2007-08
South Hadley - South Hadley High,2780505,732,21.0,2.9,2.2,1.6,3.6,4.2,2007-08
South Middlesex Regional Vocational Technical - Joseph P Keefe Tech HS,8290605,668,28.0,4.2,1.7,6.7,4.9,3.6,2007-08
South Shore Charter Public (District) - South Shore Charter Public School,4880550,147,2.0,1.4,0.0,0.0,0.0,5.7,2007-08
South Shore Regional Vocational Technical - So Shore Voc Tech High,8730605,592,5.0,0.8,0.6,0.0,0.7,2.2,2007-08
Southbridge - Southbridge High,2770505,386,28.0,7.3,9.0,10.4,6.7,1.3,2007-08
Southeastern Regional Vocational Technical - Southeastern Reg Voc Tech,8720605,"1,233",29.0,2.4,0.0,3.1,3.4,3.4,2007-08
Southern Berkshire - Mt Everett Regional,7650505,226,5.0,2.2,1.5,2.0,3.3,2.0,2007-08
Southern Worcester County Regional Vocational Technical - Bay Path Reg Voc Tech H S,8760605,"1,105",10.0,0.9,0.0,1.0,1.6,1.2,2007-08
Southwick-Tolland - Southwick-Tolland Regional High,7660505,597,9.0,1.5,0.0,0.0,1.7,4.5,2007-08
Spencer-E Brookfield - David Prouty High,7670505,604,17.0,2.8,2.0,3.8,3.6,1.6,2007-08
Springfield - High School Of Commerce,2810510,"1,444",216.0,15.0,9.9,23.2,10.3,22.0,2007-08
Springfield - High School/Science-Tech,2810530,"1,588",169.0,10.6,9.1,17.7,5.1,10.7,2007-08
Springfield - Putnam Voc Tech High Sch,2810620,"1,471",81.0,5.5,3.3,2.4,4.2,16.5,2007-08
Springfield - Springfield Academy for Excellence,2810506,237,120.0,50.6,65.5,60.5,38.1,44.7,2007-08
Springfield - Springfield Central High,2810500,"2,013",63.0,3.1,3.4,2.9,2.3,3.9,2007-08
Springfield - The Springfield Renaissance School,2810205,199,1.0,0.5,1.0,0.0,,,2007-08
Stoneham - Stoneham High,2840505,792,11.0,1.4,0.5,0.5,1.4,3.2,2007-08
Stoughton - Stoughton High,2850505,"1,154",25.0,2.2,1.4,2.9,2.9,1.5,2007-08
Sturgis Charter Public (District) - Sturgis Charter Public School,4890505,352,4.0,1.1,0.0,1.0,0.0,4.7,2007-08
Sutton - Sutton High School,2900510,400,5.0,1.3,0.0,0.0,2.9,1.9,2007-08
Swampscott - Swampscott High,2910505,800,5.0,0.6,0.6,0.9,0.5,0.4,2007-08
Swansea - Joseph Case High,2920505,567,2.0,0.4,0.7,0.0,0.0,0.7,2007-08
Tantasqua - Tantasqua Reg Sr High,7700505,962,9.0,0.9,0.0,1.2,0.5,2.1,2007-08
Tantasqua - Tantasqua Reg Voc,7700605,296,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
Taunton - Taunton High,2930505,"1,909",81.0,4.2,3.5,5.6,5.0,2.8,2007-08
Tewksbury - Tewksbury Memorial High,2950505,"1,128",26.0,2.3,2.2,0.4,3.2,3.1,2007-08
Tri County Regional Vocational Technical - Tri County Reg Voc Tech,8780605,916,10.0,1.1,0.0,1.2,2.3,1.0,2007-08
Triton - Triton Regional High School,7730505,902,16.0,1.8,1.3,2.7,0.0,2.8,2007-08
Tyngsborough - Tyngsborough High School,3010505,576,7.0,1.2,0.0,0.7,1.4,2.5,2007-08
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Voc Tech,8790605,653,12.0,1.8,0.0,0.6,3.4,3.9,2007-08
Uxbridge - Uxbridge High,3040505,460,15.0,3.3,0.0,1.7,2.6,7.8,2007-08
Wachusett - Wachusett Regional High,7750505,"1,941",22.0,1.1,0.0,0.8,1.0,2.7,2007-08
Wakefield - Wakefield Memorial High,3050505,967,16.0,1.7,0.9,0.8,3.2,1.6,2007-08
Walpole - Walpole High,3070505,"1,121",10.0,0.9,0.0,1.0,1.0,1.6,2007-08
Waltham - Waltham Sr High,3080505,"1,513",84.0,5.6,1.4,3.4,7.1,9.9,2007-08
Ware - Ware High,3090505,304,31.0,10.2,10.5,15.6,7.8,4.7,2007-08
Wareham - Wareham Cooperative Junior/Senior High School,3100315,89,18.0,20.2,6.7,19.0,25.9,23.1,2007-08
Wareham - Wareham Senior High,3100505,859,24.0,2.8,3.1,4.8,2.0,1.0,2007-08
Watertown - Watertown High,3140505,706,22.0,3.1,1.1,2.8,3.4,4.9,2007-08
Wayland - Wayland High School,3150505,906,7.0,0.8,0.8,1.4,0.9,0.0,2007-08
Webster - Bartlett Jr Sr High Sch,3160505,548,34.0,6.2,2.9,4.9,12.8,5.0,2007-08
Wellesley - Wellesley Sr High,3170505,"1,211",3.0,0.2,0.0,0.0,0.9,0.0,2007-08
West Boylston - West Boylston Jr-Sr High,3220505,342,7.0,2.0,0.0,1.1,2.3,4.9,2007-08
West Bridgewater - West Bridgewater Jr-Sr,3230505,388,4.0,1.0,0.0,0.0,1.8,2.6,2007-08
West Springfield - West Springfield High,3320505,"1,294",78.0,6.0,4.7,6.5,7.2,6.5,2007-08
Westborough - Westborough High,3210505,"1,110",3.0,0.3,0.0,0.0,0.7,0.4,2007-08
Westfield - Westfield High,3250505,"1,619",37.0,2.3,0.3,1.4,4.6,2.7,2007-08
Westfield - Westfield Voc Tech High,3250605,499,29.0,5.8,2.0,5.7,10.4,6.5,2007-08
Westford - Westford Academy,3260505,"1,580",5.0,0.3,0.2,0.5,0.3,0.3,2007-08
Weston - Weston High,3300505,722,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
Westport - Westport High,3310505,524,14.0,2.7,2.0,5.2,2.6,0.0,2007-08
Westwood - Westwood High,3350505,819,3.0,0.4,1.0,0.5,0.0,0.0,2007-08
Weymouth - Weymouth High School,3360505,"2,117",55.0,2.6,2.2,3.4,2.8,1.9,2007-08
Whitman-Hanson - Whitman Hanson Regional,7800505,"1,233",17.0,1.4,0.3,1.2,2.0,2.0,2007-08
