School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,362,2.0,0.6,1.2,0.0,0.0,1.0,2012-13
Abington - Abington High,10505,502,6.0,1.2,0.0,0.0,0.9,3.6,2012-13
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,198,2.0,1.0,0.0,0.0,0.0,7.7,2012-13
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,975",3.0,0.2,0.0,0.0,0.4,0.2,2012-13
Adams-Cheshire - Hoosac Valley Middle & High School,6030505,366,10.0,2.7,0.0,2.9,4.3,3.2,2012-13
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,518,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
Agawam - Agawam High,50505,"1,327",22.0,1.7,1.9,2.5,1.9,0.3,2012-13
Amesbury - Amesbury High,70505,640,15.0,2.3,0.0,2.9,1.9,5.0,2012-13
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,4150505,47,2.0,4.3,0.0,8.3,0.0,4.8,2012-13
Amherst-Pelham - Amherst Regional High,6050505,"1,053",11.0,1.0,0.4,0.8,1.2,1.8,2012-13
Andover - Andover High,90505,"1,792",2.0,0.1,0.2,0.2,0.0,0.0,2012-13
Arlington - Arlington High,100505,"1,233",9.0,0.7,0.3,2.0,0.3,0.3,2012-13
Ashburnham-Westminster - Oakmont Regional High School,6100505,653,5.0,0.8,1.1,1.1,0.0,0.6,2012-13
Ashland - Ashland High,140505,717,11.0,1.5,0.5,0.6,2.2,2.9,2012-13
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,011",13.0,1.3,0.0,1.9,1.2,2.2,2012-13
Athol-Royalston - Athol High,6150505,384,15.0,3.9,2.4,4.4,5.8,3.6,2012-13
Attleboro - Attleboro High,160505,"1,737",37.0,2.1,2.1,2.7,1.6,2.1,2012-13
Auburn - Auburn Senior High,170505,677,15.0,2.2,0.0,1.8,1.2,5.3,2012-13
Avon - Avon Middle High School,180510,212,5.0,2.4,1.7,2.0,2.1,3.8,2012-13
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,318,7.0,2.2,2.9,2.9,1.4,1.4,2012-13
Barnstable - Barnstable High,200505,"1,540",29.0,1.9,0.9,2.2,2.4,2.2,2012-13
Bedford - Bedford High,230505,878,6.0,0.7,0.4,0.4,1.1,0.9,2012-13
Belchertown - Belchertown High,240505,768,2.0,0.3,0.5,0.5,0.0,0.0,2012-13
Bellingham - Bellingham High School,250505,668,10.0,1.5,0.6,1.7,3.1,0.6,2012-13
Bellingham - Primavera Junior/Senior High School,250510,21,1.0,4.8,,16.7,,0.0,2012-13
Belmont - Belmont High,260505,"1,120",3.0,0.3,0.3,0.0,0.0,0.8,2012-13
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,123,4.0,3.3,0.0,0.0,8.7,9.1,2012-13
