School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,364,1.0,0.3,0.0,0.0,0.0,1.1,2017-18
Abington - Abington High,10505,517,6.0,1.2,0.7,2.3,1.8,0.0,2017-18
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,211,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,827",4.0,0.2,0.0,0.0,0.2,0.7,2017-18
Adams-Cheshire - Hoosac Valley High School,6030505,296,9.0,3.0,0.0,0.0,3.2,7.1,2017-18
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,532,1.0,0.2,0.0,0.0,0.0,1.0,2017-18
Agawam - Agawam High,50505,"1,165",13.0,1.1,1.3,0.4,2.1,0.7,2017-18
Amesbury - Amesbury High,70505,590,8.0,1.4,0.6,0.7,0.0,4.1,2017-18
Amesbury - Amesbury Innovation High School,70515,40,6.0,15.0,11.1,8.3,,15.4,2017-18
Amherst-Pelham - Amherst Regional High,6050505,923,9.0,1.0,1.7,0.9,0.9,0.4,2017-18
Andover - Andover High,90505,"1,764",3.0,0.2,0.0,0.0,0.4,0.2,2017-18
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,90,4.0,4.4,4.4,,,,2017-18
Arlington - Arlington High,100505,"1,325",7.0,0.5,0.3,0.3,0.9,0.6,2017-18
Ashburnham-Westminster - Oakmont Regional High School,6100505,702,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Ashland - Ashland High,140505,769,5.0,0.7,0.5,1.0,0.6,0.6,2017-18
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,113",0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Athol-Royalston - Athol High,6150505,362,13.0,3.6,3.2,5.4,1.4,3.9,2017-18
Atlantis Charter (District) - Atlantis Charter School,4910550,243,1.0,0.4,0.0,0.0,0.0,2.3,2017-18
Attleboro - Attleboro Community Academy,160515,61,4.0,6.6,,0.0,0.0,10.8,2017-18
Attleboro - Attleboro High,160505,"1,692",14.0,0.8,0.9,0.7,0.7,1.0,2017-18
Auburn - Auburn Senior High,170505,730,5.0,0.7,0.0,0.5,0.5,1.7,2017-18
Avon - Avon Middle High School,180510,185,2.0,1.1,0.0,0.0,1.9,2.6,2017-18
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,409,8.0,2.0,1.9,0.0,4.6,1.1,2017-18
Barnstable - Barnstable High,200505,"1,453",17.0,1.2,0.5,1.4,1.6,1.2,2017-18
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,205,3.0,1.5,2.7,1.4,0.0,,2017-18
Bedford - Bedford High,230505,816,1.0,0.1,0.0,0.0,0.5,0.0,2017-18
Belchertown - Belchertown High,240505,706,7.0,1.0,1.1,0.6,1.6,0.6,2017-18
Bellingham - Bellingham High School,250505,582,3.0,0.5,0.0,0.0,0.7,1.5,2017-18
Bellingham - Keough Memorial Academy,250510,30,2.0,6.7,,11.1,12.5,0.0,2017-18
Belmont - Belmont High,260505,"1,294",3.0,0.2,0.0,0.3,0.3,0.3,2017-18
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,151,1.0,0.7,0.0,2.9,0.0,0.0,2017-18
Berkshire Hills - Monument Mt Regional High,6180505,517,7.0,1.4,0.0,0.0,2.8,2.4,2017-18
Berlin-Boylston - Tahanto Regional High,6200505,318,2.0,0.6,0.0,0.0,1.2,1.3,2017-18
Beverly - Beverly High,300505,"1,242",23.0,1.9,0.6,1.6,2.6,2.7,2017-18
Billerica - Billerica Memorial High School,310505,"1,190",29.0,2.4,2.2,1.4,5.5,0.7,2017-18
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,223",2.0,0.2,0.0,0.0,0.7,0.0,2017-18
Blackstone-Millville - Blackstone Millville RHS,6220505,405,9.0,2.2,0.0,1.9,2.8,4.4,2017-18
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,854,1.0,0.1,0.0,0.0,0.5,0.0,2017-18
Boston - Another Course To College,350541,224,6.0,2.7,0.0,0.0,6.3,3.7,2017-18
Boston - Boston Adult Academy,350548,154,51.0,33.1,,,20.7,78.8,2017-18
Boston - Boston Arts Academy,350546,469,7.0,1.5,0.8,0.0,2.4,3.8,2017-18
Boston - Boston Collaborative High School,350755,182,44.0,24.2,,17.6,13.2,29.9,2017-18
Boston - Boston Community Leadership Academy,350558,474,11.0,2.3,2.5,0.8,4.3,1.9,2017-18
Boston - Boston International High School,350507,366,23.0,6.3,6.7,8.9,7.5,1.4,2017-18
Boston - Boston Latin,350560,"1,656",1.0,0.1,0.2,0.0,0.0,0.0,2017-18
Boston - Boston Latin Academy,350545,"1,224",4.0,0.3,0.0,0.7,0.0,0.7,2017-18
Boston - Brighton High,350505,682,53.0,7.8,5.3,8.5,5.4,11.2,2017-18
Boston - Carter Developmental Center,350036,24,1.0,4.2,,,0.0,7.1,2017-18
Boston - Charlestown High,350515,920,63.0,6.8,3.7,12.0,5.0,7.4,2017-18
Boston - Community Academy,350518,79,40.0,50.6,57.1,14.3,59.1,58.6,2017-18
Boston - Community Academy of Science and Health,350581,389,21.0,5.4,4.9,4.8,5.6,6.2,2017-18
Boston - Dearborn,350074,174,5.0,2.9,3.1,0.0,5.1,2.8,2017-18
Boston - Dorchester Academy,350651,42,6.0,14.3,28.6,,15.4,5.3,2017-18
Boston - Dr. William Henderson Upper,350426,229,9.0,3.9,3.4,5.4,3.5,3.4,2017-18
Boston - East Boston High,350530,"1,344",86.0,6.4,6.8,7.7,5.6,5.9,2017-18
Boston - Excel High School,350522,491,13.0,2.6,4.3,2.7,2.1,1.7,2017-18
Boston - Fenway High School,350540,364,7.0,1.9,2.9,3.1,0.0,1.3,2017-18
Boston - Greater Egleston Community High School,350543,105,,,,23.1,64.3,,2017-18
Boston - Horace Mann School for the Deaf,350750,33,0.0,0.0,,0.0,0.0,0.0,2017-18
Boston - Jeremiah E Burke High,350525,472,35.0,7.4,9.8,8.0,4.4,7.7,2017-18
Boston - Lyon Upper 9-12,350655,124,7.0,5.6,3.7,5.9,8.3,3.7,2017-18
Boston - Madison Park High,350537,859,52.0,6.1,2.6,9.7,4.0,7.9,2017-18
Boston - Margarita Muniz Academy,350549,298,7.0,2.3,2.4,1.4,4.0,1.5,2017-18
Boston - New Mission High School,350542,320,1.0,0.3,1.1,0.0,0.0,0.0,2017-18
Boston - O'Bryant School Math/Science,350575,"1,223",7.0,0.6,0.0,0.0,0.7,1.7,2017-18
Boston - Quincy Upper School,350565,229,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Boston - Snowden International School at Copley,350690,444,17.0,3.8,4.9,2.9,3.5,3.6,2017-18
Boston - TechBoston Academy,350657,559,7.0,1.3,1.4,0.7,1.5,1.5,2017-18
Boston - The English High,350535,539,23.0,4.3,3.3,5.1,3.4,5.7,2017-18
Boston - Urban Science Academy,350579,392,34.0,8.7,4.2,2.9,3.9,19.2,2017-18
Boston - West Roxbury Academy,350658,475,20.0,4.2,2.7,9.5,4.3,1.7,2017-18
Boston - William McKinley,350363,212,34.0,16.0,10.4,19.2,26.5,13.6,2017-18
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,313,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,404,95.0,23.5,20.6,29.8,,23.0,2017-18
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,304,9.0,3.0,3.4,1.2,6.9,1.4,2017-18
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,263,2.0,0.8,0.0,0.0,1.6,1.9,2017-18
Bourne - Bourne High School,360505,476,7.0,1.5,0.0,2.4,3.3,0.0,2017-18
Braintree - Braintree High,400505,"1,655",8.0,0.5,0.5,0.2,0.3,1.0,2017-18
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,"1,454",8.0,0.6,0.0,0.3,1.0,0.9,2017-18
Bridgewater-Raynham - Therapeutic Day School,6250415,10,0.0,0.0,,,,,2017-18
Bristol County Agricultural - Bristol County Agricultural High,9100705,456,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,8100605,"1,278",4.0,0.3,0.0,0.3,0.0,1.0,2017-18
