School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,367,4.0,1.1,0.0,0.0,0.0,4.3,2021-22
Abington - Abington High,10505,580,13.0,2.2,0.0,0.7,6.2,1.9,2021-22
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,259,1.0,0.4,0.0,0.0,1.7,0.0,2021-22
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,699",2.0,0.1,0.0,0.0,0.0,0.4,2021-22
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,563,1.0,0.2,0.0,0.0,0.0,0.7,2021-22
Agawam - Agawam High,50505,"1,012",19.0,1.9,0.7,2.8,2.7,1.4,2021-22
Amesbury - Amesbury High,70505,456,10.0,2.2,0.0,1.6,2.6,4.3,2021-22
Amesbury - Amesbury Innovation High School,70515,47,5.0,10.6,0.0,10.0,22.2,12.5,2021-22
Amherst-Pelham - Amherst Regional High,6050505,854,10.0,1.2,0.0,0.0,1.5,3.1,2021-22
Andover - Andover High,90505,"1,644",3.0,0.2,0.2,0.2,0.2,0.0,2021-22
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,260,11.0,4.2,1.3,0.0,14.3,1.5,2021-22
Arlington - Arlington High,100505,"1,483",6.0,0.4,0.0,0.0,0.8,0.8,2021-22
Ashburnham-Westminster - Oakmont Regional High School,6100505,614,4.0,0.7,0.6,0.0,0.6,1.6,2021-22
Ashland - Ashland High,140505,812,7.0,0.9,0.5,1.0,1.7,0.4,2021-22
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,139",15.0,1.3,0.3,0.7,1.5,2.9,2021-22
Athol-Royalston - Athol High,6150505,369,10.0,2.7,0.0,0.9,6.8,5.4,2021-22
Atlantis Charter (District) - Atlantis Charter School,4910550,302,1.0,0.3,0.0,1.6,0.0,0.0,2021-22
Attleboro - Attleboro Community Academy,160515,50,6.0,12.0,,,16.7,11.8,2021-22
Attleboro - Attleboro High,160505,"1,753",16.0,0.9,0.8,0.7,2.0,0.2,2021-22
Attleboro - Attleboro Virtual Academy,160705,50,4.0,8.0,0.0,14.3,9.1,7.1,2021-22
Auburn - Auburn Senior High,170505,721,10.0,1.4,1.8,1.1,0.5,2.2,2021-22
Avon - Avon Middle High School,180510,205,6.0,2.9,3.1,2.0,0.0,6.4,2021-22
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,368,7.0,1.9,0.0,0.0,5.1,3.2,2021-22
Barnstable - Barnstable High,200505,"1,376",41.0,3.0,3.3,2.6,3.6,2.4,2021-22
