Park,Location,Feature(s)
Paris Street Playground,East Boston,"Basketball, Spray Play, Playground"
Parkman Playground,Jamaica Plain,"Spray Play, Players Bench, Basketball, Playground"
Penniman Road Play Area,Allston-Brighton,"Playground, Basketball"
Peter Looney Park,Charlestown,"Playground, Basketball, Spray Play"
Peters Park,South End,"Dog Park, Tennis, Handball, Basketball, Playground, Players Bench"
Phillips Street Play Area,Back Bay/Beacon Hill,Playground
Polcari Park,Central Boston,Basketball
Portsmouth Street Playground,Allston-Brighton,"Basketball, Players Bench, Playground"
Porzio Park,East Boston,"Street Hockey, Basketball, Tennis, Playground"
Puopolo Playground,Central Boston,"Spray Play, Players Bench"
Quincy/Stanley Play Area,Dorchester,"Playground, Spray Play"
Quincy Street Play Area,Roxbury,Basketball
Ramsay Park,Roxbury,"Tennis, Playground, Spray Play, Basketball, Skate Park, Players Bench"
Reservation Road Park,Hyde Park,"Skate Park, Players Bench"
Reverend Loesch Family Park,Dorchester,"Basketball, Spray Play, Playground"
Ringer Playground,Allston-Brighton,"Spray Play, Tennis, Players Bench, Basketball, Playground"
Ringgold Park,South End,"Spray Play, Basketball, Playground"
Ripley Playground,Dorchester,"Tennis, Playground, Spray Play, Basketball"
Roberts Playground,Dorchester,"Players Bench, Playground, Spray Play, Multipurpose Courts, Basketball"
Rogers Park,Allston-Brighton,"Players Bench, Tennis, Basketball, Playground"
Ronan Park,Dorchester,"Dog Park, Playground, Spray Play, Basketball"
Rossmore/Stedman Park,Jamaica Plain,Playground
Ross Playground,Hyde Park,"Playground, Tennis, Basketball, Spray Play"
Rotch Playground,South End,"Players Bench, Multipurpose Courts"
Ryan Play Area,Dorchester,"Playground, Spray Play"
Ryan Playground,Charlestown,"Street Hockey, Playground"
Savin Hill Park,Dorchester,"Basketball, Tennis"
Shubow Park,Allston-Brighton,Playground
Smith Playground,Allston-Brighton,"Playground, Pump Track, Basketball, Dog Park"
South Street Courts & Mall,Jamaica Plain,"Tennis, Basketball"
St. James Street Park,Roxbury,Playground
Stonehill Park,Hyde Park,Playground
Sumner & Lamson Street Playground,East Boston,"Spray Play, Playground, Basketball"
Sweeney Playground,South Boston,"Playground, Basketball, Spray Play"
Tai Tung Park,Central Boston,Playground
Tebroc Street Playlot,Dorchester,Playground
Thetford Evans Playground,Dorchester,"Basketball, Spray Play, Playground, Tennis"
Titus Sparrow Park,South End,"Basketball, Playground"
Trotter School Playground,Roxbury,"Spray Play, Basketball, Playground"
Union Park Street Playground,South End,Playground
Walker Playground,Mattapan,"Basketball, Spray Play, Playground, Players Bench, Tennis"
Walnut Park,Roxbury,"Bench, Playground, Spray Play, Table"
Walsh Playground,Mattapan,"Playground, Players Bench, Basketball, Tennis"
West Roxbury HS Athletic Fields,West Roxbury,"Basketball, Tennis"
Winthrop Playground,Roxbury,"Tennis, Players Bench, Playground, Basketball"
